"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"","narrator_K5X5oAjA","","","False","","",""
"","S_Ksg5BuSC","","","False","","",""
"","narrator_UMfuLgcK","","","False","","",""
"","S_64MCR5vf","","","False","","",""
"","narrator_XqqeMauT","","","False","","",""
"","S_dHEPwcca","","","False","","",""
"","narrator_PqBNNck6","","","False","","",""
"","narrator_Z8gT4PNj","","","False","","",""
"","narrator_jvYVFzwQ","","","False","","",""
"","S_YQRjughy","","","False","","",""
"","narrator_47Ce8v3B","","","False","","",""
"","narrator_EVbGn2YM","","","False","","",""
"","narrator_i2Vnvv5p","","","False","","",""
"","S_iSaoydPG","","","False","","",""
"","S_EajBgTih","","","False","","",""
"","narrator_6tDRvcv6","","","False","","",""
"","S_ms3eVxEt","","","False","","",""
"","S_dBoijBmC","","","False","","",""
"","narrator_CtZiTa2H","","","False","","",""
"","S_rddHwPeD","","","False","","",""
"","S_HnePsXQU","","","False","","",""
"","S_4gGX9MXm","","","False","","",""
"","S_hwmhss6e","","","False","","",""
"","S_6oe5UoSB","","","False","","",""
"","narrator_jKHFegUs","","","False","","",""
"","S_Tp7RUWjm","","","False","","",""
"","S_g3HozMNv","","","False","","",""
"","narrator_SjsG2DAM","","","False","","",""
"","S_9XLf2MwA","","","False","","",""
"","narrator_DLcnPCVS","","","False","","",""
"","narrator_MEUVSeDG","","","False","","",""
"","narrator_XHe7YJv6","","","False","","",""
"","narrator_PATh2s8L","","","False","","",""
"","narrator_7aFZiPor","","","False","","",""
"","S_iDcup4W7","","","False","","",""
"","narrator_EkfdoffQ","","","False","","",""
"","S_CgkbPL3z","","","False","","",""
"","S_YiZESXDP","","","False","","",""
"","S_EvQipfT4","","","False","","",""
"","S_HiwPQsd9","","","False","","",""
"","S_LZAtxjhk","","","False","","",""
"","narrator_scRaLUYu","","","False","","",""
"","narrator_ijDZhR75","","","False","","",""
"","narrator_A9dF4QVf","","","False","","",""
"","narrator_bhru9QGZ","","","False","","",""
"","S_7wttuKDt","","","False","","",""
"","narrator_83PZoZEm","","","False","","",""
"","S_kHb7XLuJ","","","False","","",""
"","narrator_ECh6atSz","","","False","","",""
"","S_FvWJx4v5","","","False","","",""
"","S_mc6JETmK","","","False","","",""
"","narrator_3mEm4Dav","","","False","","",""
"","S_nURRGF94","","","False","","",""
"","S_W78nxz9k","","","False","","",""
"","narrator_kBhhGsPy","","","False","","",""
"","S_CS89RqQe","","","False","","",""
"","S_PCNpfqjE","","","False","","",""
"","narrator_g3fUBSwJ","","","False","","",""
"","S_sYF4pD7h","","","False","","",""
"","S_9MBst25F","","","False","","",""
"","narrator_FUmVSN85","","","False","","",""
"","S_sAQXWXxs","","","False","","",""
"","S_ES4gzbAp","","","False","","",""
"","S_YdPZJnDc","","","False","","",""
"","S_9EBpJbxV","","","False","","",""
"","S_iojRbqLo","","","False","","",""
"","narrator_p7uCwDVF","","","False","","",""
"","narrator_tCCyeiHW","","","False","","",""
"","S_mNuUXJ7w","","","False","","",""
"","S_LodsEXgz","","","False","","",""
"","narrator_NLavSqxA","","","False","","",""
"","S_Fv9soQvK","","","False","","",""
"","narrator_gS64RfjV","","","False","","",""
"","narrator_6NEwh2SH","","","False","","",""
"","S_jTiNvh8r","","","False","","",""
"","narrator_XU4Y5HBK","","","False","","",""
"","S_oUA7ZyKX","","","False","","",""
"","narrator_NMkUy4Ej","","","False","","",""
"","narrator_ZS7VvcNc","","","False","","",""
"","S_mVrUauML","","","False","","",""
"","S_nfgmQup7","","","False","","",""
"","S_8HghbZNN","","","False","","",""
"","narrator_H7jCKjso","","","False","","",""
"","S_XERbNrZ5","","","False","","",""
"","S_fjLm3YiS","","","False","","",""
"","S_4a2XVAZV","","","False","","",""
"","S_WK8BUC7Q","","","False","","",""
"","S_sCGWePZb","","","False","","",""
"","narrator_3ysEZqQa","","","False","","",""
"","S_jjMEc7A3","","","False","","",""
"","narrator_3o5r7YCf","","","False","","",""
"","S_RD8rBZ6v","","","False","","",""
"","narrator_ohwdcX6y","","","False","","",""
"","narrator_buoLnEuD","","","False","","",""
"","narrator_WXGuBPay","","","False","","",""
"","S_rmCoZo2G","","","False","","",""
"","S_Ljwdzrd9","","","False","","",""
"","S_ZnxxznVU","","","False","","",""
"","S_8abuY5rq","","","False","","",""
"","narrator_rnPbmGXc","","","False","","",""
"","narrator_feJxmFko","","","False","","",""
"","S_Mf5HRqhM","","","False","","",""
"","S_hgyvjbsL","","","False","","",""
"","S_DpxuBrXK","","","False","","",""
"","narrator_KJTPBhxV","","","False","","",""
"","S_W3FANEBd","","","False","","",""
"","narrator_HwyMHPhy","","","False","","",""
"","narrator_oHoto8Xo","","","False","","",""
"","narrator_iWMf5wwL","","","False","","",""
"","S_tsbrCKwD","","","False","","",""
"","S_nAcDP7pX","","","False","","",""
"","S_ULr7buyr","","","False","","",""
"","narrator_6qSPb7p9","","","False","","",""
"","narrator_72Eu5ye7","","","False","","",""
"","S_K5xTVKkb","","","False","","",""
"","S_SyCX89GB","","","False","","",""
"","S_mP9ZKM3g","","","False","","",""
"","centered_SJxeXf3e","","","False","","",""
"","centered_Nt75eDT2","","","False","","",""
"","S_KD3sXAgs","","","False","","",""
"","S_TdzGoQAX","","","False","","",""
"","narrator_USdazeYF","","","False","","",""
"","S_gEppVcev","","","False","","",""
"","A_YaEv6rfV","","","False","","",""
"","S_hEL9CULg","","","False","","",""
"","narrator_q6RhseEa","","","False","","",""
"","S_L3R8NhcB","","","False","","",""
"","narrator_fRmcYx88","","","False","","",""
"","S_pAXPtCDb","","","False","","",""
"","S_bJ4ni7GT","","","False","","",""
"","S_S4Sq3otu","","","False","","",""
"","S_5LohD4Kq","","","False","","",""
"","narrator_hKWxbZ4K","","","False","","",""
"","S_RW3zDNTr","","","False","","",""
"","A_AGHGEnyL","","","False","","",""
"","S_BvdLh4hH","","","False","","",""
"","narrator_SsCTBrmC","","","False","","",""
"","S_S3SYLgdR","","","False","","",""
"","narrator_auttfMMx","","","False","","",""
"","narrator_Dfk6XbZt","","","False","","",""
"","S_PVoakBWM","","","False","","",""
"","narrator_KDYkVBeT","","","False","","",""
"","narrator_cySpQoVT","","","False","","",""
"","S_rV7nbh2A","","","False","","",""
"","narrator_TGVFURxb","","","False","","",""
"","S_ovuNn8RK","","","False","","",""
"","narrator_S9BQGGkZ","","","False","","",""
"","S_79eDSWkv","","","False","","",""
"","narrator_CE8nmVph","","","False","","",""
"","narrator_Kb8EYeko","","","False","","",""
"","S_nS8gN7y5","","","False","","",""
"","narrator_7h4YEsKp","","","False","","",""
"","narrator_4U78iNzB","","","False","","",""
"","S_tQTWbYwx","","","False","","",""
"","narrator_fxc6AzFg","","","False","","",""
"","S_hTCRZ99d","","","False","","",""
"","S_BnEaFU9i","","","False","","",""
"","S_EyDtPHBx","","","False","","",""
"","narrator_33KCCStR","","","False","","",""
"","S_XupbV49A","","","False","","",""
"","A_rWHBkkpt","","","False","","",""
"","S_FgCLCth9","","","False","","",""
"","A_UxxpFvcM","","","False","","",""
"","S_XVBg8uSv","","","False","","",""
"","narrator_pZfg7xae","","","False","","",""
"","A_tD7EaDuu","","","False","","",""
"","S_osPq66SW","","","False","","",""
"","narrator_7aWxJrcP","","","False","","",""
"","S_RW9Ky2zV","","","False","","",""
"","narrator_DUXbxYyA","","","False","","",""
"","A_cZY7ZQ9j","","","False","","",""
"","A_XgxeU5tt","","","False","","",""
"","A_jST4JVYh","","","False","","",""
"","narrator_BmhVyfTe","","","False","","",""
"","S_Xj6XT74P","","","False","","",""
"","A_959qmEkR","","","False","","",""
"","narrator_5Yri3NLz","","","False","","",""
"","A_FqFwVRKE","","","False","","",""
"","narrator_fJEvWduL","","","False","","",""
"","A_JWB6JnWE","","","False","","",""
"","A_ExnDv6Nz","","","False","","",""
"","S_tAVugs88","","","False","","",""
"","narrator_YhVjKn3d","","","False","","",""
"","A_KozSkyQD","","","False","","",""
"","S_BCrKexwU","","","False","","",""
"","narrator_RhdkTPHm","","","False","","",""
"","narrator_rhGWhTbt","","","False","","",""
"","S_YpjD8pDn","","","False","","",""
"","A_XazrsLHt","","","False","","",""
"","S_rU2EcUAv","","","False","","",""
"","narrator_oxqiQv68","","","False","","",""
"","S_CYpttrCQ","","","False","","",""
"","A_Kgpz6NP3","","","False","","",""
"","narrator_X9iM6Cpa","","","False","","",""
"","A_LmEckXZW","","","False","","",""
"","A_ieWKMVn9","","","False","","",""
"","S_kmJejqbx","","","False","","",""
"","narrator_3Rpq5qBy","","","False","","",""
"","narrator_Zk4cAgV8","","","False","","",""
"","S_Z6kLDMpP","","","False","","",""
"","narrator_mCUJZYU3","","","False","","",""
"","A_MrJxHSGp","","","False","","",""
"","S_m7iteK4T","","","False","","",""
"","narrator_PQVq3qbH","","","False","","",""
"","A_AK9tSUYQ","","","False","","",""
"","A_ED5cdLQr","","","False","","",""
"","S_9Dd8jUNW","","","False","","",""
"","narrator_Jx4bMVsS","","","False","","",""
"","A_KDwurjZo","","","False","","",""
"","narrator_PGjVJRgs","","","False","","",""
"","S_9ywkrySw","","","False","","",""
"","S_5qc8htJj","","","False","","",""
"","narrator_YYTaa5AY","","","False","","",""
"","narrator_bhZ5hkVD","","","False","","",""
"","A_rqeSQgwL","","","False","","",""
"","S_ViQzG7fT","","","False","","",""
"","S_qWLTsMtJ","","","False","","",""
"","narrator_SmZRzmEY","","","False","","",""
"","narrator_hrRDrHLL","","","False","","",""
