"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"","narrator_cf360ee2","","","False","","",""
"","S_c1926d7c","","","False","","",""
"","narrator_040dc5c3","","","False","","",""
"","S_20a5ded5","","","False","","",""
"","A_eba8b53d","","","False","","",""
"","narrator_379ff476","","","False","","",""
"","A_34716cee","","","False","","",""
"","S_d7753309","","","False","","",""
"","A_76df1d82","","","False","","",""
"","S_481db0eb","","","False","","",""
"","S_e88241e5","","","False","","",""
"","A_273f779c","","","False","","",""
"","A_ef7a5afa","","","False","","",""
"","S_e3e480f1","","","False","","",""
"","A_f2b03590","","","False","","",""
"","A_777c4814","","","False","","",""
"","A_e4577e64","","","False","","",""
"","A_d2d05743","","","False","","",""
"","narrator_b84fca66","","","False","","",""
"","S_7f289aad","","","False","","",""
"","narrator_9d120183","","","False","","",""
"","S_4ae0ece6","","","False","","",""
"","A_417fa05e","","","False","","",""
"","A_d37310a2","","","False","","",""
"","S_bbc0a8e7","","","False","","",""
"","A_9fc47229","","","False","","",""
"","S_d7a650ab","","","False","","",""
"","A_7cd14bb7","","","False","","",""
"","A_47ac7490","","","False","","",""
"","narrator_8138a6a8","","","False","","",""
"","S_4c9b9273","","","False","","",""
"","A_5e7ff309","","","False","","",""
"","S_2bc4a59a","","","False","","",""
"","SO_72e93073","","","False","","",""
"","narrator_d2bdf73a","","","False","","",""
"","S_7d115af0","","","False","","",""
"","SO_dfbc580a","","","False","","",""
"","narrator_478fab55","","","False","","",""
"","SO_9e55df97","","","False","","",""
"","narrator_94851901","","","False","","",""
"","S_3944edb2","","","False","","",""
"","SO_1b18294a","","","False","","",""
"","SO_2a1b7f91","","","False","","",""
"","S_85c19697","","","False","","",""
"","S_c333a7e3","","","False","","",""
"","SO_2da6d2f2","","","False","","",""
"","S_a8ac48ed","","","False","","",""
"","SO_334efccf","","","False","","",""
"","S_1b92b66d","","","False","","",""
"","SO_385e2a20","","","False","","",""
"","SO_f760445d","","","False","","",""
"","narrator_d8d35ccf","","","False","","",""
"","S_8949a8f0","","","False","","",""
"","Ov_989bd4c1","","","False","","",""
"","S_debc74e4","","","False","","",""
"","Ov_650ddd4c","","","False","","",""
"","S_dc9aa615","","","False","","",""
"","Ov_406351da","","","False","","",""
"","S_71aee3f4","","","False","","",""
"","S_42252abe","","","False","","",""
"","narrator_2e47fadc","","","False","","",""
"","SO_b645c982","","","False","","",""
"","S_feb233b6","","","False","","",""
"","SO_2dde0a67","","","False","","",""
"","S_5b70fee2","","","False","","",""
"","SO_e34becb4","","","False","","",""
"","SO_7e6b2650","","","False","","",""
"","SO_dabab8bd","","","False","","",""
"","S_264f1ac5","","","False","","",""
"","SO_33cc8409","","","False","","",""
"","SO_138df651","","","False","","",""
"","S_2acf36a7","","","False","","",""
"","S_c1223316","","","False","","",""
"","SO_e8831edd","","","False","","",""
"","SO_971655eb","","","False","","",""
"","SO_051fd3d8","","","False","","",""
"","S_add95709","","","False","","",""
"","S_5d29d6bf","","","False","","",""
"","SO_c1c7d550","","","False","","",""
"","SO_8dbe22c8","","","False","","",""
"","SO_f14469ce","","","False","","",""
"","S_e3ac8a92","","","False","","",""
"","SO_e0de78c2","","","False","","",""
"","S_f211da98","","","False","","",""
"","S_e3021653","","","False","","",""
"","S_6c458185","","","False","","",""
"","SO_72be7cd1","","","False","","",""
"","SO_3ed0d796","","","False","","",""
"","S_608e3521","","","False","","",""
"","SO_fa4433d2","","","False","","",""
"","SO_47319963","","","False","","",""
"","S_ea04266c","","","False","","",""
"","SO_d867a057","","","False","","",""
"","S_72599761","","","False","","",""
"","S_7df60e80","","","False","","",""
"","SO_b4df3392","","","False","","",""
"","SO_f8f78c75","","","False","","",""
"","SO_9b8dcec6","","","False","","",""
"","S_83dfd4da","","","False","","",""
"","SO_898877aa","","","False","","",""
"","S_14aa167e","","","False","","",""
"","SO_e0c2cc55","","","False","","",""
"","S_6b8fd9b2","","","False","","",""
"","S_f411d2b3","","","False","","",""
"","SO_0c02d484","","","False","","",""
"","SO_fa5df573","","","False","","",""
"","S_7d732332","","","False","","",""
"","SO_4814a386","","","False","","",""
