"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"","narrator_eadc5d8a","","","False","","",""
"","S_2545a3a9","","","False","","",""
"","S_bd2ce85b","","","False","","",""
"","narrator_527fa43a","","","False","","",""
"","L_dc0a7b98","","","False","","",""
"","S_8a6e57d7","","","False","","",""
"","narrator_aaa99aff","","","False","","",""
"","S_6ef623f0","","","False","","",""
"","S_0cc322c9","","","False","","",""
"","S_da1a64d5","","","False","","",""
"","narrator_4d84623b","","","False","","",""
"","S_c92f26bf","","","False","","",""
"","narrator_ce1efeb2","","","False","","",""
"","L_75dd2a83","","","False","","",""
"","narrator_889b2ccc","","","False","","",""
"","S_06b42b4c","","","False","","",""
"","L_500f9cae","","","False","","",""
"","S_886e5748","","","False","","",""
"","L_7430c3ae","","","False","","",""
"","S_e164d572","","","False","","",""
"","S_0f2ae60f","","","False","","",""
"","S_32e13565","","","False","","",""
"","narrator_41ebe39c","","","False","","",""
"","S_afb53002","","","False","","",""
"","L_c1cbff52","","","False","","",""
"","L_9f25740f","","","False","","",""
"","S_6453fa8e","","","False","","",""
"","L_9996edf1","","","False","","",""
"","S_60318e3d","","","False","","",""
"","L_608af90c","","","False","","",""
"","S_cbde6e88","","","False","","",""
"","S_5e3ed276","","","False","","",""
"","S_5e95b7a7","","","False","","",""
"","narrator_f9ead693","","","False","","",""
"","S_572f2c61","","","False","","",""
"","S_1b63ece5","","","False","","",""
"","S_d99071d4","","","False","","",""
"","S_71918a09","","","False","","",""
"","S_44dd1e08","","","False","","",""
"","S_4cc1004e","","","False","","",""
"","S_ba3c99a7","","","False","","",""
"","narrator_49acef13","","","False","","",""
"","S_4c3d8903","","","False","","",""
"","L_608af90c_1","","","False","","",""
"","S_d42bb893","","","False","","",""
"","S_e3afaedc","","","False","","",""
"","narrator_c115f00d","","","False","","",""
"","S_e8e0d9c1","","","False","","",""
"","S_89f96756","","","False","","",""
"","S_63afccd1","","","False","","",""
"","S_564b5199","","","False","","",""
"","S_6e50619b","","","False","","",""
"","L_f9b9613d","","","False","","",""
"","narrator_7aa9a4f4","","","False","","",""
"","S_f051ca79","","","False","","",""
"","L_68ebff1a","","","False","","",""
"","S_eef4eb95","","","False","","",""
"","L_608af90c_2","","","False","","",""
"","S_24ddc416","","","False","","",""
"","L_5ff940d3","","","False","","",""
"","L_89591bab","","","False","","",""
"","L_62fdb552","","","False","","",""
"","L_ae2d2579","","","False","","",""
"","L_f23bb8cf","","","False","","",""
"","L_7ff90d0f","","","False","","",""
"","L_cc4926b6","","","False","","",""
"","L_c1fa57ef","","","False","","",""
"","L_5d29d341","","","False","","",""
"","L_f8364a2b","","","False","","",""
"","L_779e3dbb","","","False","","",""
"","L_077e88c9","","","False","","",""
"","L_0f0b8c0d","","","False","","",""
"","L_78233d7e","","","False","","",""
"","L_066c2dcc","","","False","","",""
"","S_dd498878","","","False","","",""
"","L_29b3945e","","","False","","",""
"","S_d5602081","","","False","","",""
"","L_779e3dbb_1","","","False","","",""
"","L_a108b443","","","False","","",""
"","narrator_38952760","","","False","","",""
"","S_dfe8b168","","","False","","",""
"","L_b4182864","","","False","","",""
"","narrator_760f5cb3","","","False","","",""
"","L_f10ea78e","","","False","","",""
"","narrator_6b699b4e","","","False","","",""
"","narrator_5d94eeb5","","","False","","",""
"","S_9b0ab94e","","","False","","",""
"","narrator_0aa80dfc","","","False","","",""
"","L_4214e626","","","False","","",""
"","narrator_aded3eb1","","","False","","",""
"","narrator_657c5949","","","False","","",""
"","S_2e7025e6","","","False","","",""
"","L_d04eee63","","","False","","",""
"","narrator_7104279f","","","False","","",""
"","narrator_9d2f23aa","","","False","","",""
"","L_75326906","","","False","","",""
"","narrator_134cd264","","","False","","",""
"","L_daa8cda1","","","False","","",""
"","S_58704c8d","","","False","","",""
"","narrator_7ff726a7","","","False","","",""
"","S_f6442dde","","","False","","",""
