"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"","narrator_42225baf","","","False","","",""
"","S1_6479db8c","","","False","","",""
"","L_47611823","","","False","","",""
"","S1_4a226aa8","","","False","","",""
"","L_9fe859f4","","","False","","",""
"","S1_1dbff532","","","False","","",""
"","S1_f56cf277","","","False","","",""
"","L_53930c75","","","False","","",""
"","narrator_546beabe","","","False","","",""
"","L_7309a9ff","","","False","","",""
"","S1_824e030a","","","False","","",""
"","S1_9b7bfa1c","","","False","","",""
"","L_de8d34a5","","","False","","",""
"","S1_8b34530d","","","False","","",""
"","S1_bb3a6679","","","False","","",""
"","narrator_34459861","","","False","","",""
"","L_2306fd44","","","False","","",""
"","narrator_24a26d60","","","False","","",""
"","S1_2310f20f","","","False","","",""
"","L_e4205be7","","","False","","",""
"","S1_2fd84186","","","False","","",""
"","L_fb1d0380","","","False","","",""
"","S1_41d551c9","","","False","","",""
"","S1_8f7da4d9","","","False","","",""
"","L_b94bfc5a","","","False","","",""
"","S1_24a56bd6","","","False","","",""
"","S1_d166d3cd","","","False","","",""
"","L_2e6e7eca","","","False","","",""
"","S1_0d3de4ea","","","False","","",""
"","S1_51722854","","","False","","",""
"","L_f46a1988","","","False","","",""
"","narrator_4dfdf666","","","False","","",""
"","S1_0d09298f","","","False","","",""
"","S1_28f332e9","","","False","","",""
"","L_eb0494e7","","","False","","",""
"","S1_ecfa7f54","","","False","","",""
"","L_d506b52e","","","False","","",""
"","L_6becb3f3","","","False","","",""
"","S1_bcb7057e","","","False","","",""
"","L_c2f9d257","","","False","","",""
"","S1_e51897e8","","","False","","",""
"","L_c34768f8","","","False","","",""
"","L_c9dba45d","","","False","","",""
"","narrator_e9d44cc7","","","False","","",""
"","L_69bd0542","","","False","","",""
"","L_c80e3dd1","","","False","","",""
"","L_5eba5f5e","","","False","","",""
"","narrator_e374bd52","","","False","","",""
"","S1_d010a995","","","False","","",""
"","S1_979ffd71","","","False","","",""
"","L_a5766797","","","False","","",""
"","L_a9567d0f","","","False","","",""
"","L_01a46dde","","","False","","",""
"","S1_f6c86c7e","","","False","","",""
"","S1_04a20ccd","","","False","","",""
"","S1_4aef4c0a","","","False","","",""
"","L_8380dc5d","","","False","","",""
"","L_b00aa275","","","False","","",""
"","narrator_ba7432ac","","","False","","",""
"","L_b08497ee","","","False","","",""
"","L_779c4da3","","","False","","",""
"","narrator_1a2da092","","","False","","",""
"","narrator_762c9fd3","","","False","","",""
"","L_e8e7efb7","","","False","","",""
"","S1_6421bfa3","","","False","","",""
"","L_e2320bc1","","","False","","",""
"","L_175acb36","","","False","","",""
"","narrator_37c34937","","","False","","",""
"","S1_da788ba6","","","False","","",""
"","L_082a98f7","","","False","","",""
"","narrator_1a2da092_1","","","False","","",""
"","L_9779ad92","","","False","","",""
"","L_4d740e95","","","False","","",""
"","L_2a1e6a16","","","False","","",""
"","narrator_508951e0","","","False","","",""
"","narrator_ceac2649","","","False","","",""
"","S1_cfc8c000","","","False","","",""
"","narrator_1a2da092_2","","","False","","",""
"","narrator_5c9d2e35","","","False","","",""
"","L_7ddea471","","","False","","",""
"","L_fd348c15","","","False","","",""
"","L_462797ef","","","False","","",""
"","L_9095ddf0","","","False","","",""
"","S1_acb0c4f9","","","False","","",""
"","L_5a5bda54","","","False","","",""
"","S1_7c84db75","","","False","","",""
"","narrator_ccb3b04b","","","False","","",""
"","L_e3022dd4","","","False","","",""
"","S1_b1d59d89","","","False","","",""
"","S1_befc2c1b","","","False","","",""
"","L_ac5ea27f","","","False","","",""
"","S1_fc0c9714","","","False","","",""
"","L_0f47c23e","","","False","","",""
"","narrator_1a2da092_3","","","False","","",""
"","L_c80e3dd1_1","","","False","","",""
"","L_d1e4e151","","","False","","",""
"","L_5a003e47","","","False","","",""
"","narrator_38a332a1","","","False","","",""
"","S1_934a2cdf","","","False","","",""
"","L_95e54f5d","","","False","","",""
"","L_8525368f","","","False","","",""
"","S1_d115b911","","","False","","",""
"","L_1ff3d14b","","","False","","",""
"","S1_8a6177b8","","","False","","",""
"","L_579e6aa9","","","False","","",""
"","L_a55fe76a","","","False","","",""
"","L_6e7d402e","","","False","","",""
"","S1_dcbf4ad6","","","False","","",""
"","L_c7e7ffe7","","","False","","",""
"","L_1b3aef56","","","False","","",""
"","L_cc4b51f9","","","False","","",""
"","S1_dc809f42","","","False","","",""
"","S1_12a9c958","","","False","","",""
"","narrator_fc50b62d","","","False","","",""
"","S1_885addb1","","","False","","",""
"","L_52f8626a","","","False","","",""
"","L_d13a0005","","","False","","",""
"","S1_207a37b6","","","False","","",""
"","S1_9c986159","","","False","","",""
"","L_9de7e1e0","","","False","","",""
"","narrator_15ccab29","","","False","","",""
"","L_24e67e4f","","","False","","",""
"","L_ca0663d4","","","False","","",""
"","L_13d088ab","","","False","","",""
"","L_d1744760","","","False","","",""
"","S1_8f4c6244","","","False","","",""
"","L_b0714d1d","","","False","","",""
"","S1_e0d6682c","","","False","","",""
"","narrator_ea88da42","","","False","","",""
"","L_62db169b","","","False","","",""
"","S1_b66c3210","","","False","","",""
"","L_84297caa","","","False","","",""
"","S1_2e3853ac","","","False","","",""
"","intro_0af74749","","","False","","",""
"","L_d90084e9","","","False","","",""
"","L_719ce7d0","","","False","","",""
"","S1_aa8f9a4e","","","False","","",""
"","L_d735d59c","","","False","","",""
"","S1_de035ca4","","","False","","",""
"","L_c5bcb5d3","","","False","","",""
"","S1_a8ef85c7","","","False","","",""
"","S1_da7225de","","","False","","",""
"","L_d45646d8","","","False","","",""
"","L_d42f732a","","","False","","",""
"","S1_50fd612c","","","False","","",""
"","narrator_af4602d1","","","False","","",""
"","L_66153331","","","False","","",""
"","L_89fbb76b","","","False","","",""
"","S1_05af6475","","","False","","",""
"","L_715e553e","","","False","","",""
"","S1_9fc4f36a","","","False","","",""
"","S1_271b8c50","","","False","","",""
"","L_aaef58bc","","","False","","",""
"","L_3ceccc40","","","False","","",""
"","L_abac6efb","","","False","","",""
"","L_a6d52a15","","","False","","",""
"","S1_8a9501c9","","","False","","",""
"","L_df571a2f","","","False","","",""
"","S1_438376a1","","","False","","",""
"","S1_8f44a101","","","False","","",""
"","L_b29e7aef","","","False","","",""
"","S1_a01a661e","","","False","","",""
"","S1_74057855","","","False","","",""
"","L_d75e30a2","","","False","","",""
"","S1_b2488da9","","","False","","",""
"","S1_60bf7d84","","","False","","",""
"","L_b6b0bdfb","","","False","","",""
"","S1_752924b7","","","False","","",""
"","S1_9d0a1dc5","","","False","","",""
"","L_ce99b8c1","","","False","","",""
"","L_9e6d5435","","","False","","",""
"","L_3846664f","","","False","","",""
"","S1_fac65786","","","False","","",""
"","S1_ab68612c","","","False","","",""
"","S1_f3af3445","","","False","","",""
"","L_1f3ed59e","","","False","","",""
"","S1_ea3ba776","","","False","","",""
"","S1_bd33b7a6","","","False","","",""
"","S1_6315e705","","","False","","",""
"","L_4a27c881","","","False","","",""
"","intro_0af74749_1","","","False","","",""
"","narrator_1977a447","","","False","","",""
"","S1_8f14099c","","","False","","",""
"","L_1c0c1076","","","False","","",""
"","S1_66ebfc95","","","False","","",""
"","L_dd11fc6f","","","False","","",""
"","S1_e3b616b7","","","False","","",""
"","L_4325cf6d","","","False","","",""
"","S1_58663343","","","False","","",""
"","narrator_dee38cf8","","","False","","",""
"","L_2492f4cd","","","False","","",""
"","S1_e9d8be32","","","False","","",""
"","L_6d485716","","","False","","",""
"","S1_b5e25ce0","","","False","","",""
"","L_d0f0a2c7","","","False","","",""
"","S1_577c4bc5","","","False","","",""
"","L_20e84044","","","False","","",""
"","S1_e086db8b","","","False","","",""
"","L_d1147a27","","","False","","",""
"","S1_05569915","","","False","","",""
"","S1_ff2d7d7c","","","False","","",""
"","L_90dc6836","","","False","","",""
"","narrator_3763a8f3","","","False","","",""
"","L_8fd10542","","","False","","",""
"","S1_1d7bca81","","","False","","",""
"","S1_dbf18f8a","","","False","","",""
"","L_90f724b7","","","False","","",""
"","L_ee696afb","","","False","","",""
"","S1_a9f31820","","","False","","",""
"","S1_35b03cea","","","False","","",""
"","L_64a327c4","","","False","","",""
"","narrator_642422b6","","","False","","",""
"","S1_18370fb5","","","False","","",""
"","L_834812a0","","","False","","",""
"","L_5b15815a","","","False","","",""
"","S1_d50e08b7","","","False","","",""
"","L_cede5caf","","","False","","",""
"","S1_c7faccc8","","","False","","",""
"","S1_053d608e","","","False","","",""
"","L_b032bb04","","","False","","",""
"","S1_68f4f8a7","","","False","","",""
"","L_82261942","","","False","","",""
"","S1_f1240b16","","","False","","",""
"","L_6182e097","","","False","","",""
"","L_47072e17","","","False","","",""
"","L_72367b04","","","False","","",""
"","S1_a9cc153b","","","False","","",""
"","L_c8c62441","","","False","","",""
"","L_15f85284","","","False","","",""
"","L_1e1be8bc","","","False","","",""
"","S1_014f9ca6","","","False","","",""
"","L_bcc09075","","","False","","",""
"","L_427481cc","","","False","","",""
"","S1_fbf256a8","","","False","","",""
"","L_c896b111","","","False","","",""
"","S1_2f1678e1","","","False","","",""
"","L_3fed5af7","","","False","","",""
"","S1_dad25047","","","False","","",""
"","L_a6a625af","","","False","","",""
"","S1_194db870","","","False","","",""
