"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"","S_6d409d59","","","False","","",""
"","C_cb67bfa9","","","False","","",""
"","S_43b0c2c5","","","False","","",""
"","C_06a95de9","","","False","","",""
"","S_6237c055","","","False","","",""
"","C_2d94fd89","","","False","","",""
"","S_b7ea4226","","","False","","",""
"","C_7c658f78","","","False","","",""
"","C_450cde06","","","False","","",""
"","S_65fe8ded","","","False","","",""
"","C_6a4f113a","","","False","","",""
"","C_31e364e5","","","False","","",""
"","S_297dbe80","","","False","","",""
"","C_b1950e5c","","","False","","",""
"","S_842305d7","","","False","","",""
"","C_33ae2e3d","","","False","","",""
"","S_e28e4bb0","","","False","","",""
"","C_2bce80e2","","","False","","",""
"","S_a2d84fda","","","False","","",""
"","C_91032714","","","False","","",""
"","S_e027bab7","","","False","","",""
"","C_631a967d","","","False","","",""
"","S_382188bb","","","False","","",""
"","C_9c217513","","","False","","",""
"","C_2cb51ab2","","","False","","",""
"","C_a7cc3745","","","False","","",""
"","S_f74a49f6","","","False","","",""
"","C_aa32d2ec","","","False","","",""
"","C_47caf2c8","","","False","","",""
"","C_7c04b044","","","False","","",""
"","S_50a27d70","","","False","","",""
"","C_6fb5d51e","","","False","","",""
"","C_5f34e759","","","False","","",""
"","S_1b705a96","","","False","","",""
"","S_0ae904bb","","","False","","",""
"","C_1da454d7","","","False","","",""
"","C_f125d38c","","","False","","",""
"","S_7d9cae1a","","","False","","",""
"","C_0ff8d992","","","False","","",""
"","S_400baa78","","","False","","",""
"","C_9ac40c63","","","False","","",""
"","S_de2d9748","","","False","","",""
"","S_b4ad79e2","","","False","","",""
"","C_ff47be77","","","False","","",""
"","S_34df62c4","","","False","","",""
"","C_981939d2","","","False","","",""
"","S_1b705a96_1","","","False","","",""
"","C_8991b22f","","","False","","",""
"","S_54c9ebfb","","","False","","",""
"","C_57876dbe","","","False","","",""
"","S_63eb67f8","","","False","","",""
"","C_349599a1","","","False","","",""
"","S_f93f4c91","","","False","","",""
"","C_05825921","","","False","","",""
"","S_1b705a96_2","","","False","","",""
"","S_dddd2993","","","False","","",""
"","C_d4527756","","","False","","",""
"","S_37e75eb6","","","False","","",""
"","C_e5001966","","","False","","",""
"","narrator_d588c5f2","","","False","","",""
"","narrator_7685acd6","","","False","","",""
"","narrator_66ec5516","","","False","","",""
"","S_ec2426e2","","","False","","",""
"","narrator_4384e867","","","False","","",""
"","C_6273fbe8","","","False","","",""
"","S_18731fc3","","","False","","",""
"","C_61700e23","","","False","","",""
"","S_1b705a96_3","","","False","","",""
"","S_9a21b0ed","","","False","","",""
"","C_b027f044","","","False","","",""
"","S_f4aa07d8","","","False","","",""
"","S_92a31744","","","False","","",""
"","C_4a095cb3","","","False","","",""
"","narrator_ddac9f27","","","False","","",""
"","S_1b705a96_4","","","False","","",""
"","S_ec2426e2_1","","","False","","",""
"","S_bf40b4a8","","","False","","",""
"","narrator_9eacfd8f","","","False","","",""
"","S_73d814cb","","","False","","",""
"","S_9515d672","","","False","","",""
"","C_690392d1","","","False","","",""
"","S_c0f3d284","","","False","","",""
"","C_1939580b","","","False","","",""
"","S_7a8df9b7","","","False","","",""
"","C_81498996","","","False","","",""
"","C_60cc968e","","","False","","",""
"","S_eddd875f","","","False","","",""
"","C_40c99901","","","False","","",""
"","S_d7c776d1","","","False","","",""
"","S_5a66ba84","","","False","","",""
"","S_f6634bec","","","False","","",""
"","C_44bc593c","","","False","","",""
"","S_1e7d35c2","","","False","","",""
"","S_07a418a6","","","False","","",""
"","S_7f0c5065","","","False","","",""
"","S_dcbf925e","","","False","","",""
"","C_4c820000","","","False","","",""
"","S_7f0f6d35","","","False","","",""
"","S_27632de1","","","False","","",""
"","S_4c5508c5","","","False","","",""
"","S_ec2426e2_2","","","False","","",""
"","S_f727f3b5","","","False","","",""
"","S_69fe779a","","","False","","",""
"","narrator_053bc8f9","","","False","","",""
"","S_c925d3a1","","","False","","",""
"","S_ec2426e2_3","","","False","","",""
"","narrator_9352d8cf","","","False","","",""
"","S_4fd4c3ed","","","False","","",""
"","narrator_0e51e8f3","","","False","","",""
"","narrator_df6c1607","","","False","","",""
"","S_48f9b955","","","False","","",""
"","S_b65b21be","","","False","","",""
"","S_74e18d0f","","","False","","",""
"","C_e3c268c2","","","False","","",""
"","S_9f2bfb58","","","False","","",""
"","C_78715bb0","","","False","","",""
"","S_de38fced","","","False","","",""
"","narrator_9352d8cf_1","","","False","","",""
"","S_cd90a38b","","","False","","",""
"","S_69b43ec9","","","False","","",""
"","C_58b1c0b0","","","False","","",""
"","S_edbe8c7b","","","False","","",""
"","C_fc95e4bd","","","False","","",""
"","S_ec7a2887","","","False","","",""
"","S_bff97ff4","","","False","","",""
"","C_de20d966","","","False","","",""
"","S_11d9aa11","","","False","","",""
"","C_c9a8c599","","","False","","",""
"","S_16ac3c0f","","","False","","",""
"","C_57c5c198","","","False","","",""
"","S_bb11dc21","","","False","","",""
"","C_f6284a4a","","","False","","",""
"","S_a1266916","","","False","","",""
"","C_1c9cbd2f","","","False","","",""
"","narrator_f83f1b55","","","False","","",""
"","S_6356f6c1","","","False","","",""
"","S_704455a5","","","False","","",""
"","S_3fab0822","","","False","","",""
"","S_ec2813ff","","","False","","",""
"","S_bdc5e917","","","False","","",""
"","S_5b28c6f3","","","False","","",""
"","S_795b3abe","","","False","","",""
"","S_b910e45f","","","False","","",""
"","S_b1ac9189","","","False","","",""
"","S_24697c85","","","False","","",""
"","narrator_af76a1b7","","","False","","",""
"","S_f02a0b83","","","False","","",""
"","S_e8b81470","","","False","","",""
"","S_979e71e3","","","False","","",""
"","narrator_af76a1b7_1","","","False","","",""
"","S_eb685ecf","","","False","","",""
"","S_1b98eac1","","","False","","",""
"","S_a98d98d6","","","False","","",""
"","narrator_af76a1b7_2","","","False","","",""
"","narrator_af76a1b7_3","","","False","","",""
"","S_fd337923","","","False","","",""
"","S_b8efaf02","","","False","","",""
"","S_4f77eb30","","","False","","",""
"","C_3c7de152","","","False","","",""
"","S_73552055","","","False","","",""
"","C_e9ffe593","","","False","","",""
"","S_cff62fd2","","","False","","",""
"","S_5f3fac8e","","","False","","",""
"","S_d2182d7d","","","False","","",""
"","narrator_3936a597","","","False","","",""
"","S_12022d8b","","","False","","",""
"","S_1ba1d62c","","","False","","",""
"","S_0e025f0c","","","False","","",""
"","S_b4b307cf","","","False","","",""
"","S_63bac711","","","False","","",""
"","S_475e5826","","","False","","",""
"","S_afb8b7f8","","","False","","",""
"","S_9ccdcb2c","","","False","","",""
"","S_5b28c6f3_1","","","False","","",""
"","S_b582493d","","","False","","",""
"","S_ddc1563d","","","False","","",""
"","narrator_83dc56e9","","","False","","",""
"","S_dd5047c9","","","False","","",""
"","C_87b8e6c4","","","False","","",""
"","S_df1bcbb3","","","False","","",""
"","S_fecfb357","","","False","","",""
"","S_88c0d1fd","","","False","","",""
"","S_57f950e0","","","False","","",""
"","S_cc715253","","","False","","",""
"","S_42fa6d3b","","","False","","",""
"","S_91ef21ef","","","False","","",""
"","C_5091fa58","","","False","","",""
"","S_71763a8a","","","False","","",""
"","C_1b80cfe4","","","False","","",""
"","S_b5ad45ed","","","False","","",""
"","C_2287987e","","","False","","",""
"","S_91427d30","","","False","","",""
"","S_35776570","","","False","","",""
"","C_f58c6f25","","","False","","",""
"","S_fce8e1ac","","","False","","",""
"","C_ab5e8fc4","","","False","","",""
"","C_18acab08","","","False","","",""
