"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"","L_7409269b","","","False","","",""
"","S_e529eafb","","","False","","",""
"","L_1483b056","","","False","","",""
"","S_561a3986","","","False","","",""
"","S_42b53831","","","False","","",""
"","L_0e7078b8","","","False","","",""
"","S_74824b26","","","False","","",""
"","L_2863de9c","","","False","","",""
"","S_7a281af6","","","False","","",""
"","L_ecdecaf4","","","False","","",""
"","S_ab966468","","","False","","",""
"","L_79c1afde","","","False","","",""
"","S_08732e20","","","False","","",""
"","L_5542942e","","","False","","",""
"","L_14c90766","","","False","","",""
"","S_3d75361d","","","False","","",""
"","L_1c4a498a","","","False","","",""
"","S_082838d1","","","False","","",""
"","narrator_97a63ed9","","","False","","",""
"","S_504090b0","","","False","","",""
"","L_f2947235","","","False","","",""
"","narrator_026ba0b7","","","False","","",""
"","L_b932dab5","","","False","","",""
"","L_77c32195","","","False","","",""
"","L_d936bea1","","","False","","",""
"","S_54a4af46","","","False","","",""
"","L_990924a1","","","False","","",""
"","L_c269332b","","","False","","",""
"","S_faa7e995","","","False","","",""
"","narrator_c2313114","","","False","","",""
"","S_74754ed1","","","False","","",""
"","L_8ab56b7a","","","False","","",""
"","S_f2789a72","","","False","","",""
"","L_f91cb7ca","","","False","","",""
"","S_406dab7a","","","False","","",""
"","L_1372bfcb","","","False","","",""
"","narrator_879cfb7d","","","False","","",""
"","S_69112a26","","","False","","",""
"","S_db1c1c8c","","","False","","",""
"","L_b9543fe3","","","False","","",""
"","S_5fa9e5aa","","","False","","",""
"","L_ad695f8d","","","False","","",""
"","narrator_af4f7443","","","False","","",""
"","S_25997af8","","","False","","",""
"","L_68fb918c","","","False","","",""
"","S_514bb024","","","False","","",""
"","L_39f9a958","","","False","","",""
"","S_21c4d939","","","False","","",""
"","L_c97fb941","","","False","","",""
"","S_2dab1cf0","","","False","","",""
"","S_6f1685a7","","","False","","",""
"","L_da89c847","","","False","","",""
"","S_72a78174","","","False","","",""
"","narrator_defffd74","","","False","","",""
"","S_83630689","","","False","","",""
"","S_e8953136","","","False","","",""
"","S_fc190dc1","","","False","","",""
"","L_0412edfd","","","False","","",""
"","S_f9bf8c2c","","","False","","",""
"","S_62da0592","","","False","","",""
"","S_bb9dcdb2","","","False","","",""
"","L_fc48dcac","","","False","","",""
"","L_22abab7c","","","False","","",""
"","S_356c2885","","","False","","",""
"","S_7a879ed1","","","False","","",""
"","L_7191c354","","","False","","",""
"","L_677bf643","","","False","","",""
"","L_0ec24985","","","False","","",""
"","L_6bcf0766","","","False","","",""
"","L_3b475d7e","","","False","","",""
"","L_b24f6804","","","False","","",""
"","L_7b83776b","","","False","","",""
"","L_de0c8da0","","","False","","",""
"","L_83ce4d90","","","False","","",""
"","L_ee4cb81c","","","False","","",""
"","narrator_f434ebc6","","","False","","",""
"","S_6d019b86","","","False","","",""
"","L_222450bd","","","False","","",""
"","L_b2e167a1","","","False","","",""
"","narrator_baead47e","","","False","","",""
"","L_835c63ef","","","False","","",""
"","narrator_ef41f359","","","False","","",""
"","S_325715e3","","","False","","",""
"","L_2d696f00","","","False","","",""
"","S_274f0226","","","False","","",""
"","L_99bd4694","","","False","","",""
"","L_5d07e4db","","","False","","",""
"","S_c1ffb508","","","False","","",""
"","S_e1253365","","","False","","",""
"","L_e6ace859","","","False","","",""
"","L_803b6c4b","","","False","","",""
"","L_de7101fc","","","False","","",""
"","L_7e0c1381","","","False","","",""
"","L_16865f8a","","","False","","",""
"","S_7c0c9786","","","False","","",""
"","L_9209fe96","","","False","","",""
"","S_04c1e2ed","","","False","","",""
"","L_f5deb2af","","","False","","",""
"","S_76d95800","","","False","","",""
"","S_a6a2a204","","","False","","",""
"","L_53a2cccd","","","False","","",""
"","L_790c183b","","","False","","",""
"","S_9fdde3ff","","","False","","",""
"","L_ddfb3e14","","","False","","",""
"","S_5db5285e","","","False","","",""
"","L_95dd2813","","","False","","",""
"","S_6abb02e2","","","False","","",""
"","S_99bc6656","","","False","","",""
"","S_1a42aca8","","","False","","",""
"","S_17f6ca1c","","","False","","",""
"","narrator_12427031","","","False","","",""
"","S_573fb175","","","False","","",""
"","L_42233617","","","False","","",""
"","L_4c3b8299","","","False","","",""
"","S_a3f7fe57","","","False","","",""
"","L_df323f27","","","False","","",""
"","S_0e0f56c6","","","False","","",""
"","centered_bc1ba3a5","","","False","","",""
"","centered_924c2d07","","","False","","",""
"","S_3961c381","","","False","","",""
"","L_f6e1b4fd","","","False","","",""
"","S_158ccbbd","","","False","","",""
"","L_40d4785f","","","False","","",""
"","L_4acf4677","","","False","","",""
"","L_3d5cead8","","","False","","",""
"","L_8e8ef174","","","False","","",""
"","L_2dd2a134","","","False","","",""
"","S_022c0507","","","False","","",""
"","S_b05f1f35","","","False","","",""
"","L_42342747","","","False","","",""
"","S_df423e9f","","","False","","",""
"","S_df3b0ac0","","","False","","",""
"","L_87043bec","","","False","","",""
"","narrator_b802652d","","","False","","",""
"","S_aeab5bc1","","","False","","",""
"","S_5dcec42f","","","False","","",""
"","S_63701f77","","","False","","",""
"","narrator_7cbb5235","","","False","","",""
"","S_23af42ff","","","False","","",""
"","S1_ff3ce155","","","False","","",""
"","S_efd6c992","","","False","","",""
"","S_cebc157e","","","False","","",""
"","narrator_db441d2e","","","False","","",""
"","S_1750003c","","","False","","",""
"","narrator_92c5413b","","","False","","",""
"","S_ccea1056","","","False","","",""
"","S1_e23b477b","","","False","","",""
"","S1_809e032b","","","False","","",""
"","narrator_d2593cba","","","False","","",""
"","narrator_34160e81","","","False","","",""
"","S1_918550ee","","","False","","",""
"","narrator_9e37a584","","","False","","",""
"","S_20b7eab0","","","False","","",""
"","S1_2786f0d7","","","False","","",""
"","S1_c9ae351a","","","False","","",""
"","S_b5b20d86","","","False","","",""
"","S_efe31d7b","","","False","","",""
"","narrator_359ab41f","","","False","","",""
"","S1_334029a3","","","False","","",""
"","narrator_a78dd02b","","","False","","",""
"","narrator_d2593cba_1","","","False","","",""
"","S1_6a8b7901","","","False","","",""
"","narrator_c1a6b8e6","","","False","","",""
"","S1_3fba4ee5","","","False","","",""
"","narrator_57cc54ec","","","False","","",""
"","narrator_77066e69","","","False","","",""
"","S1_aa2dc38a","","","False","","",""
"","S_3af5efb9","","","False","","",""
"","S1_16672882","","","False","","",""
"","narrator_922e22d0","","","False","","",""
"","S_06b1ca7b","","","False","","",""
"","narrator_81a6ba17","","","False","","",""
"","narrator_d9b55159","","","False","","",""
"","S1_ab488739","","","False","","",""
"","narrator_ee26a5ab","","","False","","",""
"","S1_4a11e79f","","","False","","",""
"","narrator_f3d1cf79","","","False","","",""
"","S_6b022822","","","False","","",""
"","S1_ad8335ca","","","False","","",""
"","S_23439a06","","","False","","",""
"","S1_89798c65","","","False","","",""
"","narrator_c204c199","","","False","","",""
"","S1_cadd3377","","","False","","",""
"","S1_c21fee1e","","","False","","",""
"","narrator_6abd7d42","","","False","","",""
"","S_dbfef925","","","False","","",""
"","S1_bcecd883","","","False","","",""
"","S1_f6814d57","","","False","","",""
"","S_eb090ceb","","","False","","",""
"","narrator_0e50f4a6","","","False","","",""
"","S1_d315a4fd","","","False","","",""
"","S1_3ef42d52","","","False","","",""
"","S_044560d7","","","False","","",""
"","S1_877d76bd","","","False","","",""
"","narrator_25e7df10","","","False","","",""
"","S_110ae60d","","","False","","",""
"","S1_803b85a3","","","False","","",""
"","S1_948c90f0","","","False","","",""
"","S_34d9a94d","","","False","","",""
"","narrator_b10c289d","","","False","","",""
"","S_0c86421b","","","False","","",""
"","S1_cde38ba8","","","False","","",""
"","S_ddb0d84f","","","False","","",""
"","S1_3cdb5101","","","False","","",""
"","S_be5593a7","","","False","","",""
"","S1_81009d95","","","False","","",""
"","S1_ad2970d6","","","False","","",""
"","S_e259b5ad","","","False","","",""
"","S1_67709c00","","","False","","",""
"","S_f8adb273","","","False","","",""
"","S1_334c43ce","","","False","","",""
"","S1_2749d823","","","False","","",""
"","S_4d82a53f","","","False","","",""
"","intro_3b3ae7d2","","","False","","",""
"","centered_a3b61c02","","","False","","",""
"","narrator_4ee33ce0","","","False","","",""
"","L_1bc578e1","","","False","","",""
"","L_246457c3","","","False","","",""
"","S_0b74a4c8","","","False","","",""
"","L_649cd795","","","False","","",""
"","S_54237721","","","False","","",""
"","L_94b5cf5f","","","False","","",""
"","narrator_45cc9a1d","","","False","","",""
"","S_e114b9d8","","","False","","",""
"","L_91399b31","","","False","","",""
"","S_6628a0d6","","","False","","",""
"","S_ebe9bb9b","","","False","","",""
"","S_680f21b7","","","False","","",""
"","narrator_ae97ac21","","","False","","",""
"","S_f35aa12b","","","False","","",""
"","narrator_9fe308de","","","False","","",""
"","L_df3247a7","","","False","","",""
"","S_f1c2ac03","","","False","","",""
"","L_6cd87aef","","","False","","",""
"","S_ef162b5b","","","False","","",""
"","narrator_68a01257","","","False","","",""
"","S_e4c69272","","","False","","",""
"","narrator_18a685d0","","","False","","",""
"","L_4560099e","","","False","","",""
"","L_766e2d1e","","","False","","",""
"","S_0247e0b0","","","False","","",""
"","L_6079eb1f","","","False","","",""
"","L_e7295654","","","False","","",""
"","S_5e584fc2","","","False","","",""
"","narrator_df4e6d41","","","False","","",""
"","L_a6a9b029","","","False","","",""
"","S_b5d0af8b","","","False","","",""
"","L_3156a66f","","","False","","",""
"","S_d1ff3af7","","","False","","",""
"","L_e6b8a04e","","","False","","",""
"","S_079a89d8","","","False","","",""
"","L_acbbf512","","","False","","",""
"","narrator_d19a3771","","","False","","",""
"","S_7c8b6157","","","False","","",""
"","narrator_b205ecf0","","","False","","",""
"","S_e7bcc235","","","False","","",""
"","L_1ac7dee9","","","False","","",""
"","S_e78f3e27","","","False","","",""
"","L_c449ffcc","","","False","","",""
"","L_0e0b76b3","","","False","","",""
"","S_95d12579","","","False","","",""
"","narrator_7639e9ad","","","False","","",""
"","S_26b64899","","","False","","",""
"","L_cc2a70e4","","","False","","",""
"","S_ac60bc7a","","","False","","",""
"","centered_d3a30d02","","","False","","",""
"","narrator_3b2c3647","","","False","","",""
"","S_9001b6f0","","","False","","",""
"","L_d282ed54","","","False","","",""
"","narrator_73269e9c","","","False","","",""
"","S_fe82f3f5","","","False","","",""
"","S_dea03559","","","False","","",""
"","L_083c481a","","","False","","",""
"","S_127f0207","","","False","","",""
"","L_3908c2d0","","","False","","",""
"","S_ef52f599","","","False","","",""
"","L_ee71adce","","","False","","",""
"","S_5438da5d","","","False","","",""
"","narrator_ac899e18","","","False","","",""
"","S_0883890f","","","False","","",""
"","L_10f1cf54","","","False","","",""
"","S_87c23709","","","False","","",""
"","L_44c42108","","","False","","",""
"","L_7ad4f7d0","","","False","","",""
"","L_13b9c414","","","False","","",""
"","S_b92c7b74","","","False","","",""
"","S_2857a6bf","","","False","","",""
"","L_96e7b681","","","False","","",""
"","L_8b8db209","","","False","","",""
"","S_877877c7","","","False","","",""
"","L_121805d8","","","False","","",""
"","S_28c0770a","","","False","","",""
"","S_ffc24a4d","","","False","","",""
"","L_c44fd5a4","","","False","","",""
"","narrator_6a4ac1ba","","","False","","",""
"","S_2c9869c8","","","False","","",""
"","L_7df72d16","","","False","","",""
"","S_1b42408e","","","False","","",""
"","narrator_43d5330e","","","False","","",""
"","L_7cbc5d57","","","False","","",""
"","S_d9ef2709","","","False","","",""
"","narrator_e60513dd","","","False","","",""
"","L_3cc89e52","","","False","","",""
"","S_d3584763","","","False","","",""
"","L_799102b2","","","False","","",""
"","L_72f59b35","","","False","","",""
"","narrator_cd9ffd1f","","","False","","",""
"","L_c5960c00","","","False","","",""
"","S_c6304add","","","False","","",""
"","narrator_fd0bcfa5","","","False","","",""
"","L_d1ba5e00","","","False","","",""
"","L_4ce8aa2f","","","False","","",""
"","L_7f557f4f","","","False","","",""
"","S_9b9bbdf4","","","False","","",""
"","narrator_69c4ea7e","","","False","","",""
"","L_b6f31185","","","False","","",""
"","S_8d99d2df","","","False","","",""
"","S_160588d1","","","False","","",""
"","L_bbf8dce3","","","False","","",""
"","narrator_7099a7ea","","","False","","",""
"","S_b34d012b","","","False","","",""
"","L_9b10342f","","","False","","",""
"","S_3496eee8","","","False","","",""
"","L_31d85d03","","","False","","",""
"","S_c50f0389","","","False","","",""
"","L_8ecbf5ee","","","False","","",""
"","S_de26212b","","","False","","",""
"","S_ef276ada","","","False","","",""
"","L_2ddbd3c3","","","False","","",""
"","S_be9bf948","","","False","","",""
"","L_e811ff5f","","","False","","",""
"","S_b87843bb","","","False","","",""
"","L_997e20ce","","","False","","",""
"","S_6c9430e9","","","False","","",""
"","L_c2aac88f","","","False","","",""
"","S_adca1260","","","False","","",""
"","narrator_0a1808a9","","","False","","",""
"","S_8d7250c7","","","False","","",""
"","S_119aba39","","","False","","",""
"","L_ce17b0d5","","","False","","",""
"","S_2e322ebd","","","False","","",""
"","S_ff3ed622","","","False","","",""
