"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"","S_61118b53","","","False","","",""
"","S_9606c72a","","","False","","",""
"","narrator_0db4c55c","","","False","","",""
"","S_849debd5","","","False","","",""
"","narrator_432bde0f","","","False","","",""
"","S_605a4a42","","","False","","",""
"","S_147fbf7c","","","False","","",""
"","S_fb7b044e","","","False","","",""
"","narrator_434296a7","","","False","","",""
"","S_bc44e6f2","","","False","","",""
"","S_187a23f7","","","False","","",""
"","S1_81b6a83c","","","False","","",""
"","S_2418a4dd","","","False","","",""
"","S1_50a5d1a3","","","False","","",""
"","S_94508f40","","","False","","",""
"","S1_98be0feb","","","False","","",""
"","narrator_2201d731","","","False","","",""
"","S_d98f7673","","","False","","",""
"","S1_11ac4723","","","False","","",""
"","S_774d04f8","","","False","","",""
"","S1_57cb423e","","","False","","",""
"","S_b7dc6f59","","","False","","",""
"","S1_4bd0753c","","","False","","",""
"","S_966c3113","","","False","","",""
"","narrator_1aa6d4f5","","","False","","",""
"","S_0720e833","","","False","","",""
"","S1_53c3f1ab","","","False","","",""
"","narrator_ff42d5de","","","False","","",""
"","S_1cc13f0e","","","False","","",""
"","S1_daec320e","","","False","","",""
"","S1_a9699ecb","","","False","","",""
"","S_163ea4d1","","","False","","",""
"","S_1482ce31","","","False","","",""
"","S1_03d912fb","","","False","","",""
"","S_bc0e169e","","","False","","",""
"","narrator_779a032e","","","False","","",""
"","narrator_1bb09955","","","False","","",""
"","S_56ebd6ca","","","False","","",""
"","narrator_833bf4a6","","","False","","",""
"","S1_87ad2ea8","","","False","","",""
"","S_25eb5348","","","False","","",""
"","S1_f02416d5","","","False","","",""
"","S1_6b9ffe4e","","","False","","",""
"","narrator_64f8c62f","","","False","","",""
"","S_067b2ff0","","","False","","",""
"","S1_aa3640b3","","","False","","",""
"","S_328577df","","","False","","",""
"","S1_02af72f7","","","False","","",""
"","S_879e9688","","","False","","",""
"","S1_06863bd9","","","False","","",""
"","narrator_163bd1f8","","","False","","",""
"","S1_4c07d67d","","","False","","",""
"","S_55a86855","","","False","","",""
"","S1_b9f7e7be","","","False","","",""
"","S_d68cdf55","","","False","","",""
"","narrator_20d53516","","","False","","",""
"","narrator_f4d2d36c","","","False","","",""
"","S_e66d2f38","","","False","","",""
"","S1_87e02426","","","False","","",""
"","narrator_fcef8594","","","False","","",""
"","S1_29671653","","","False","","",""
"","narrator_2194e38c","","","False","","",""
"","S1_91b68d35","","","False","","",""
"","narrator_af9cc496","","","False","","",""
"","narrator_755bab8e","","","False","","",""
"","S_b2ffc83c","","","False","","",""
"","narrator_bb82897a","","","False","","",""
"","S_387f427b","","","False","","",""
"","S_600647dc","","","False","","",""
"","S1_2871baf5","","","False","","",""
"","S_e51baf33","","","False","","",""
"","S1_7f7f4a6e","","","False","","",""
"","narrator_282608d1","","","False","","",""
"","S_3e3748b5","","","False","","",""
"","S1_89decb13","","","False","","",""
"","narrator_03528adb","","","False","","",""
"","S1_a689aa1f","","","False","","",""
"","S_bf9a9443","","","False","","",""
"","S1_4218d541","","","False","","",""
"","narrator_b9cd8bc9","","","False","","",""
"","S1_bce1323e","","","False","","",""
"","S_ebab87b8","","","False","","",""
"","narrator_026809a9","","","False","","",""
"","narrator_3d4e5c0e","","","False","","",""
"","S1_6f06e04a","","","False","","",""
"","S1_9d81b817","","","False","","",""
"","S_21413914","","","False","","",""
"","S_2c956575","","","False","","",""
"","S1_e23ce156","","","False","","",""
"","S_6667decc","","","False","","",""
"","S1_45314805","","","False","","",""
"","narrator_eb8cef70","","","False","","",""
"","S1_fcf4c6e0","","","False","","",""
"","S1_65823335","","","False","","",""
"","S_934666ee","","","False","","",""
"","S_b2ffc83c_1","","","False","","",""
"","narrator_0d5b0794","","","False","","",""
"","S_a9c2fddf","","","False","","",""
"","narrator_0d5789f1","","","False","","",""
"","S_9c85830e","","","False","","",""
"","S_daeb2165","","","False","","",""
"","S_25eb5348_1","","","False","","",""
"","S_faca737c","","","False","","",""
"","S_fe59a906","","","False","","",""
