"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"","H_370589f8","","","False","","",""
"","S_dbc809da","","","False","","",""
"","H_979f3fb3","","","False","","",""
"","H_b17ad5ae","","","False","","",""
"","H_d69c3ccf","","","False","","",""
"","narrator_5afd32ee","","","False","","",""
"","Hside1_6ce82feb","","","False","","",""
"","S_49b29eb0","","","False","","",""
"","Hside1_d49a52e7","","","False","","",""
"","S_da94f4b0","","","False","","",""
"","S_fefb1751","","","False","","",""
"","Hside1_1ca2a465","","","False","","",""
"","S_79688d1b","","","False","","",""
"","narrator_4333c8ee","","","False","","",""
"","Hside1_cbf57f3b","","","False","","",""
"","S_8ec3f94d","","","False","","",""
"","Hside1_e8b24ca1","","","False","","",""
"","Hside1_7e5d5cda","","","False","","",""
"","S_6fc4313b","","","False","","",""
"","Hside1_72b585a2","","","False","","",""
"","S_e6fcaa4b","","","False","","",""
"","Hside1_618da9bb","","","False","","",""
"","Hside1_207cfbe4","","","False","","",""
"","Hside1_766f8c86","","","False","","",""
"","S_ba90aa9e","","","False","","",""
"","Hside1_8318f0c8","","","False","","",""
"","S_099309c4","","","False","","",""
"","S_02cb705f","","","False","","",""
"","Hside1_fd29604d","","","False","","",""
"","S_6c379d7e","","","False","","",""
"","Hside1_b30eef95","","","False","","",""
"","S_50261f4e","","","False","","",""
"","S_dcddcf42","","","False","","",""
"","intro_f668e793","","","False","","",""
"","narrator_a93f6cd2","","","False","","",""
"","S_cd86eba4","","","False","","",""
"","H_aba85136","","","False","","",""
"","S_83e0c544","","","False","","",""
"","S_763ee36b","","","False","","",""
"","H_954ef8f5","","","False","","",""
"","H_2f1acc0e","","","False","","",""
"","H_4d80afd0","","","False","","",""
"","S_e8a7d551","","","False","","",""
"","H_2c9bb936","","","False","","",""
"","H_7aec468b","","","False","","",""
"","S_2b2ef3c9","","","False","","",""
"","H_8129538d","","","False","","",""
"","narrator_72a57c31","","","False","","",""
"","H_b2bebab4","","","False","","",""
"","S_2377c9ce","","","False","","",""
"","H_40549351","","","False","","",""
"","H_aeb7f2a0","","","False","","",""
"","S_95b91384","","","False","","",""
