location,source,target,ID,fuzzy,context,translator_comments,developer_comments
,S_3072cdd1,"S ""!!!""",,,,,
,S_25090f94,"S ""I think I found something.""",,,,,
,C_e588db96,"C ""(!!!)""",,,,,
,narrator_3c533730,"""Sarah found a barely noticeable crumpled piece of paper.""",,,,,
,S_3072cdd1_1,"S ""!!!""",,,,,
,S_9cc66dcd,"S ""W-what is this???""",,,,,
,S_fe583423,"S ""Looks like a piece of paper.""",,,,,
,S_d30194d0,"S ""Maybe it's the plan of the base?""",,,,,
,C_46bc7be8,"C ""(And why would they be here?)""",,,,,
,S_7a2ddfe2,"S ""How do I know? It doesn't matter!""",,,,,
,narrator_8c5e5c22,"""Sarah smoothed out the paper. A picture of a beautiful long-haired girl in a weird ancient garb was on it.""",,,,,
,S_f3a7b65f,"S ""This doesn't look like a plan...""",,,,,
,S_a3e890a5,"S ""Who's that?""",,,,,
,C_dc1b2894,"C ""(Mmh, she's sexy.)""",,,,,
,S_9f723941,"S ""...""",,,,,
,S_1f28effd,"S ""(And that's the only thing concerning you... pervert.)""",,,,,
,C_88bc939c,"C ""(She looks a lot like you, do you know her?)""",,,,,
,S_65af127e,"S ""No, she's dressed in a costume I've never seen before.""",,,,,
,narrator_c3c276d5,"""Sarah carefully inspects the painting from all angles, trying to get a better look at the girl in it.""",,,,,
,S_1f15b318,"S ""Wait, it's covered in something white...""",,,,,
,C_a23ed98c,"C ""(I think I know what that is.)""",,,,,
,C_e4fe99a4,"C ""(Tha...{w=1.0} {nw})""",,,,,
,S_3072cdd1_2,"S ""!!!""",,,,,
,S_ae3f5b03,"S ""Shut up! I don't want to hear it...""",,,,,
,C_51e5f288,"C ""(...)""",,,,,
,S_e556e008,"S ""That's disgusting!""",,,,,
,C_336f86b9,"C ""(Anyway, you thought right!)""",,,,,
,S_9f723941_1,"S ""...""",,,,,
,S_5d827bfc,"S ""I told you to shut up!""",,,,,
,C_51e5f288_1,"C ""(...)""",,,,,
,S_3182c1a3,"S ""Oh god, why did I touch it?!""",,,,,
,narrator_b5e07ebe,"""Sarah closed her eyes in disgust and put the paper back where she found it.""",,,,,
,narrator_d8645d89,"""She spent lots of time searching her room, but didn't achieve anything.""",,,,,
,narrator_31e0e010,"""Sarah, either out of despair or tiredness, slumps down onto her bed.""",,,,,
,S_f5aca979,"S ""(Is there really nothing here?)""",,,,,
,S_b07c79b1,"S ""(Damn!)""",,,,,
,S_f877f524,"S ""*Hit*""",,,,,
,narrator_f753cda2,"""In grief, she hits the wall with all her might.""",,,,,
