location,source,target,ID,fuzzy,context,translator_comments,developer_comments
,narrator_c5c83a98,"""You've already seen this scene, would you like to skip it?""",,,,,
,narrator_b696e17f,"""Stukov left Sarah in front of the hall of evolution, muttering something about the urgency of his other affairs.""",,,,,
,S_3bfc7731,"S ""(And what have they invented this time...)""",,,,,
,C_511137da,"C ""(Doesn't sound exciting.)""",,,,,
,S_755ed828,"S ""(I have a bad feeling because of the local atmosphere...)""",,,,,
,C_11e27d34,"C ""(A normal atmosphere... Or are your raging hormones making you see things?)""",,,,,
,S_16a91670,"S ""(I'm not seeing things! Can't you feel the tension in the air?)""",,,,,
,C_268db886,"C ""(Sexual tension?)""",,,,,
,S_2f28d03c,"S ""(...)""",,,,,
,S_3ce8d5fa,"S ""(No, psychological.)""",,,,,
,C_a96ef434,"C ""(Wait, what, are you scared?)""",,,,,
,S_8f22e3f0,"S ""(Scared? Pff...)""",,,,,
,S_c5937dcb,"S ""(Just the uncertainty is alarming. Abathur never says what he is going to do.)""",,,,,
,C_afdd36f2,"C ""(So maybe, it's because you just don't understand his methods, and there's no point in explaining them to you since they won't make sense anyway?)""",,,,,
,C_fa8b85b5,"C ""(And you know what will happen in general anyway.)""",,,,,
,S_4bff8b31,"S ""(..That's the thing, 'in general', but now how.)""",,,,,
,narrator_6ecdc139,"""Sarah tensely walked up and down the corridor, trying somehow to kill time and calm her nerve cells.""",,,,,
,C_5dc6fed8,"C ""(You think too much. This is your main problem. Just relax and enjoy. You might like it like last time, incidentally.)""",,,,,
,S_22e7ded4,"S ""(Somehow that sounds unconvincing. Mistress said that it will not be easy...)""",,,,,
,C_f8adeec7,"C ""(It didn't bother you at the moment.)""",,,,,
,S_edccaef9,"S ""(But she sounded SO convincing! I didn't even have time to think about how the changes she mentioned would happen...)""",,,,,
,S_af267fff,"S ""(My previous visits to Abathur weren't terrible, but they weren't easy either.)""",,,,,
,C_5bb53715,"C ""(You didn't look like you were unsatisfied with anything.)""",,,,,
,C_d64b56fd,"C ""(Anyway, consider Mistress. She never complained about what was happening to her and, in fact, talked about it so enthusiastically, like she wanted to repeat it.)""",,,,,
,S_60a66bbe,"S ""(Yeah, and since she can't, she found someone else to go through it... and here I am...)""",,,,,
,C_e295b2f5,"C ""(...)""",,,,,
,C_8ea2c8eb,"C ""(Drama queen!)""",,,,,
,S_3dfc0659,"S ""Well, maybe you're right. I do think too much.""",,,,,
,C_ff345b6d,"C ""(Relax. You can be sure about one thing - you will not die.)""",,,,,
,narrator_fb3d8fbd,"""Sarah slowly walked to the hall of evolution, continuing her inner dialogue.""",,,,,
,S_341498e7,"S ""You know, you're always so wonderfully supportive, Sai'mon.""",,,,,
,C_6dd6ea8c,"C ""{size=16}(I hope...){/size}""",,,,,
,S_45bfc7d4,"S ""(Sai'mon!)""",,,,,
,narrator_45bfe504,"""Sai'mon may have said something in response, but at that moment Abathur appeared in the hall, grabbing all of the girl's attention.""",,,,,
,S_dbf111e8,"S ""(This vibration... he is already here, now he'll burst out again!)""",,,,,
,AB_678c6cbb,"AB ""Subject is here, we begin.""",,,,,
,narrator_bedf8382,"""Abathur pointed to a makeshift chair.""",,,,,
,S_f75f527c,"S ""Yes... You are as always laconic.""",,,,,
,narrator_cff7c942,"""Sarah cautiously sat down, trying to take the most comfortable position possible in such a situation.""",,,,,
,S_16297e15,"S ""Cozy... place... you got.""",,,,,
,narrator_5aa6d63d,"""Abathur did not respond to useless statements, instead focusing on preparations known only to him.""",,,,,
,S_c34a65d2,"S ""Can you tell me, what you are going to do to me?""",,,,,
,S_da7ba60b,"S ""(Time is running out and I'm still trying to find out what is waiting for me...)""",,,,,
,AB_b1708385,"AB ""Preparing.""",,,,,
,S_8ec6ead7,"S ""...""",,,,,
,S_281fed6f,"S ""Okay... Okay. And what method are you going to use to prepare me?""",,,,,
,AB_74dd6044,"AB ""Experiment.""",,,,,
,S_047cf798,"S ""(......)""",,,,,
,S_eacae826,"S ""(You're so hard to talk to...)""",,,,,
,C_43d5589d,"C ""(Yes... I wonder how you manage to keep him talking at all. He is not very fond of idle chatter.)""",,,,,
,S_2f4144d6,"S ""(Sai'mon?!)""",,,,,
,C_5bb19e53,"C ""(What? Why are you surprised?)""",,,,,
,S_a1181ed0,"S ""(Well... I hear you... here. Last time I was here there was no sign of life.)""",,,,,
,C_d7571aa2,"C ""(Yes, I was also surprised. Can't be sure, but maybe Abathur has seen fit not to block me this time.)""",,,,,
,C_00e70e18,"C ""(Unproductive waste of resources.)""",,,,,
,S_489b26df,"S ""(Was that an impression of him?)""",,,,,
,C_21005de6,"C ""(Who knows...)""",,,,,
,S_79009c8e,"S ""Abathur... I agreed to all this... Not that I want to retreat, but I need to know what will happen to me...""",,,,,
,AB_b0f06a26,"AB ""Evolution.""",,,,,
,S_23b9ab16,"S ""Argh... Are you mocking me?""",,,,,
,AB_7f9bf323,"AB ""Mockery is unproductive. Only care about evolution.""",,,,,
,S_a64503e5,"S ""(Doesn't seem true...)""",,,,,
,narrator_de17a0b7,"""Sarah wanted to cross her legs, but the chair did not allow her to do so, slowly restricting any movement and locking in a certain position.""",,,,,
,S_775384d8,"S ""This is all, of course, very exciting, but what's going on?""",,,,,
,AB_1b19479a,"AB ""Fixation, motion inappropriate.""",,,,,
,narrator_c787576a,"""Unexpectedly for her, Sarah's body pleasantly responded to these manipulations, indicating that its owner was aroused.""",,,,,
,C_a2d14a4e,"C ""(Starting nicely... Did you know you liked submission?)""",,,,,
,S_2a16e936,"S ""(What? It is simply a response to such an open position.)""",,,,,
,S_58bfdaaa,"S ""W-what's this for?""",,,,,
,AB_05f6891e,"AB ""Too many questions. Beginning inspection.""",,,,,
,S_49e459a3,"S ""(It can't be that simple... It's definitely not just an inspection!)""",,,,,
,C_03142038,"C ""(You know, I don't understand: are you panicking or excited?)""",,,,,
,S_638b212a,"S ""(Is that really what you want to know now?!)""",,,,,
,C_4be6cee4,"C ""(Of course, I should know your weaknesses.)""",,,,,
,S_1bfeb52e,"S ""Ah...""",,,,,
,narrator_21d1d99a,"""Sarah would have jumped in surprise, but the chair held her firmly in place, leaving the girl only to struggle helplessly for breath.""",,,,,
,AB_13f33ad9,"AB ""Quick response. Already excited. Interesting.""",,,,,
,narrator_c07357eb,"""Abathur tactically irritated her nipples, watching Sarah's reaction. The girl's face conveyed a range of emotions ranging from surprise to a growing desire.""",,,,,
,S_90fe07b4,"S ""Mmm... """,,,,,
,AB_7a317a94,"AB ""Malleable. Easy to work with.""",,,,,
,S_308e92cd,"S ""W-why do you... sound so unemotional even now?""",,,,,
,AB_98b3ce69,"AB ""Words inefficient. Brevity effective and efficient.""",,,,,
,narrator_0bdcbb99,"""Sarah no longer felt his touch on her chest and thought she could have a break, but Abathur was not about to stop. Now she felt his touch on her clitoris.""",,,,,
,S_4151940d,"S ""MMMF... Can't you be gentler?""",,,,,
,AB_84cca959,"AB ""Sensitive. Continuing inspection.""",,,,,
,S_d7ec7f36,"S ""Why are you... mmmm, always saying these weird phrases?""",,,,,
,AB_469f16ba,"AB ""Analyzing.""",,,,,
,narrator_677d7ef3,"""Abathur began to pay more attention to the vagina, watching the abundance of released lube. Occasionally, he touched Sarah's anus, each time forcing her pleadingly whimper.""",,,,,
,S_01559a63,"S ""(He's just teasing me!)""",,,,,
,narrator_3526794a,"""As soon as Sarah thought that, Abathur strongly pressed on her anal ring, eliciting a new wave of moans from her.""",,,,,
,S_40149f2f,"S ""Mfff... Ahhhh!~♥""",,,,,
,S_34d49927,"S ""(Stukov would have already taken me...)""",,,,,
,C_87e6040b,"C ""(Do I hear a sad tone in your voice? Miss Stukov?)""",,,,,
,S_16ab7665,"S ""(I might be missing his sexual talent that now would come very useful.)""",,,,,
,AB_cef2dbd9,"AB ""Impossible to determine sensitive spot.""",,,,,
,narrator_ba6a5790,"""Sarah felt a touch on all her erogenous spots at once, but Abathur was acting very cautiously. He stopped every time Sarah's body react stronger than usual.""",,,,,
,S_bf8e1416,"S ""Ahhmm... This's torture! Why can't I just get off?""",,,,,
,AB_8017cdb5,"AB ""Conflicts with experiment.""",,,,,
,S_39062a15,"S ""Please?""",,,,,
,narrator_47b940fc,"""Abathur continued to ignore any attempts to change the course of events, only following his plans.""",,,,,
,C_2edb069d,"C ""(You're on a hair-trigger right now, huh. Even Stukov didn't arouse you so much.)""",,,,,
,S_b4280f53,"S ""(Mmm... He's so thick! It's so annoying! It was easier before!)""",,,,,
,narrator_6f5b0d8e,"""Sarah tried to move on her own, to stimulate her sensitive nipples and clit, but her plans were interrupted by Abathur, who finished the experiment.""",,,,,
,AB_d419cb5c,"AB ""Analysis complete.""",,,,,
,S_ab6d30a4,"S ""Huh? What? Ahhh... No! Why are you doing this to me?""",,,,,
,AB_e0f40f29,"AB ""Calculating desired concentration.""",,,,,
,S_107307dd,"S ""W-what?""",,,,,
,AB_987a0445,"AB ""Aphrodisiac liquid.""",,,,,
,S_8ec6ead7_1,"S ""...""",,,,,
,S_ac99b78e,"S ""And... Do I have to stay like this?""",,,,,
,AB_578918c6,"AB ""Movement interferes with experiment.""",,,,,
,S_bd93d49c,"S ""(I!... He's so!..)""",,,,,
,narrator_1ba2c7d7,"""Sarah wanted to rebel, but Abathur reached for a tentacle, knocking any thoughts out of Sarah's head.""",,,,,
,AB_7f8122ca,"AB ""Positive reaction. Good progress.""",,,,,
,C_3d8dde02,"C ""(Wow, are the meals having that much of an effect? Going to cum just from its appearance?)""",,,,,
,S_1d15eefc,"S ""(Huh? I'm not that desperate!)""",,,,,
,C_48173ba6,"C ""(Yeah-yeah... don't forget to swallow the saliva that has accumulated in your mouth.)""",,,,,
,narrator_528f0a7f,"""*Squish* *Squish* *Squish*""",,,,,
,narrator_23d29e8b,"""A strong-smelling liquid sprayed at Sarah from the tentacle.""",,,,,
