location,source,target,ID,fuzzy,context,translator_comments,developer_comments
,narrator_674fd925,"""You've already seen this scene, would you like to skip it?""",,,,,
,A_3bcc08ba,"A ""Well... Congrats, you did it.""",,,,,
,S_7cceabbd,"S ""You don't look pleased. Even though I saw with my own eyes that you were satisfied with everything.""",,,,,
,S_354f57ad,"S ""Can't accept the fact I beat you? But isn't that what you wanted?""",,,,,
,A_69a782ce,"A ""Yeah, you're absolutely right...""",,,,,
,S_2a2c2675,"S ""So what's next? Has this stupid training finally come to an end?""",,,,,
,A_8c3f52dc,"A ""No, of course not. It will only get more interesting...""",,,,,
,S_b04f4595,"S ""Really? Hmm, you don't say. Did I actually do good?""",,,,,
,A_a250c876,"A ""Yes, yes, that's not it. Just... the next stage will require a certain transformation from you.""",,,,,
,S_c8429101,"S ""Damn. Should have known that at this rate, I'd soon become like the locals.""",,,,,
,A_fdc29756,"A ""Don't worry, you will only be improved. Look at me! My body has changed only for the better.""",,,,,
,S_76e9f2a0,"S ""I won't grow an arm like yours, will I?""",,,,,
,A_d18dd633,"A ""Well, I was talking about my penis, but... you won't grow either of those. At least in the near future.""",,,,,
,S_cebecdc1,"S ""To be honest, I am surprised you aren't rejoiced I have fulfilled all your perverted requests. I thought you'd be laughing your ass off, as usual. Like a moron...""",,,,,
,A_0ae830a2,"A ""You know... once upon a time, I was just like you. Not in the sense that I had a hole down there, no, I've always had a handsome cock, just... I had a wife. I loved her. And she did have a hole.""",,,,,
,S_cfa097d8,"S ""Less talk about holes, please.""",,,,,
,A_b599a574,"A ""I haven't seen her for a long time, and probably won't ever again...""",,,,,
,S_588b2f14,"S ""Well... That's what happens during war. Sometimes we lose those close to us...""",,,,,
,A_d7c6255e,"A ""But you... you remind me of her now. While you're still like this, I look at you sometimes and see her.""",,,,,
,S_2fc1a4bf,"S ""Is that because I also have a hole?""",,,,,
,A_9b1251c1,"A ""...""",,,,,
,S_98f50ffb,"S ""Okay, I'm sorry. Just... didn't expect something like that from you. Well... I'm still gonna be here, and you said that the first transformation is not very serious. Surely I won't be... Completely different?""",,,,,
,A_2eff8010,"A ""Your body will change a bit. You'll be less like an ordinary woman. But I want to conduct a few more workouts while you are still in the old form.""",,,,,
,S_efe8ecd4,"S ""So that's it. Well, that explains why you're so upset. Can't you just... forget your dirty fantasies? At least for a moment?""",,,,,
,A_22fcadff,"A ""I was just hoping to do something with you, like with my wife. Return home for a few hours, so to speak...""",,,,,
,S_7eebda66,"S ""I don't even know what to tell you. Are you talking about...""",,,,,
,A_f3ca6ad5,"A ""Yes. ...Fulfill the conjugal duty. I thought it would be a good exercise. Kept it as a fallback. But since you succeeded without it, all I can do is congratulate you...""",,,,,
,S_738378a3,"S ""This's madness. I expected something like this from you, but to be so direct...""",,,,,
,A_20b89218,"A ""I... I had to say it. At least so you knew...""",,,,,
,S_492df74c,"S ""Okay. But you didn't honestly expect that I'd feel sorry for you and agree, did you?""",,,,,
,A_e7bf850b,"A ""Well... I would not refuse such a scenario. But I am not at liberty to force you. It's not part of your mandatory training. I never forced my wife to do it.""",,,,,
,S_c7eb3e26,"S ""Thank God. Then let's never ever go back to this. And now I'd really like to wash my hands...""",,,,,
,A_f811edbb,"A ""Alright, you can go. I'll inform you about the next stage later.""",,,,,
,A_5857cc06,"A ""I need to make a few calls.""",,,,,
,S_ac19c2c2,"S ""I hope not booty calls.""",,,,,
,A_9b1251c1_1,"A ""...""",,,,,
,C_e7c7a9df,"C ""(...)""",,,,,
,S_68c082b8,"S ""What???""",,,,,
,S_e6a86f17,"S ""It was a good joke!""",,,,,
,A_9b1251c1_2,"A ""...""",,,,,
,C_e7c7a9df_1,"C ""(...)""",,,,,
,S_279c6761,"S ""Screw both of you...""",,,,,
,S_75edebf6,"S ""Did you hear that? So calmly: ‘Hey, why don't you fuck before your ass is all scaly?’...""",,,,,
,C_31c327a0,"C ""(But he was honest with you.)""",,,,,
,S_7e8084e9,"S ""About his desire to screw me? Yeah, as if his actions didn't make that obvious...""",,,,,
,C_fbccba58,"C ""(I mean, he honestly said that it was his desire. He didn't try to pass it off as another training session.)""",,,,,
,S_27a0cb51,"S ""Hmm. Well, you are right. I accused him of coming up with all those perverted tasks, but why did he refuse to achieve what he probably wanted most?""",,,,,
,C_45a2aa4d,"C ""(Exactly.)""",,,,,
,S_cf4923d6,"S ""Turns out, it could actually not be his fault all the exercises were so ridiculous...""",,,,,
,C_b9d9a83e,"C ""(Well, yeah.)""",,,,,
,S_97255886,"S ""And he asked me honestly about the only thing he was really interested in. No matter how ridiculous the request sounded...""",,,,,
,C_48092949,"C ""(I think this request was probably not because of you but because of his memories of his wife.)""",,,,,
,S_e0a7cee3,"S ""(Sai'mon... Am I really ashamed of not screwing Stukov?)""",,,,,
,C_0aba0274,"C ""(That is the feeling I can sense in your head.)""",,,,,
,S_be7435c0,"S ""(And I'm ashamed of these thoughts...)""",,,,,
,C_e2899298,"C ""(Sarah, I feel somewhere in the depths of your subconscious you don't despise Stukov like you used to or like you pretend to. And besides, you did so much together. You should not be ashamed of the fact that you aren't indifferent to him.)""",,,,,
,S_b82ae6f2,"S ""(Are you trying to persuade me to agree?)""",,,,,
,C_7f28b307,"C ""(I'm just telling you not to be ashamed of your desire to accept.)""",,,,,
,S_d3f61148,"S ""(But... Won't he think of me as a cheap whore then?)""",,,,,
,C_cd87eecd,"C ""(I'm sure he will perceive you as a very close friend if you let him just for a few minutes... ‘return to his wife’...)""",,,,,
,S_cf508cc5,"S ""Well... When he comes, I'll try to agree... But I don't promise anything...""",,,,,
,C_1585a1ef,"C ""(I can help you.)""",,,,,
,S_f9b86f43,"S ""No! I have to do it myself...""",,,,,
,A_305dfb12,"A ""Mistress sent me to tell you she is ready to speak with you.""",,,,,
,S_cb527c2b,"S ""Alright, I'm ready to go. For the transformation too.""",,,,,
,C_d2ac9e64,"C ""(Um, Sarah, have you decided to refuse to help him?)""",,,,,
,S_a2da322a,"S ""(Don't interrupt me.)""",,,,,
,S_24775704,"S ""By the way, what's that box behind you?""",,,,,
,A_a61e0310,"A ""This? Well, uh, this is...""",,,,,
,S_0eb86fe5,"S ""Well? What's in it?""",,,,,
,A_9ac602d3,"A ""...I don't think you should know.""",,,,,
,S_465e791a,"S ""It's for me, right? Thank I ask you to show me its contents.""",,,,,
,A_15861d22,"A ""Oh, okay, here you go...""",,,,,
