location,source,target,ID,fuzzy,context,translator_comments,developer_comments
,S_c674df9c,"S ""Okay... I have to help him, I can't watch him suffer forever. Let's do this!""",,,,,
,C_0ee1d048,"C ""(Hm, where did all that enthusiasm come from?)""",,,,,
,S_feea1a72,"S ""I'm partly at fault for his current state of affairs, so I should help him out.""",,,,,
,S_4709f008,"S ""(Hm... That actually doesn't sound nearly as convincing as it seemed to me... Am I really about to do this?)""",,,,,
,S_f2764213,"S ""Bear with me, you'll be fine soon.""",,,,,
,C_4acb820f,"C ""(And how are you planning to help him out?)""",,,,,
,S_5e29cb33,"S ""Sai'mon, stop it!""",,,,,
,C_d7f3a4fa,"C ""(What do you mean? I just want to know what you are planning to do!)""",,,,,
,C_7a1e4b17,"C ""(I think using your chest would be optimal and would allow you to spend the least amount of time on him.)""",,,,,
,S_4e392490,"S ""If I wanted your advice...""",,,,,
,C_2d35945d,"C ""(Come on, I just want to help.)""",,,,,
,S_0c7657de,"S ""...""",,,,,
,C_2ada4ec4,"C ""(Well, if you were planning on using your mouth, I wouldn't hold that against you, I'm sure he would like it just as much as your breasts.)""",,,,,
,S_0c7657de_1,"S ""...""",,,,,
,S_39c9ecb3,"S ""You idiot, I'm not doing anything like that! I will use my hands!""",,,,,
,C_fbc7572e,"C ""(...)""",,,,,
,C_fd85a382,"C ""(Why not your tits?)""",,,,,
,S_65560dd3,"S ""No.""",,,,,
,C_7e3f786c,"C ""(Well, at leas...)""",,,,,
,S_23c7c0b8,"S ""No!""",,,,,
,S_29ab6ace,"S ""SAI'MON!""",,,,,
,C_10867946,"C ""(I was silent!)""",,,,,
,S_4283e0cd,"S ""And stay so!""",,,,,
,C_fbc7572e_1,"C ""(...)""",,,,,
,S_63beaf84,"S ""!!!""",,,,,
,S_d6f1ab0f,"S ""(This thing's even bigger and thicker than I thought. And its shape's so unusual...)""",,,,,
,S_7f01196d,"S ""Well, no time to waste!""",,,,,
,S_91ae8ddc,"S ""*Fap-fap-fap*""",,,,,
,Z_0d9350d5,"Z ""*Skiiiiiir!*""",,,,,
,S_f2764213_1,"S ""Bear with me, you'll be fine soon.""",,,,,
,S_259ad97a,"S ""(He definitely likes what I'm doing to him...)""",,,,,
,S_f20c9126,"S ""You won't have to endure the pain very soon...""",,,,,
,narrator_01b39fcf,"""*Fap-fap-fap*""",,,,,
,Z_0d9350d5_1,"Z ""*Skiiiiiir!*""",,,,,
,S_e8363e2d,"S ""You like it when I speed up, right?""",,,,,
,S_8def1989,"S ""Don't hold back.""",,,,,
,narrator_9b1daaec,"""*Fap-fap-fap*""",,,,,
,S_c2e149c8,"S ""(Time to finish up.)""",,,,,
,narrator_9b1daaec_1,"""*Fap-fap-fap*""",,,,,
,S_ffa7c4c2,"S ""(I bet he's enjoying my hand so much right now, hehe.)""",,,,,
,narrator_01b39fcf_1,"""*Fap-fap-fap*""",,,,,
,S_aeed9782,"S ""(I am quite experienced at this, after all. Especially after the recent events.)""",,,,,
,Z_f9da8a4a,"Z ""*Skiiiiiir!!! Skiiiiiir!!!*""",,,,,
,Z_808430c5,"Z ""*Sslp-sslp*""",,,,,
,S_f939e4b3,"S ""Ah... s-stop, what are you doing? Y-you can't touch it!""",,,,,
,Z_e3cc0114,"Z ""*Skr*""",,,,,
,S_a2697f95,"S ""I want to help you, why are you preventing me?""",,,,,
,Z_808430c5_1,"Z ""*Sslp-sslp*""",,,,,
,S_fbed625b,"S ""(It's not enough, is it? He wants more...)""",,,,,
,S_80ff4df8,"S ""I can't stop halfway there, I have to finish what I started. And if this is what I have to do... So be it.""",,,,,
,S_0c7657de_2,"S ""...""",,,,,
,Z_df1f1ddb,"Z ""*Skiiiiiir!*""",,,,,
,Z_808430c5_2,"Z ""*Sslp-sslp*""",,,,,
,S_017092c1,"S ""(Ahhh... His tongue... He focused on my nipple right as I exposed it... little pervert...)""",,,,,
