location,source,target,ID,fuzzy,context,translator_comments,developer_comments
,S_3ddc364a,"S ""I think it's time to start my physical training.""",,,,,
,A_2ec6b9b4,"A ""Alright. First, let's check your current state.""",,,,,
,narrator_cca8752a,"""Stukov went around Sarah, checking out her body.""",,,,,
,S_52317230,"S ""(...)""",,,,,
,Aside8_72731c7b,"Aside8 ""Hm...""",,,,,
,S_b6ad03a4,"S ""Have you thought about stopping staring at me and getting to the point?""",,,,,
,Aside3_6bd138c9,"Aside3 ""Hahaha, what do you think I'm doing? This is part of the training, I have to check your current state. Also, I love your body.""",,,,,
,S_75cc25af,"S ""...""",,,,,
,S_d10af909,"S ""(He's insufferable...)""",,,,,
,A_986111f5,"A ""Alright, we can begin.""",,,,,
,S_781fd6db,"S ""Finally... so, what am I supposed to do?""",,,,,
,A_0df8d721,"A ""Nothing hard, just some exercises to improve your body.""",,,,,
,S_934f44a6,"S ""How perverted are they?""",,,,,
,A_7a5bf057,"A ""Hehe, not at all.""",,,,,
,S_792d00eb,"S ""(As if I could believe that face...)""",,,,,
,A_452b3ff6,"A ""So, let's start. Show me how you usually exercise.""",,,,,
,S_91d4fb95,"S ""Will do.""",,,,,
,A_db4a9f40,"A ""Hm, not good enough. You should get in shape before we may continue.""",,,,,
,S_23a3130b,"S ""(Come on... although I really haven't exercised lately.)""",,,,,
,S_a62fc576,"S ""Okay, I'll call you when I do...""",,,,,
,narrator_90b3e6cf,"""Sarah assumed the pose she usually did before exercising. Her hands were behind her head and her feet shoulder-width apart from each other.""",,,,,
,Aside8_d9b85a6c,"Aside8 ""Are you planning on exercising in your armor? Don't you think that's a bit weird?""",,,,,
,S_3f32666e,"S ""No, I always wear it when exercising.""",,,,,
,Aside8_8f82ac3c,"Aside8 ""...""",,,,,
,Aside9_b792ae4c,"Aside9 ""Well, I'll ignore it for now, go on.""",,,,,
,narrator_74a84bf2,"""Sarah proceeded to perform the exercises she usually did.""",,,,,
,Aside10_275f7454,"Aside10 ""Yes, quite nice, although technique is slightly lacking, but that's alright.""",,,,,
,S_7a3be9d6,"S ""(Technique is slightly lacking? Have you forgot your monocle, sir?)""",,,,,
,S_059460ca,"S ""Of course it's nice, who do you think I am?""",,,,,
,Aside3_5cbafa16,"Aside3 ""Ahaha, I'll teach you a slightly better exercise. Give me a minute.""",,,,,
,S_7d97a6e9,"S ""W-what are you doing???""",,,,,
,narrator_d9e99ce2,"""Stukov took off all of his clothes but his trousers.""",,,,,
,A1side11_99ec7b08,"A1side11 ""Rule number one: Clothes and sports don't go together.""",,,,,
,S_bbd0523b,"S ""Do you have some perverted rules about anything?""",,,,,
,A1side4_0c36c87c,"A1side4 ""Hahaha, let's just begin.""",,,,,
,narrator_e8587a19,"""Stukov approached Sarah and stood right behind her, which made Sarah feel slightly uncomfortable.""",,,,,
,narrator_678a70f4,"""Stukov sniffed the air.""",,,,,
,A_807c00be,"A ""Hm, such smell...""",,,,,
,S_68d189cc,"S ""!!!""",,,,,
,S_9f407277,"S ""Stop! That's disgusting!""",,,,,
,A_e7789a4c,"A ""Hahaha, there's nothing disgusting about your smell! Quite the opposite, actually.""",,,,,
,S_92c9bbb9,"S ""Shut up...""",,,,,
,A_ffb16e9f,"A ""Okay, let's begin. Put your legs like this.""",,,,,
,A_c982790d,"A ""This way, different muscles will do most of the work.""",,,,,
,S_ccc5f243,"S ""L-like this?""",,,,,
,S_9a800a2b,"S ""(This is a weird pose...)""",,,,,
,A_371f0a5b,"A ""Yep, now squat and you'll feel that it puts the strain on muscles which are usually not involved in squatting.""",,,,,
,S_d9763815,"S ""A-alright...""",,,,,
,A_55cacc91,"A ""Don't be so nervous, I'll spot you, ehehe.""",,,,,
,narrator_8b62a8b8,"""Stukov put his hand on Sarah's hip.""",,,,,
,S_b5623092,"S ""(That's exactly why I'm nervous...)""",,,,,
,A_5fccca73,"A ""Well done.""",,,,,
,S_514f4f6c,"S ""This looks... awkward...""",,,,,
,A_a57e44d1,"A ""No it doesn't. It's an effective exercise which you simply didn't know about.""",,,,,
,S_95b54bba,"S ""I'd say it's more perverted than effective.""",,,,,
,A_f14f2615,"A ""You can call it whatever you want, just do it.""",,,,,
,S_5f968664,"S ""This's hard...""",,,,,
,A_50ccda27,"A ""And that's the point. Before standing up, make a small pause and feel how all your muscles are strained.""",,,,,
,S_6cb0d88e,"S ""Okay...""",,,,,
,S_a2c4011c,"S ""(Ahh... w-why... does it feel so warm?)""",,,,,
,A_a153c84a,"A ""You alright?""",,,,,
,S_ef6f3de3,"S ""Y-yes...""",,,,,
,A_bbfbc92d,"A ""Great, we're almost over.""",,,,,
,S_53d978f4,"S ""!!!""",,,,,
,S_36ba2c7e,"S ""W-what are you doing?""",,,,,
,A_d6785ef8,"A ""Just making sure you don't fall over. I don't want you to hurt yourself, after all.""",,,,,
,S_24de1798,"S ""Looks like something else...""",,,,,
,S_3514580d,"S ""(Damn pervert... but my body... these squats... make me feel so good down there...)""",,,,,
,A_8d8b12b2,"A ""Focus on your muscles, I'll take care of your brea... ahem, balance.""",,,,,
,narrator_2b870e1b,"""Stukov was squeezing now, increasing the difficulty of exercises.""",,,,,
,S_7fe22934,"S ""(Ahh... when he squeezes, I feel so good...)""",,,,,
,S_0fda8ccb,"S ""Y-you're making it difficult...""",,,,,
,A_3b7af723,"A ""I'm just checking your muscles.""",,,,,
,A_33e10cd0,"A ""Ignore me and keep going.""",,,,,
,S_75cc25af_1,"S ""...""",,,,,
,S_09e1a848,"S ""(Ahh... I didn't feel like this when I was squatting normally... it's cause of his perverted technique... or because of him himself?)""",,,,,
,A_685f9036,"A ""Great, great, stunning... Do you feel your muscles growing?""",,,,,
,S_2664ae29,"S ""Yeah, yeah, of course...""",,,,,
,S_710dfa8e,"S ""But I also feel something else growing... and it's not mine...""",,,,,
,A_9f12dd52,"A ""So you've noticed, heh.""",,,,,
,S_beaf0cfc,"S ""Of course I did! It's right on my butt...""",,,,,
,S_3a86c42f,"S ""(Ahh... and rock hard...)""",,,,,
,A_a1a2abd6,"A ""Well, you shouldn't have made those sounds while squatting.""",,,,,
,S_a5099feb,"S ""So it's my fault, huh??? Ahh...""",,,,,
,A_91d30cb4,"A ""Hehehe, focus on exercising.""",,,,,
,S_20c3824c,"S ""(That's easy to say without something poking your buttcheeks...)""",,,,,
,S_c62b5b2b,"S ""(Ahh... s-stop touching my chest...)""",,,,,
,A_8d447b75,"A ""Alright, that's enough, return to your initial stance.""",,,,,
,S_56211103,"S ""(Ahh... I'm wet down there now... he would've seen it if not for my armor...)""",,,,,
,A_341acc35,"A ""We have some time to rest, make a few deep breaths.""",,,,,
,S_75cc25af_2,"S ""...""",,,,,
,S_71a89ce0,"S ""Are you... spotting me now too???""",,,,,
,A_011e8fcd,"A ""Of course, safety first after all, and we haven't finished exercising yet.""",,,,,
,S_75cc25af_3,"S ""...""",,,,,
,S_aaf9ddca,"S ""(Another excuse to keep molesting me...)""",,,,,
,narrator_135b4902,"""Sarah tried to catch her breath, but she couldn't quite manage that, since Stukov kept massaging her chest and his erection stayed on her butt.""",,,,,
,A_7e4ce84d,"A ""Great, let's continue, but this time without stopping.""",,,,,
,S_105f16ef,"S ""(T-this is just the beginning, I have to go on...)""",,,,,
,narrator_36b2c3bc,"""Sarah continued exercising with Stukov's support.""",,,,,
,narrator_ee159570,"""Some time later.""",,,,,
,S_635d87bc,"S ""I'm wasted...""",,,,,
,A_d751d871,"A ""That means we had a great training session.""",,,,,
,S_07444e52,"S ""We? You just played with my chest the whole time!""",,,,,
,A_d7272c0f,"A ""Baby, you're just inexperienced. Don't you know how important support is?{w} It's the foundation of training...""",,,,,
,S_75cc25af_4,"S ""...""",,,,,
,S_580594a3,"S ""Would you maybe like to let my chest go now, we've finished training...""",,,,,
,A_5d486560,"A ""Oh, yeah. Excuse me, it's a force of habit.""",,,,,
,A1side2_5a732295,"A1side2 ""That's all for today, remember to have a good rest and we will continue tomorrow.""",,,,,
,A1side8_d3d96420,"A1side8 ""I hope I don't need to remind you how important rest after exercises is?""",,,,,
,S_82bbf14f,"S ""No, you don't.""",,,,,
,A1side11_1b0bde7c,"A1side11 ""Welp, nice. The training revealed some urgent business I have to deal with. If you know what I mean. Ahahaha!""",,,,,
,S_68d189cc_1,"S ""!!!""",,,,,
,narrator_5c6a72be,"""Sarah reflexively looked at Stukov's rock hard boner which she got much more familiar with than she wanted during the training session.""",,,,,
,S_09bf91d0,"S ""I have no idea...""",,,,,
,A1side4_4fbe7ab3,"A1side4 ""Hahaha, as if that's believable in the least.""",,,,,
,narrator_eb38f8fe,"""Stukov headed to the exit.""",,,,,
,S_10d9fddd,"S ""Phew... I'm tired as hell from this training... Well, it was more just Stukov's harassment... But I made it through and that's what matters.""",,,,,
,S_eb899309,"S ""And... """,,,,,
,S_cc2181e8,"S ""*Sniff-sniff*""",,,,,
,S_53d978f4_1,"S ""!!!""",,,,,
,S_e6972423,"S ""Yikes... I should take a bath.""",,,,,
,narrator_cb1a68f7,"""Physical training session completed, Sarah's muscles grew, but they are still much weaker than Stukov's penile ones.""",,,,,
,narrator_d5635fee,"""Physical training session completed, Sarah became stronger.""",,,,,
,A_30dd53b8,"A ""Well, had a good rest? We've got an intense session ahead of us.""",,,,,
,S_c871be2d,"S ""Yes, I'm full of energy.""",,,,,
,A_cb821c61,"A ""Then strip and let's start.""",,,,,
,S_21e324d6,"S ""S-strip?""",,,,,
,A_aa57140b,"A ""Yes, I've allowed you to keep your clumsy armor last time, but now I won't stand it getting in the way of your progress.""",,,,,
,S_c2a9bec4,"S ""...""",,,,,
,S_151f7bb7,"S ""Whatever you say, you damn pervert...""",,,,,
,S_d30315d9,"S ""Let's start...""",,,,,
,A_2f51de15,"A ""You need to remove your underwear too.""",,,,,
,S_7cf15767,"S ""Of course, because it's so restricting!""",,,,,
,A_40d6ff8e,"A ""If you want me to, I can remove my un...""",,,,,
,S_1656ff10,"S ""No! Don't you dare even say that!""",,,,,
,S_c2a9bec4_1,"S ""...""",,,,,
,S_290e7b52,"S ""{size=-5}Pervert...{/size}""",,,,,
,Aside11_28314f4c,"Aside11 ""Hehehe, nicely done.""",,,,,
,narrator_e0e66bb6,"""Stukov approached Sarah and sniffed her.""",,,,,
,S_cdf467b8,"S ""(S-stop doing this...)""",,,,,
,A_55ce3d11,"A ""Your aroma is almost unnoticeable today...""",,,,,
,A_7d937ca3,"A ""You know, I wouldn't protest if you smelled a bit more during our training sessions. And in general too.""",,,,,
,S_f614ea53,"S ""!!!""",,,,,
,S_f3c22bfe,"S ""Cut it out... I'm not doing that...""",,,,,
