location,source,target,ID,fuzzy,context,translator_comments,developer_comments
,narrator_65da0ca3,"""The surprise attack was repelled. The enemies had to flee, leaving one of the crew members on the ship.""",,,,,
,narrator_cac4e85a,"""But in spite of unforeseen circumstances, the time was right for the beginning of the transformation. It was the inevitable that Sarah was waiting and avoiding at the same time.""",,,,,
,A_dc8ac92b,"A ""Well, here we are. Important matters await you, important matters await me.""",,,,,
,S_1b29d8ef,"S ""And that's all? No parting words or vulgar jokes? You're losing your grip, Stukov.""",,,,,
,A_07c6286a,"A ""I’m not sending you to war. Too little chance that something might go wrong.""",,,,,
,S_b89069b1,"S ""Too little? It sounds like you're upset by that.""",,,,,
,A_26b69f38,"A ""Hmm... I would be sorry to say goodbye to such a, hmm... A wonderful specimen like you, Sarah. Don’t worry, I’ll try to find time and visit you, hehe.""",,,,,
,S_b67f2636,"S ""You know, that sounds very suspicious... Will you be able to see anyething? Otherwise, I see no other reason for you to come here while I... how to put it, am transforming.""",,,,,
,S_f192ba65,"S ""Don't even try to hide behind phrases like 'I miss you'. I won’t believe you if you swore on your life.""",,,,,
,A_3ce53d4c,"A ""Maybe, hehe. You should hurry up. Transformation is an important process, better not to joke about it. Just go inside Sai'mon will tell you what to do.""",,,,,
,S_abfb241e,"S ""Is that all? Just go there?""",,,,,
,A_c230c770,"A ""Well, yes. Hey, I've got an equally important task, to satisfy the Mistress's hunger, and that's not done by just going into her chambers, I will need to use my entire arsenal. You'll manage somehow.""",,,,,
,S_c8a50c5c,"S ""Yeah right, tell me you're not happy about it.""",,,,,
,A_ff3bf099,"A ""Heh, I am, but if I had a choice between you two, I would have dealt with your mutation properly.""",,,,,
,S_39efb69e,"S ""...Idiot, get out of here already...""",,,,,
,A_7d1064c2,"A ""Do you want to know what I'd change first?""",,,,,
,S_49356610,"S ""No!""",,,,,
,A_579bba31,"A ""Well, okay, I have to go. Don't waste time.""",,,,,
,narrator_49c22c0b,"""Stukov joyfully headed in the other direction, leaving Sarah in splendid isolation.""",,,,,
,C_8e15d15e,"C ""(He was talking about your boobs.)""",,,,,
,S_d502cbc9,"S ""I already know him well enough to understand this myself.""",,,,,
,S_c612cca5,"S ""(Listen, doesn’t it bother you at all, what they want to do with me?)""",,,,,
,C_78226639,"C ""(If you are talking about fear, then I do not feel anything in this vein. If you have not forgotten, I am not burdened with emotions, and not just me. Many in the Swarm do not feel fear or other feelings.)""",,,,,
,C_4656620e,"C ""(But I can feel what you are experiencing, only how to put it, I perceive it differently, not as you do.)""",,,,,
,S_02475efc,"S ""OK, then let's approach this differently. Does it really bother you that I can change?""",,,,,
,C_09fc6cd2,"C ""(As far as I know, nobody is going to touch your mind and consciousness, those are you most valuable traits, by the standards of the Swarm, of course. I don’t take boobs into account.)""",,,,,
