location,source,target,ID,fuzzy,context,translator_comments,developer_comments
,narrator_K5X5oAjA,"""In one of her free hours, Sarah was walking around the ship. Her little journey had no purpose and no meaning. From the outside, it would seem she was simply killing time, and the girl was inclined to agree with that. With a slow step, sighing heavily, the  Terran wandered from corridor to corridor.""",,,,,
,S_Ksg5BuSC,"S ""*Sigh*""",,,,,
,narrator_UMfuLgcK,"""Sarah could not refuse her friend when she begged her to rest a little. It all started with persuasion to sleep, but the girl managed to convey that this was not necessary and it would take too much time.""",,,,,
,S_64MCR5vf,"S ""I've been around most of the ship... Do I have to go for the second round?""",,,,,
,narrator_XqqeMauT,"""Sarah was about to turn as planned, but something caught her eye.""",,,,,
,S_dHEPwcca,"S ""No. I don't want to go back there... Surely I don't want to?""",,,,,
,narrator_PqBNNck6,"""The girl could not take a single step, staring intently in the direction of the passage that was very familiar to her. She knew where it lead to, knew very well. Her mind was sounding the alarm and did not want to bring the negative memories to the surface, but her body moved its wobbly legs in the right direction.""",,,,,
,narrator_Z8gT4PNj,"""Sarah didn't have time to realize how she found herself back in her former cell. It must've happened in a blink of an eye! The first thing the girl did was rush to the door. Not to escape, but to check that everything that happened after the chrysalis and the chrysalis itself was not a dream. That she didn't just wake up from her dreams of a future. The door was unlocked, the girl let her breath out and some stress went with it.""",,,,,
,narrator_jvYVFzwQ,"""She didn't understand how her feet had brought her here by themselves. But Sarah assumed that all of this was the nasty machinations of the Queen of Blades, who wanted to intimidate her with this room, thereby shaking her confidence.""",,,,,
,S_YQRjughy,"S ""And why am I here? This is the last place I would like to be at...""",,,,,
,narrator_47Ce8v3B,"""At first and inattentive glance, the room seemed exactly the same as when she left it. Not that the girl was eager to explore the place from which she had escaped long ago.""",,,,,
,narrator_EVbGn2YM,"""Although, already standing here, Sarah found she didn't feel quite what she expected to. All those experiences were mere memory, and the place did bring them to the forefront of her mind, but failed to make her relive them. The new Sarah began to feel strange, but still looked around the room.""",,,,,
,narrator_i2Vnvv5p,"""There was nothing special if it wasn't for a small lump of yellow material.""",,,,,
,S_iSaoydPG,"S ""Ah... my head...""",,,,,
,S_EajBgTih,"S ""What's this? I don't remember having anything yellow and glossy.""",,,,,
,narrator_6tDRvcv6,"""Sarah squeezed her eyes shut from due to the unbearable headache. Something was waking up in her mind and wanted to be seen.""",,,,,
,S_ms3eVxEt,"S ""A-a-a-a-a-ah! N-no, something is getting into my head! AAAAAAH!""",,,,,
,S_dBoijBmC,"S ""I remember... I was here...""",,,,,
,narrator_CtZiTa2H,"""The girl opened her eyes wide, seeing herself on the bed. She watched from the sidelines as she was very enthusiastically saying something... Stukov was standing in front of the bed and making a hologram of a holiday party.""",,,,,
,S_rddHwPeD,"S ""I can't hear what we're talking about... Mistress? Dedication? I remember something similar to that...""",,,,,
,S_HnePsXQU,"S ""But why am I getting so angry? And undressing?""",,,,,
,S_4gGX9MXm,"S ""I... I can't leave like this! I have to find out what the hell is going on here!""",,,,,
,S_hwmhss6e,"S ""It's too interesting.""",,,,,
,S_6oe5UoSB,"S ""A plate? How did a plate end up here?""",,,,,
,narrator_jKHFegUs,"""For a moment, Sarah saw a whole dessert in front of her, untouched by anyone. The girl blinked a couple of times to make sure what she saw wasn't an illusion, but the mirage disappeared and the plate became empty again.""",,,,,
,S_Tp7RUWjm,"S ""I don't remember the last time I used cutlery... Or is it a gift to me for all my efforts?""",,,,,
,S_g3HozMNv,"S ""I wish I could remember the taste of my native food...""",,,,,
,narrator_SjsG2DAM,"""Sarah picked up the familiar but completely unexpected object in front of her.""",,,,,
,S_9XLf2MwA,"S ""Covered in crumbs... Did I really eat Terran food at last? This can be the trick of only one creature on the ship... Who else would be able to use their connections and make fun of me?""",,,,,
,narrator_DLcnPCVS,"""The girl collected the crumbs and remnants of something creamy on her finger, tasting it.""",,,,,
,narrator_MEUVSeDG,"""Something was persistently trying to reach her conscious mind. Sarah could have sworn she saw someone bite off a piece of HER cake. But the anger disappeared, as did the memory before her eyes.""",,,,,
,narrator_XHe7YJv6,"""...""",,,,,
,narrator_PATh2s8L,""".......""",,,,,
,narrator_7aFZiPor,"""............""",,,,,
,S_iDcup4W7,"S ""Was it a cake? Mmmm... Well now it's more what's left of it...""",,,,,
,narrator_EkfdoffQ,"""The more Sarah thought about what had happened, the more turned on she became. The memories could not catch on in any way, although the girl was sure that something interesting had happened.""",,,,,
,S_CgkbPL3z,"S ""Were we celebrating my release?""",,,,,
,S_YiZESXDP,"S ""Or my upcoming mutation?""",,,,,
,S_EvQipfT4,"S ""What nonsense am I saying...""",,,,,
,S_HiwPQsd9,"S ""Nobody eats cakes!""",,,,,
,S_LZAtxjhk,"S ""Especially here! What's it doing here?""",,,,,
,narrator_scRaLUYu,"""Sarah dropped the plate from her hands. The terran moaned in resignation, having lost such an important clue and the remnants of delicious buttercream.""",,,,,
,narrator_ijDZhR75,"""The girl felt a sharp blow to her head. Or at least what felt like one.""",,,,,
,narrator_A9dF4QVf,"""Everything swam before her eyes, it seemed to Sarah that her vision broke into pieces and they floated before her.""",,,,,
,narrator_bhru9QGZ,"""Her head began to hurt, the pain bending the girl in half. Before her eyes, everything turned green and rippled.""",,,,,
,S_7wttuKDt,"S ""W-what is it? Ah... my head!""",,,,,
,narrator_83PZoZEm,"""Sarah saw the plate assemble itself and return to her hands. It looked as if an old film was put on rewind. Despite the desire to move away, the girl stood like a statue.""",,,,,
,S_kHb7XLuJ,"S ""Whole... w-what's happening to me...""",,,,,
,narrator_ECh6atSz,"""The plate returned to its original place, allowing the crumbs to stick together on a stable surface. The cake began to take more familiar forms. At first, Sarah saw bite marks, obviously carelessly left by Zerglings. But they also gradually closed up, presenting a whole chocolate cake with cherries in front of the girl.""",,,,,
,S_FvWJx4v5,"S ""Ha-ah... w-what is it... zergling?""",,,,,
,S_mc6JETmK,"S ""M-my head...""",,,,,
,narrator_3mEm4Dav,"""But time did not resume there. The cake was taken away by someone's shadow, slowly returning to the door. The girl was ready to rush after it, if not for her body still feeling like a statue.""",,,,,
,S_nURRGF94,"S ""Stop!""",,,,,
,S_W78nxz9k,"S ""This is...""",,,,,
,narrator_kBhhGsPy,"""Sarah narrowed her eyes, trying to see or remember who was the one who brought this cake. The shadow slowly became clearer, acquiring shape and color.""",,,,,
,S_CS89RqQe,"S ""This... him! Well of course...""",,,,,
,S_PCNpfqjE,"S ""Stukov!""",,,,,
,narrator_g3fUBSwJ,"""Sarah didn't know where she was again. After examining herself, she noticed a plate that had been broken a second ago, whole in her hands.""",,,,,
,S_sYF4pD7h,"S ""...""",,,,,
,S_9MBst25F,"S ""Huh?""",,,,,
,narrator_FUmVSN85,"""Terrified, Sarah dropped the plate, which landed nearby on the bed.""",,,,,
,S_sAQXWXxs,"S ""What's going on here...""",,,,,
,S_ES4gzbAp,"S ""This room... there's definitely something wrong... Maybe I shouldn't be here.""",,,,,
,S_YdPZJnDc,"S ""I did not expect much, but definitely not this...""",,,,,
,S_9EBpJbxV,"S ""Hmm. Um...""",,,,,
,S_iojRbqLo,"S ""More scraps... How many are there?""",,,,,
,narrator_p7uCwDVF,"""Most of these ragged pieces hung on spikes along the bed. Sarah tried to make something whole out of them and understand what it was, but the flaps did not seem to connect with each other in any way.""",,,,,
,narrator_tCCyeiHW,"""Sarah was sure that she saw someone looking at something similar to it. The girl saw something in the blur, something golden, but also some human skin""",,,,,
,S_mNuUXJ7w,"S ""Maybe a swimsuit? Golden swimsuit... This is very much in the style of Stukov. Maybe he also ordered a huge cake and made me jump out of it?""",,,,,
,S_LodsEXgz,"S ""But there's too much material for just a swimsuit here... He would have considered it more appropriate to have a maximum of bare skin and a minimum of a swimsuit. To keep the mystery and interest...""",,,,,
,narrator_NLavSqxA,"""A loud bang sounded in her head, along with memories flashing by. The spot didn't change much, so the girl was completely lost in guesses.""",,,,,
,S_Fv9soQvK,"S ""Pf... A visionary.""",,,,,
,narrator_gS64RfjV,"""Sarah continued to examine the bed, her peripheral gaze catching on something on the wall.""",,,,,
