location,source,target,ID,fuzzy,context,translator_comments,developer_comments
,narrator_03504faf,"""Queen of Blades slowly entered the throne room, following Stukov.""",,,,,
,A_42f384d9,"A ""How about hurrying up?""",,,,,
,narrator_b1d7e9bd,"""The girl squeamishly examined him, demonstrating all her disdain.""",,,,,
,S1_f7ea6b08,"S1 ""How do you not understand... I want to burn this event into the back of my mind. Remember all the smallest details of this day. Scroll through them whenever, reveling in the moment when I took my deserved place.""",,,,,
,S1_bde3b4df,"S1 ""But you don't get it.""",,,,,
,narrator_be96f1fd,"""Queen of Blades shrugged it off, going forward and ahead.""",,,,,
,S1_b9a3c8a7,"S1 ""You're just a pawn who never knows true power. And even if you do, it'll drive you crazy faster than you can think of a naked woman.""",,,,,
,S1_0829bf39,"S1 ""You have no idea how weak and pathetic you are. If I hadn't been able to use you, I'd have no regrets about squishing you and forgetting about it.""",,,,,
,S1_eef219b5,"S1 ""But right now, I don't want to think of something like you. I'm interested in bigger fish, hee-hee.""",,,,,
,narrator_15361b75,"""The girl clearly knew the purpose of her visit. She did not doubt her abilities, but she still wanted to check how long Mistress would last in front of her.""",,,,,
,narrator_00f1e567,"""Queen of Blades stopped directly before Mistress, demonstrating all her magnificence.""",,,,,
,S1_ed9f6893,"S1 ""You've chosen a good place. Hmm, I could even leave it in its original form for myself... But no, I don't want to go down to your level.""",,,,,
,narrator_9f3219c6,"""Mistress came out of the shadows, towering over the girl.""",,,,,
,Q_d0d84f09,"Q ""Hah, I expected you to come and see me soon. But you keep surprising me with your changes every time I see you.""",,,,,
,narrator_9b2a9638,"""Mistress examined her from all sides, not hiding the delight in her eyes.""",,,,,
,Q_cc165f49,"Q ""Your new shape... Amazing! A strong body and new opportunities. Oh, I wish I could relive the moment when I was transformed.""",,,,,
,Q_322f8d53,"Q ""This transformation has made you even sexier... Who would have thought you'd be so strong.""",,,,,
,Q_31870112,"Q ""HE will definitely be happy with this turn. I'm happy, hell, everyone's going to be happy about it! And I'll be even happier we didn't disappoint him because he believed in you.""",,,,,
