location,source,target,ID,fuzzy,context,translator_comments,developer_comments
,narrator_ZUd7J33Q,"""Sarah impatiently tapped her foot on the floor, making an unbearable sound for the defiler. She was not pleased with his painful expression, even his suffering did not fill the hole in her soul that his experiments had created.""",,,,,
,S_8D34RXfk,"S ""(No one in this God-cursed place dared to mock my body like that! He took advantage of my inaction!)""",,,,,
,S_d8LTX2WU,"S ""(How infuriating that he and she are! HE AND SHE!!! They forced me to carry eggs.)""",,,,,
,S_8v8iqSHM,"S ""(Sweet couple... It's a wonder he didn't give her the essence right away. She has clearly become his muse for new experiments.)""",,,,,
,narrator_YZt4Brr3,"""Sarah was comforted by the thought that she had given birth to a new generation of the strongest creatures. But now, more than ever, she agreed with Abathur that this was not productive.""",,,,,
,Os_EkRiDC2i,"Os ""You couldn't... Well, you know... Stop this hellish stomping?""",,,,,
,S_kmesd8pF,"S ""I know that such a nasty-ass snot like you has mountains of terrible experiments still in mind. And I'm the only possible victim of them! So...""",,,,,
,S_VRp8LWTp,"S ""NO!""",,,,,
,narrator_hFPufhuK,"""The tapping became even louder and faster. Sarah was on edge about having to collect the essence. Thinking about it was exciting until she remembered who she was dealing with.""",,,,,
,narrator_MhYVrB89,"""The creature in front of her gave her the most exciting and frightening feelings she had ever experienced. But now she had to take the essence, and this was a new level in their relationship.""",,,,,
,Os_oi87jtAi,"Os ""You're on pins and needles. No need to be so ne-e-ervous!""",,,,,
,S_Pp2jHdbT,"S ""Next to you, I can't help but be nervous! Stukov is a sweetheart compared to you... And that says a lot.""",,,,,
,Os_MRHwebWx,"Os ""I don't know what you're talking about. But since you've come, you want one thing from me.""",,,,,
,S_YNddv9Ud,"S ""...""",,,,,
,S_TrGWkGTx,"S ""And you're smart.""",,,,,
,Os_odU6LrKi,"Os ""I knew you'd be back!""",,,,,
,S_tSoH5iY3,"S ""Come on, did you think I was a pervert who dreams of being filled with eggs???""",,,,,
,Os_aKhi2ABV,"Os ""I could see it from the first look at you.""",,,,,
,Os_sqbhnK2G,"Os ""Did you get a taste after the first time?""",,,,,
,S_KwaWMEth,"S ""What are you talking about...""",,,,,
,narrator_gRp54UrZ,"""The defiler stared at the girl, forcing her to look away.""",,,,,
,Os_doi8ueeu,"Os ""I seem to have said already that I have a lo-o-ot of experience.""",,,,,
,narrator_WrDVUpck,"""The defiler stirred excitedly, awakening his memories of old times in his mind.""",,,,,
,S_QP3bGnMQ,"S ""*Stomp* *Stomp* *Stomp*""",,,,,
,Os_aachwCFB,"Os ""For this you would submit to any of my experiments!""",,,,,
,S_fXrEBUoA,"S ""*Stomp* *Stomp* *Stomp* *Stomp* *Stomp* *Stomp*""",,,,,
,Os_n9whraPR,"Os ""Are you trying to stomp me to death?!""",,,,,
,S_WGfowPTx,"S ""Exactly!""",,,,,
,S_sTSMkzMy,"S ""And I'll get the essence too that way.""",,,,,
,S_4CvCQ9aK,"S ""Isn't it brilliant?""",,,,,
,Os_SB5YZL8e,"Os ""Well, if so... I wouldn't be sorry to die, just so I could look at your disappointment later.""",,,,,
,S_mfjdpxof,"S ""Why is that?""",,,,,
,narrator_h4G9GxQo,"""The defiler grinned, pausing, bringing Sarah to emotions even more.""",,,,,
,Os_dxp3gySb,"Os ""My essence is not transmitted to anyone after death. It will disappear together with me!""",,,,,
,Os_kB4aRdDU,"Os ""Isn't that brilliant?""",,,,,
,S_6WbBxEfE,"S ""(Yes, you are all Mr.Geniuses around here, I see...)""",,,,,
,narrator_cscjFUhZ,"""Sarah's hands were reaching out to strangle the bastard, who, without any remorse, was standing right in front of her. She did not understand why his smug muzzle caused such a violent response in her, but he certainly did not leave anyone indifferent.""",,,,,
,Os_PcjQmyho,"Os ""Do you want to know why?""",,,,,
,S_dE9xwnoJ,"S ""And why?!""",,,,,
,Os_CfRbhuRC,"Os ""Because it's inside my babies, hehe.""",,,,,
,S_UFsDRnwN,"S ""DID YOU WANT TO DIE!?""",,,,,
,S_3XvCafJp,"S ""WHY THE HELL DIDN'T YOU GIVE IT TO ME THE FIRST TIME!???""",,,,,
,Os_9BFyfdtv,"Os ""First of all, you hadn't completed my assignment yet. Secondly, it wasn't you who came to me, but your girlfriend, so everything is fair.""",,,,,
,S_dQSCuTGL,"S ""Pf. She's not a friend...""",,,,,
,Os_T7rNCukS,"Os ""Who cares!""",,,,,
,S_9PyzmASm,"S ""You're a dodgy slimy snake!""",,,,,
,Os_4YPoQebH,"Os ""Language, dear la-a-ady! I can take it too personally.""",,,,,
,S_gWwwBRdb,"S ""Oh, how dear you are to me...""",,,,,
,narrator_HHaE7hNf,"""In her head, Sarah was rushing from one side to the other, wanting to tear herself or the defiler to pieces so as not to make a decision. A persistent dislike for all these vile deeds formed in the girl, but the thought of the essence did not allow her to stand still.""",,,,,
,S_hxUbW5cF,"S ""(And what should I do?)""",,,,,
,S_3jqm78iH,"S ""(I need to decide what I want more...)""",,,,,
,S_Q4qytXvo,"S ""...""",,,,,
,S_4ssvss7R,"S ""Condition.""",,,,,
,S_d7ducWzz,"S ""I have a condition.""",,,,,
,Os_c4AyBio9,"Os ""Rea-a-ally? And what is it?""",,,,,
,S_F7xtCKKq,"S ""No penetration into my vagina! Especially with eggs!""",,,,,
,Os_p9ffPhLr,"Os ""The memories are still clear... you demand the impossible...""",,,,,
,S_9pQKUZ3L,"S ""Do you understand?""",,,,,
,Os_HkPR2q4P,"Os ""Hmm... hmm...""",,,,,
,S_V8JFbFXz,"S ""Come on, I need your confirmation.""",,,,,
,Os_Mo42khkA,"Os ""Yes. I understood.""",,,,,
,narrator_KvHPEJ9f,"""Sarah exhaled easily, wanting to think that she had sorted out at least one problem.""",,,,,
,Os_mfNS498P,"Os ""Then I have a condition too. It could even be called a favor.""",,,,,
,narrator_LcyDBhEX,"""The girl froze abruptly. Her heart suddenly fluttered in her chest.""",,,,,
,Os_YP2MwCFd,"Os ""You put such hard limits on me that I need you to...""",,,,,
,Os_Wo8Ddsx8,"Os ""Bi-i-ind yourself.""",,,,,
,S_HD3nox8a,"S ""Bind? Wh-what?""",,,,,
,Os_FuASYfgz,"Os ""Immobilize yourself.""",,,,,
,S_oirgi6GD,"S ""...""",,,,,
,S_V9HNfPat,"S ""(Wh-what is he up to? He's not going to force his eggs into me, is he? I'll gut him in a moment...)""",,,,,
,S_NGdXjHsE,"S ""(He won't be able to break our agreement...)""",,,,,
