location,source,target,ID,fuzzy,context,translator_comments,developer_comments
,SO_bbc675d7,"SO ""Everything is ready... Leaders are ready.""",,,,,
,S_300727a2,"S ""Great. Go... I'll come a bit later.""",,,,,
,narrator_918b9db4,"""Sarah was not far from the place where all the leaders were supposed to gather on her order, but strange sounds were coming from there.""",,,,,
,U_c5eab20e,"U ""GAAAAAH!""",,,,,
,Os_7c91d0ed,"Os ""S-slow!!""",,,,,
,S_e2742005,"S ""!!!""",,,,,
,S_d3c4572c,"S ""A-an earthquake???""",,,,,
,narrator_918b9db4_1,"""Sarah was not far from the place where all the leaders were supposed to gather on her order, but strange sounds were coming from there.""",,,,,
,S_3c2a4c6c,"S ""It's definitely coming from there, is it them?""",,,,,
,Os_232797af,"Os ""What can you do to me? Will you try to crush me again?!""",,,,,
,U_dbeac97a,"U ""That's exactly what I'll do! How dare you even come here?!""",,,,,
,U_12b89cef,"U ""How many times have I told you? You don't belong here!""",,,,,
,U_480af677,"U ""CRUSH YOU!!!""",,,,,
,narrator_5d0d2701,"""The giant creature tried again to deliver a crushing blow that shook more than just the walls.""",,,,,
,S_b3d72936,"S ""(So that's what it was...)""",,,,,
,S_1974c06a,"S ""(...)""",,,,,
,narrator_3aef211f,"""Sarah stared at the mess that was going on. She'd expected anything but this.""",,,,,
,Os_f109abd5,"Os ""Everyone is here. I may not want to be around such a fool myself, but I have to...""",,,,,
,U_9dfcff05,"U ""I can help you never see me again... I'll smash you!""",,,,,
,narrator_04ab023d,"""The ultralisk let out a deafening roar as it tried to crush the agile defiler.""",,,,,
,Os_627e2964,"Os ""I didn't even expect anything more from you!""",,,,,
,U_2d1e8b9b,"U ""I should have crushed such a vile creature as you long ago! I'll kill you!""",,,,,
,S_2d17e463,"S ""(What the actual...)""",,,,,
,S_717aa0cc,"S ""(Could they at least restrain themselves now?)""",,,,,
,narrator_ce73d6d3,"""In addition to the fight, Sarah noticed several other creatures that were slightly away from it, carefully watching what was happening.""",,,,,
,narrator_c81c33a6,"""One of them was a creature with wings that resembled a mutalisk, the other was more familiar to Sarah. She had encountered hydralisks many times before, but this one was different, with a much more sinister aura.""",,,,,
,M_decb41e8,"M ""Mmhmh... Some things change, but some remain constant. Maybe we shouldn't have come?""",,,,,
,H_9bd0bbfb,"H ""Ha-ha-ha, come on, tell me you're not amused!""",,,,,
,M_23f1b32c,"M ""(It used to amuse me... but now it's dreadfuly boring...)""",,,,,
,narrator_0b11b693,"""The mutalisk rolled onto its back and looked up, ignoring what was happening below.""",,,,,
,H_64c8e53a,"H ""Ha-ha-ha, no matter how many times I see this, it always looks like the first time!""",,,,,
,M_c8731247,"M ""{size=-6}(That's why you're not that smart...){/size}""",,,,,
,H_1ae85d91,"H ""Did you say something???""",,,,,
,H_fb80f153,"H ""Ah, never mind!""",,,,,
,H_4fdfe33a,"H ""Yes! Kill him! Kill! Show him who's in charge!""",,,,,
,M_da006fb6,"M ""*Sigh* when will this end?..""",,,,,
,narrator_c6d221f0,"""The angry shouts irritated the ultralisk more, which made him hit the ground even harder. But it still didn't help him even scratch the slimy Defiler.""",,,,,
,Os_a32d7fed,"Os ""What, big guy? Am I too fast for you?""",,,,,
,U_d6272864,"U ""I'll kill you! Destroy!!! I'LL SMASH EVERY PIECE OF YOU!""",,,,,
,G_4c1b8fb6,"G ""How long must this go on for? They really ought to calm down.""",,,,,
,Ze_0c5d64d1,"Ze ""Let them fight! Someone has to come out the winner! Come on, old man, who do you think will beat who???""",,,,,
,G_3ba1d4bf,"G ""I don't want to be a part of this.""",,,,,
,Ze_315d912c,"Ze ""Defiler... He doesn't even have a chance!""",,,,,
,S_ea1260ba,"S ""W-what's going on here?..""",,,,,
,narrator_15332d22,"""Everyone was too interested in the fight or in discussing it to notice the watching Terran.""",,,,,
,S_972c3bd1,"S ""Really? They don't care about me at all!""",,,,,
,SO_eb97efa7,"SO ""Mistress, you've finally arrived!.. I did everything you said. They're all here!""",,,,,
,S_94141daa,"S ""*Sad sigh*""",,,,,
,S_99eca60c,"S ""(I didn't want to believe it until the last moment...)""",,,,,
,S_30555016,"S ""And these are the... leaders?""",,,,,
,SO_1693dac1,"SO ""Yes, that's right! Here are all the seven leaders you wanted to see. But what are you going to do? They're going to kill each other!""",,,,,
,U_ff9e6ef8,"U ""You won't even be able to crawl after this, I'll grind you into powder!""",,,,,
,narrator_6dc60d7c,"""Sarah moved a little closer, taking a closer look at the fight. Now it was clear that the defiler was not just dodging, but also slashing at the ultralisk's legs, hindering him and making it difficult to move.""",,,,,
,U_7094ac85,"U ""Do you think that will stop me? Don't make me laugh!""",,,,,
,U_a6ebf833,"U ""GRAAAAH!!!""",,,,,
,S_5bc0fbff,"S ""(The size of the ultralisk plays against it, it can't catch a nimble opponent. And the Defiler, in turn, can't win, because his opponent is too strong.)""",,,,,
,Os_03476570,"Os ""Get it!""",,,,,
