location,source,target,ID,fuzzy,context,translator_comments,developer_comments
,S1_a7029631,"S1 ""Ah... What a wonderful feeling of satiety!""",,,,,
,S1_cae73ecc,"S1 ""Now there's a little time to fool around, hee-hee-hee. My favorite part!""",,,,,
,narrator_5134c52c,"""Sitting impressively on the throne, the Queen of Blades was excitedly rubbing her hands, choosing her new victim.""",,,,,
,S1_cc342ebc,"S1 ""What do I want to do today? Poach someone again? Noooo... It's fun, but it gets boring quickly.""",,,,,
,S1_e751d712,"S1 ""Lizzara...""",,,,,
,S1_09c68c91,"S1 ""How could I forget about my beloved baby, hee-hee.""",,,,,
,S1_41b8a964,"S1 ""How mean of me to leave her alone for so long. I need to fix it!""",,,,,
,S1_fed2e387,"S1 ""Ah, what a surprise! I was just looking for you...""",,,,,
,narrator_50496baf,"""Lizzara froze when she heard the hated voice.""",,,,,
,L_23001024,"L ""I thought you weren't coming anymore...""",,,,,
,S1_fc179685,"S1 ""Did you miss me?""",,,,,
,L_6ddbb60b,"L ""(Not a drop...)""",,,,,
,L_3b388732,"L ""(I hoped I'd never go back to that! Are there few creatures here? I'm not ready for this torture again!)""",,,,,
,L_ae7e4793,"L ""(But she won't be here forever... If she has satisfied her hunger already, she doesn't have much time left...)""",,,,,
,L_1de5bcde,"L ""(Which means that Sarah will be out soon! I'm saved! I just need to stall for time...)""",,,,,
,L_362b1401,"L ""(!!!)""",,,,,
,L_e60f9953,"L ""(Damn it, does she really hear all this, how could I forget...!)""",,,,,
,S1_95148b67,"S1 ""Ha ha ha, not a bad plan. I didn't make a mistake choosing you.""",,,,,
,S1_712ca2bd,"S1 ""Something about you is incorrigible. But we'll try anyway.""",,,,,
,L_d26264f1,"L ""(No!)""",,,,,
,S1_89db6a74,"S1 ""Yep!!""",,,,,
,S1_63260932,"S1 ""Today is the continuation of our training! I know how glad you are. Today will be especially unforgettable.!""",,,,,
,L_a3cbfd35,"L ""(What now...)""",,,,,
,S1_989a7865,"S1 ""Sure, tell you everything and show it to you in advance... Intrique makes life interesting, Lizzara.""",,,,,
,S1_d3bfe8e4,"S1 ""The fact that I left you for so long does not mean that I need to reveal all the cards.""",,,,,
,L_712b6453,"L ""(What a horror... I have to face this test of fate again.)""",,,,,
,S1_01d9534e,"S1 ""Don't be upset. If you behave well – you'll find out everything pretty quickly, hee-hee-hee.""",,,,,
,S1_41e77f4b,"S1 ""You're going to be good, aren't you?""",,,,,
,narrator_5ffb317d,"""The playful tone of the Queen of Blades quickly changed to oppressive.""",,,,,
,S1_4ec45e92,"S1 ""I won't have to use force again, will I?""",,,,,
,L_67723834,"L ""I... I did as you want. But this pose... Are you really...?""",,,,,
