location,source,target,ID,fuzzy,context,translator_comments,developer_comments
,S_RLbJDoY6,"S ""I can't believe it! Such important information and I only hear it now! Didn't he say I was carrying them for the last few days?""",,,,,
,S_JtT5ZA4a,"S ""Is he trying to say that I carried them for nothing? What impudence!""",,,,,
,S_HpiYS7wf,"S ""He's laughing at me!""",,,,,
,centered_cMA8MZYT,"centered ""A few hours earlier...""",,,,,
,Os_HKwRA2Pw,"Os ""Ah, by the way!""",,,,,
,narrator_P9uSwcHQ,"""The defiler looked as if nothing had happened, stopping Sarah in the middle of the corridor.""",,,,,
,S_sBnFkH3P,"S ""I think I told you not to appear in front of my eyes!""",,,,,
,Os_bVoccpir,"Os ""Oh... don't start! I have something you'll want to hear.""",,,,,
,S_qnCeCm4i,"S ""I don't want to hear anything from you!""",,,,,
,S_LPCwuyJT,"S ""Every time something bad happens after our conversations...""",,,,,
,Os_HZXLj8zz,"Os ""Well, since you don't want to hear it...""",,,,,
,narrator_QGZQvEpD,"""The defiler was about to leave when he turned and narrowed his eyes significantly.""",,,,,
,Os_WeH8Vk2G,"Os ""Just don't shout later that I didn't warn you.""",,,,,
,S_ESfqZwYx,"S ""Stand still!""",,,,,
,S_tdQDgtx9,"S ""What are you supposed to warn me about?""",,,,,
,Os_H8e8MC76,"Os ""So you still want to hear?""",,,,,
,S_Aqz2h8Zx,"S ""In my opinion, bad things will happen anyway, whether you say it or not.""",,,,,
,Os_ttehYxbd,"Os ""If so, then listen ca-a-arefully!""",,,,,
,Os_EQRR97XY,"Os ""You can feel wild hunger, and that's okay. All you need is to c-collect the material.""",,,,,
,S_eqJuWSA8,"S ""M-material? W-what kind of material is this?""",,,,,
,Os_pnBzhVVS,"Os ""Heh-heh!""",,,,,
,Os_ooVDKs6u,"Os ""Genetic material.""",,,,,
,S_mHW3MutC,"S ""Em... Let's do without riddles, okay?""",,,,,
,S_FU9UCzG4,"S ""(If you think about it, I really could eat an elephant right now... Is it all because of them? I haven't had such an appetite in a long time.)""",,,,,
,Os_9UtYM7Bd,"Os ""My babies are special.""",,,,,
,S_fs5jfn5J,"S ""That I've heard plenty of times already, be specific!""",,,,,
,Os_gtt5LQjt,"Os ""You can't do with ordinary food here. It simply won't saturate you, they will demand special material! Which lurks inside the Zerg DNA!""",,,,,
,S_YJDehTJv,"S ""Are they cannibal Zergs???""",,,,,
,Os_kTUxubki,"Os ""No, normally they would eat like all the Zerg here. But now they are in your body, and you are not synchronized with the ship, you can't get the necessary components from it.""",,,,,
,Os_LxSwB7VN,"Os ""I have also found a way around this situation.""",,,,,
,S_NBrQ6aDE,"S ""And what do you suggest I do? Kill a couple of Zerg here?""",,,,,
,Os_cBhKoBxo,"Os ""I think a couple can not do... But even so, you don't need to kill anyone, just make them cum.""",,,,,
,S_75b6Ftbk,"S ""Oh, yeah. I forgot that all your problems are solved in one way.""",,,,,
,S_4mi8NMtn,"S ""Jerking off an unclear number of Zerg... I'm going to spend forever on this!""",,,,,
,Os_rf5GrVrM,"Os ""Then you should hurry up, the hunger will only get worse.""",,,,,
,centered_F5nQjyC4,"centered ""Present time.""",,,,,
,narrator_gcDuwFM8,"""Sarah was tensely kneading the bridge of her nose, trying to collect her thoughts.""",,,,,
,S_j8t7kHNN,"S ""Okay, I'll figure out how to collect their sperm. But what to do with this belly... I don't want anyone to see me like this...""",,,,,
,S_aTDckZzQ,"S ""This belly... swollen nipples... Hell, and then there's this hunger... I'm afraid I might snap when I see them...""",,,,,
,S_AVzUePvq,"S ""...""",,,,,
,S_UhxdhUiq,"S "".........""",,,,,
,S_Cud3Xsba,"S ""........................""",,,,,
,S_5ntQCa3q,"S ""Well, there is one idea.""",,,,,
,S_HUR3M4YD,"S ""Am I not a genius?""",,,,,
,narrator_X8U9q6Kr,"""The girl dusted off her hands, admiring the work done. In front of her was a small hole in the wall, neatly burned into the metal canvas. Sufficient for the passage of large objects.""",,,,,
,S_FnFQj4K2,"S ""A genius!""",,,,,
,S_EcLhjvvh,"S ""!!!""",,,,,
,narrator_KUigezbC,"""Sarah clutched her swollen stomach. Even through the skin, you could see the rattling of eggs inside it, but this time it was unpleasant and very painful.""",,,,,
,S_SPTxSy3T,"S ""This... It's not good, they're really hungry.""",,,,,
,S_UQos6sq9,"S ""(I think he could have deliberately hushed up this nuance in order to put me in such a position...)""",,,,,
,narrator_UvAUgmzW,"""The spasm that followed in her abdominal area almost bent the girl in half. She did not feel anything like this even when she was left without provisions previously.""",,,,,
,narrator_cSYYFmyh,"""She could not immediately understand what was the source of such a sharp and unbearable pain. All thoughts left her head for a second.""",,,,,
,S_jxPyCkWP,"S ""It's definitely not me who's hungry... It's them!""",,,,,
,S_GgPPNYfj,"S ""(M-my need for food disappeared completely after the mutation... Another one appeared instead, but this one...)""",,,,,
,S_8G6N2zCC,"S ""AHHH!""",,,,,
,S_AH3yVaPB,"S ""(It's not even comparable...)""",,,,,
,narrator_jK2KGMPt,"""Everything she had planned flew out of Sarah's head. Every part of her body screamed for this brutal hunger to go away. She prayed for salvation and felt a response. The Swarm heard her call for help.""",,,,,
,S_tmKw9QFC,"S ""Yes! Precisely! Cum! Sperm of various Zerg... This is what I need!""",,,,,
,narrator_DxmHqrnS,"""The girl soothingly stroked her rounded belly, trying to calm the raging babies. They moved harder, as if they could feel the food coming.""",,,,,
,S_TJGmPvDQ,"S ""Everything is ready for the reception of guests...""",,,,,
,S_3GPzYN2s,"S ""Now Mommy will feed you.""",,,,,
,S_oPm4SN73,"S ""How timely I managed to prepare everything! If they had started moving earlier, nothing would have worked out.""",,,,,
,S_eRmCEdFn,"S ""Or did they move on purpose after I did everything to hurry up?""",,,,,
,S_tkv75WjY,"S ""Pranksters...""",,,,,
,narrator_QhfsMENE,"""The eggs continued to rattle inside, showing Sarah their impatience. As if they knew they were about to be fed. She didn't stop stroking her stomach in the hope that it would calm them down a little.""",,,,,
,S_dreaFtX8,"S ""If you keep this up, I won't be able to get you anything.""",,,,,
,S_fuQaGADc,"S ""The first subject has already arrived, and this hunger does not allow me to focus on it...""",,,,,
,narrator_5o6SVBjq,"""Sarah remembered another hunger, something vaguely resembling this one. The girl could not forget about the meanness of the Queen of Blades and her little curse, sometimes spoiling life.""",,,,,
,S_fnMNyTSQ,"S ""If you think about it... they have something in common.""",,,,,
,S_HnMEUmEi,"S ""I have to do this!""",,,,,
,narrator_5J6p99aG,"""The member in the wall began to twitch impatiently, calling attention to it. This immediately pulled Sarah out of her thoughts and took her by surprise.""",,,,,
,narrator_muLaywNa,"""She felt someone else's presence, but this time she saw in front of her a thirsty member oozing with a predeculate.""",,,,,
,S_Kdygkh8t,"S ""Oh ! Well, finally... If I don't get food out of you right now, I'll starve to death!""",,,,,
,narrator_pHgVxijT,"""Sarah did not expect such a reaction from herself when she greedily sucked on someone else's penis. The creature behind the wall growled deep in its throat, encouraging such zeal. The girl felt that she could swallow this cock whole if she didn't restrain herself.""",,,,,
,S_iqHi729e,"S ""(Well, no. I will not take more than necessary of this dick in my mouth!)""",,,,,
,narrator_tC5tgzFa,"""Hunger pushed her to strange decisions and reactions, making her mind overload. She didn't feel aroused like she used to. She wanted to get seed, a lot of seed. She needed to feed her offspring, no matter what it took.""",,,,,
,S_8q8oFXdP,"S ""*Slurp* *Slurp*""",,,,,
,S_GF8RdzbR,"S ""Mmmmm...""",,,,,
,S_K5hodwEK,"S ""(God, how good it is! Dick has never been so delicious!)""",,,,,
,narrator_L2w5z7Pt,"""Sarah actively used her tongue, running it along the entire length and returning to sucking the head. She pushed the head to the limit, filling her whole mouth with it, and let it out again with a vulgar smack.""",,,,,
,S_N6Cw86tx,"S ""(Even with the tentacle, I didn't try so hard, hee-hee.)""",,,,,
,narrator_9bnNvwa2,"""The girl made attempts to swallow the penis a little deeper and make the creature cum faster right in her mouth, but the penis offered too much resistance. This conclusion annoyed Sarah, but did not stop her.""",,,,,
,S_VfUvkKxm,"S ""*Slurp* *Gulp* *Smack*""",,,,,
,S_AzExKe2p,"S ""(Decided to play with me? Well it won't work!)""",,,,,
,narrator_tWLTAaUG,"""Sarah began to suck even more desperately, using one or both hands. Her dexterous fingers did not just circle around the penis, but tried to find all the sensitive spots. She also paid attention to the balls, which the girl gently kneaded to get all the contents out of them. She didn't stop for a second, constantly nearing the awaited climax.""",,,,,
,S_LbKJw9fu,"S ""(Come on! Give me that fucking cum!)""",,,,,
,S_KuxU3vxa,"S ""(My kids are very hungry!)""",,,,,
,C1_JmHMhVoG,"C1 ""ARG!""",,,,,
,S_DzE2RMmy,"S ""(Oh yeah... This is a record time! I did a good job.)""",,,,,
,narrator_UvAUDJiP,"""At any other time, the girl would have been upset by such a quick orgasm, but now she wanted to satisfy her hunger so quickly that she did everything for a speedy finish.""",,,,,
,narrator_DfxmdWC3,"""Sarah did not release the head from the hot mouth, intending to get everything inside at once. But she soon regretted it.""",,,,,
,S_5z2ok8yw,"S ""*Squish* *Gulp* *Squish*""",,,,,
,S_VQaCCK6S,"S ""(S-so thick! I can feel it right now, it's hard to get in my throat, damn it!)""",,,,,
,narrator_UwgGBfLA,"""The girl tried to swallow the thick substance, but her gulps only clogged her throat more. Sarah could hardly breathe, but still refused to release the semen entering her mouth.""",,,,,
,narrator_kggYpE7Y,"""She threw her head back, feeling the sperm flow down her throat into the esophagus. It felt like it lasted an infinity, because the seed did not stop coming. Her stomach filled and filled, but the hunger receded only slightly.""",,,,,
,narrator_WB7hgu6A,"""Sarah didn't expect to get such a wave of pleasure from waiting. The girl was trembling all over at the thought of how hot she looks with her head thrown back and a mouth full of sperm.""",,,,,
,S_H6NacB3s,"S ""Mmm... *Gulp*""",,,,,
,narrator_YGHoXGk7,"""She finally managed to swallow the last drops, licking her lips swollen from her efforts.""",,,,,
,S_3M6YUvvm,"S ""(Ah... How good...)""",,,,,
,S_qExZACKg,"S ""(Now I can take my time and enjoy the process.)""",,,,,
,S_tVFnD2YF,"S ""Huh? Since when do you care?""",,,,,
,narrator_pYdpVegZ,"""The penis suddenly filled up completely again and began to rhythmically push forward, demanding continuation.""",,,,,
,S_Mg7kYbbM,"S ""Uh... no! I've had enough of your thick cum. You could have killed me altogether...""",,,,,
,narrator_NAMZjABr,"""From behind the wall, other Zergs could be heard hooting in displeasure. Their fellow took too much time, they all demanded the advancement of the queue and the creature could not refuse the huge crowd.""",,,,,
,S_pqVfs5hw,"S ""What the hell is that...""",,,,,
,narrator_jXvX9Sr7,"""Sarah saw a very familiar Terran cock in the hole. She had seen it so often that she was willing to bet that she could recognize it just by the smell.""",,,,,
,S_YXonzdYz,"S ""Stukov! You old pervert! What are you doing here?!""",,,,,
,A_hUNKsLPZ,"A ""Th... heee-ee-ee... S-stuckuv? Who?""",,,,,
,narrator_kSX2DbSa,"""The girl stared at the wall in surprise, trying not to laugh at the attempt of an old acquaintance to pretend to be a zerg by changing his voice.""",,,,,
,A_fyTqAwHv,"A ""I'm an ordinary Zerg!.. Most ordinary!""",,,,,
,S_UQShXLZt,"S ""Do you really expect me to believe that? I've known you long enough to know what idiotic things you're capable of sometimes.""",,,,,
,A_PNUNBCT5,"A ""I do not know any Stukav! I came here at the call.""",,,,,
,S_eaGzYogq,"S ""Yeah... Saw the crowd and decided to join in? You stick your long Terran nose everywhere!""",,,,,
,narrator_UsQrDJQY,"""Sarah nervously fingered the wall, trying to figure out how to crack the man. It wasn't that she didn't mind having a little fun with him, but it wasn't in her plans at all.""",,,,,
,S_MUkPzcQq,"S ""(I will definitely not tolerate the offspring of such perverts...)""",,,,,
,S_XvdDKtz7,"S ""If you are not Stukov, then what is your name?""",,,,,
,A_jGGf7Tw6,"A ""I... um... I am...""",,,,,
,As_gFtZbXYn,"As ""Uh... sss... s... {size=+8}STUKUS!{/size}""",,,,,
,S_qJXXnAP3,"S ""Oh-oh-oh... Really? How original...""",,,,,
,S_RTMLqKyR,"S ""Didn't you even think about coming up with a proper name when you came here?""",,,,,
,As_AXwHov7P,"As ""I don't know what you're talking about... I'm Stukus! And always has been!""",,,,,
,S_XG27ApnX,"S ""Yeah... Did you get this dick as a trophy?""",,,,,
,As_Za4KnWby,"As ""Eh? How do you know?""",,,,,
,narrator_ecxYMUsi,"""The creature behind the wall pretended to whisper, as if it was some kind of secret or something important. Sarah moved her fingers faster.""",,,,,
,S_AssvCk5Z,"S ""(This... Do I look like someone who would buy into this nonsense? It's obviously time for him to enroll in acting classes.)""",,,,,
,As_HdWeRmaM,"As ""I cut it off from a poor guy who was walking around the ship here! And now it's the dick of STUKUS!""",,,,,
,S_rHDdPPFH,"S ""Aren't Zerg evolving for the better? Why did you choose the member of such a sucker?""",,,,,
,As_ZPC7XuNv,"As ""Well... well! Start already!""",,,,,
,narrator_qAqph7Wi,"""The creature swung his penis up and down, burning with impatience. Sarah, on the other hand, was burning with impatience to drive him away as far as possible.""",,,,,
,S_Zbt6AvEu,"S ""Well, no! Stukov, stop this whole circus! There's no way in the world I'm going to suck your dick!""",,,,,
,S_8y7jaYtj,"S ""(At least he controlled his habits... He gives himself up with guts.)""",,,,,
,As_CueemAU4,"As ""Stukus doesn't know any Stukev! There's only {size=+6}STUKUS!{/size}""",,,,,
,S_Cq99dtax,"S ""*Slap*""",,,,,
,narrator_entRcju9,"""From nervous tension, the girl's hand jerked, absolutely accidentally slapping the penis.""",,,,,
,narrator_CLbE9KeC,"""Sarah looked at the penis jerk in surprise and sway in different directions not without pleasure.""",,,,,
,S_8CUAt9Nd,"S ""Ha! If you don't stop, I'll beat the crap out of you!""",,,,,
,As_rARUii3t,"As ""Oh, yes!""",,,,,
,S_Eq7g9ZXo,"S ""???""",,,,,
,As_WLxqohi7,"As ""Stukus likes it!""",,,,,
,S_9T8VJtbj,"S ""You like it?""",,,,,
,S_JXk5xPFN,"S ""So our Stukus is also a masochist... Do you like it when your dick is kicked?""",,,,,
,S_4Gsh4gNs,"S ""Well, you can get that here!""",,,,,
,As_VcLNGq3z,"As ""Still... Stukus wants MORE!""",,,,,
,narrator_nywHsc3U,"""Sarah frowned, weighing the pros and cons of this idea. Bringing pleasure to this pervert not only did not please the girl at all, but also would waste a lot of her precious time.""",,,,,
,S_Ws9F4ZMx,"S ""You know... I'm definitely not going to do what you want. Under no circumstances! No, that's it!""",,,,,
,As_D45ymxLv,"As ""MORE!""",,,,,
,S_pfy8VEN6,"S ""You're an old pervert...""",,,,,
,S_Ce8hySPu,"S ""...""",,,,,
,S_kxTxMrY4,"S ""(It's a bad thing... He won't leave, but I don't need his sperm either.)""",,,,,
,S_XKmHEkvR,"S ""(My belly is twisting again...)""",,,,,
,S_kbUgnpEb,"S ""Listen... What's your name?""",,,,,
,As_TPsNXbSt,"As ""{size=+8}{cps=10}STUKUS.{/cps}{/size}""",,,,,
,S_ba2irkzd,"S ""Yes,{size=+8}{cps=10} STUKUS. {/cps}{/size}Get out of here already, okay? I don't have time for games.""",,,,,
,As_qZPeffDM,"As ""Stukus won't leave! Stukus came to help!""",,,,,
,S_kWZ4jgsN,"S ""Oh my god...""",,,,,
,narrator_UTuQh4QD,"""It took Sarah a couple of seconds of reflection to come to the conclusion that it was all useless. She understood that he would not leave, but to overpower herself and do what he wanted was more unbearable than the hunger.""",,,,,
,S_q6Y3mRE4,"S ""All right! Okay... If so, then get ready.""",,,,,
,S_AErTWiKi,"S ""What you're about to experience is unlikely to please you. And you certainly won't want to repeat it!""",,,,,
,narrator_7qD6q8xt,"""The girl firmly grabbed the filled penis, starting to masturbate it at a hard pace. There was a desire to her movements to make the creature uncomfortable and force him to leave. Surprisingly, muffled moans could be heard behind the wall, which angered her even more.""",,,,,
,As_jyhJbMLK,"As ""Y-yeah! Y-yes!!!""",,,,,
,S_bicDFNzw,"S ""*Slap*""",,,,,
,S_Gkv7i5Cp,"S ""(Hee hee hee, you absolutely shouldn't like this! You shouldn't!)""",,,,,
,narrator_Kx6Xasww,"""The moaning stopped for a second, changing to a sob.""",,,,,
,S_jWj7iyQk,"S ""That's it! This is exactly the reaction you should have!""",,,,,
,narrator_PFqdu6fz,"""Sarah felt calmer, slowing down the pace. A completely different plan grew up in her head. Unexpected, but very pleasant. Memories of all the lessons and bullying that the girl had to go through kept popping up in her head. Her anger boiled over in a new way.""",,,,,
,S_biAb3cvy,"S ""Stukus, you want to cum, don't you?""",,,,,
,As_DfhnG7fN,"As ""Y-yes... Stukus wants it!""",,,,,
,S_VUXrk8uG,"S ""I'm glad to hear that.""",,,,,
,narrator_FvHDXSbX,"""Sarah, with a satisfied smile on her face, softened the movement of her hand, subtly listening to someone else's body. It didn't take the creature long for its penis in the girl's hands to begin to throb. The veins began to feel clearer and everything was gradually coming to an end.""",,,,,
,As_GyhLDk2x,"As ""A-a-ah... Y-yeah, that's about S-stuckus...""",,,,,
,S_gbA7T2xd,"S ""*Slap*""",,,,,
,As_cZjzmD8R,"As ""Arch...!""",,,,,
,narrator_itYFbCJm,"""The penis immediately lost its former hardness, but wasn't completely limp.""",,,,,
,As_JMv7SG3V,"As ""I... Stukus wants to cum!""",,,,,
,S_dpsoTnfy,"S ""Really? Then I should want it, too, and I don't want it.""",,,,,
,narrator_eKhB9Jqm,"""The hand movement resumed, bringing the penis into a ready state. Sarah was surprised at how quickly the situation in this game was changing and how much Stukov wanted to cum that even after a slap his penis was standing.""",,,,,
