location,source,target,ID,fuzzy,context,translator_comments,developer_comments
,S1_e4f6cbba,"S1 ""Damn... So damn boring in here....""",,,,,
,S1_ed5aa8db,"S1 ""Does anyone around wanna have fun?""",,,,,
,narrator_df3323ee,"""The girl graciously jumped from her throne, did a couple backflips while soaring through the air and landed steadily on her feet. She began to look around and finally noticed Lizzara, ideas popping into her head.""",,,,,
,S1_40fa9600,"S1 ""Lizzara-Lizzara... As always, you delight me with your presence.""",,,,,
,narrator_0c10d136,"""With these words, the girl slowly approached her prey.""",,,,,
,L_4a6114e4,"L ""(This already sounds like it's not going to end well...)""",,,,,
,S1_61640008,"S1 ""Pfft, don't be so skeptical... I just need your help. That's all, hee-hee.""",,,,,
,L_8be86742,"L ""(Help? B-but how can I help?)""",,,,,
,S1_1adf74bd,"S1 ""You know, you're very good at making me want you. You have to take responsibility for this, honey.""",,,,,
,narrator_e3dcea52,"""The Queen of Blades didn't make her wait long and displayed her present for Lizzara.""",,,,,
,L_840bf463,"L ""W-what??? W-why did you pull it out???""",,,,,
,narrator_ce276408,"""Saying she was surprised by it would be a huge understatement.""",,,,,
,L_10fddea0,"L ""(I... I don't know what you want from me...)""",,,,,
,S1_68995785,"S1 ""Don't be a fool, you know perfectly well.""",,,,,
,narrator_6a557b14,"""The Queen of Blade's dick started twitching, it was close enough to Lizzara's face to sometimes touch it.""",,,,,
,S1_9f022806,"S1 ""Just satisfy me. Be a good girl and do everything I tell you.""",,,,,
,narrator_e86956e0,"""Lizzara tried not to look at the penis, her skin already burning with shame.""",,,,,
,L_1b42688c,"L ""(But I don't have a mouth!)""",,,,,
,S1_21e5f493,"S1 ""Yes? And should I be worried? Think of something. You're a smart girl, Lizzara.""",,,,,
,S1_a140901f,"S1 ""It's nice to play with your face, but you can't get that far. Feeling your skin with my cock... Mmm, cool, but I need something more.""",,,,,
,S1_8e06744e,"S1 ""And if you don't find a way out, I'll just have to take you from behind. You don't want to let that happen, do you?""",,,,,
,narrator_08e07302,"""Queen of Blades imitated how she would move inside Lizzara.""",,,,,
,L_6430af2f,"L ""(What?... But what should I do?)""",,,,,
,S1_cba3fe57,"S1 ""I'm in a good mood, which means I'll give you some time to think. Ten...""",,,,,
,L_64e39456,"L ""(But...)""",,,,,
,narrator_eb54aec9,"""Lizzara desperately tried to come up with something, constantly distracted by the penis that poked her face and twitched more and more frequently.""",,,,,
,L_53901af6,"L ""(I... could I use my hand?)""",,,,,
,S1_a10e40bf,"S1 ""Boring... I could have done that without you.""",,,,,
,S1_2dc6d865,"S1 ""Nine...""",,,,,
,L_0baea2aa,"L ""(...)""",,,,,
,narrator_40b3a434,"""The protoss had another option which she wanted to avoid at all costs.""",,,,,
,S1_e20a6f5d,"S1 ""Eight...""",,,,,
,L_0808eb7d,"L ""(We can make a deal!)""",,,,,
,S1_bf146045,"S1 ""Se-e-ven...""",,,,,
,narrator_13a8e708,"""Queen of Blades looked at Lizzara from above, lazily smearing precum over her skin.""",,,,,
,S1_8440cabc,"S1 ""Six...""",,,,,
,L_00d03166,"L ""(Mmmh...)""",,,,,
,S1_98eb1093,"S1 ""Five...""",,,,,
,narrator_15110605,"""Lizzara felt slightly aroused from the display in front of her. She wanted to come up with something, but her thoughts couldn't ignore Queen of Blade's actions.""",,,,,
,S1_d537b320,"S1 ""Four...""",,,,,
,L_bc71251d,"L ""(What are you trying to do?)""",,,,,
,S1_9a2067f2,"S1 ""Three...""",,,,,
,L_2fe712ff,"L ""(I... stop counting!)""",,,,,
,S1_1504f444,"S1 ""Two-ooh...""",,,,,
,S1_19637ab1,"S1 ""Hurry up, or soon your pussy will be dangerously close to my cock and I will not hold back.""",,,,,
,L_e5ad383c,"L ""(No!)""",,,,,
,S1_06f080d2,"S1 ""One...""",,,,,
,L_aec54c4e,"L ""(All right! Okay... I'll use my power.)""",,,,,
,S1_508b56d9,"S1 ""Wow! How interesting!""",,,,,
,S1_e69a2337,"S1 ""You see! Although... Wait. So you've been thinking about it all this time?""",,,,,
,S1_053a2c86,"S1 ""You sly little lusty protoss. You knew all this time what to say to me, but you continued to stubbornly refuse...""",,,,,
,L_2b4f1199,"L ""(I dare not defile the Khala by using my powers for... gratification.)""",,,,,
,L_ca95bddc,"L ""(But you're forcing me to denigrate that connection!)""",,,,,
,S1_61a57945,"S1 ""Khala... """,,,,,
,extend_d33d55e1,"extend ""mahala... you're overstressing yourself. I don't give a damn about your connection, desecration, blah-blah-blah... I'm interested in the result, so take a good look at my cock.""",,,,,
,L_1b1b7ce4,"L ""(I still have a chance...)""",,,,,
,L_235321d3,"L ""(Sarah! I believe you can hear me. I'm asking you to come back, it's not you. I don't believe it could be you. Please...)""",,,,,
,S1_32239d78,"S1 ""Yeah...""",,,,,
,narrator_be6b553c,"""Queen of Blades listened to LIzzara's pleading, barely containing herself from yawning.""",,,,,
,L_fad5da56,"L ""(Wake up, do it somehow...)""",,,,,
,S1_b084ad64,"S1 ""Wel, this is very interesting, but how much longer do I have to wait?""",,,,,
,S1_236afe18,"S1 ""Don't you understand, Lizzara? Sarah can't hear you, she's too weak.""",,,,,
,L_713006ef,"L ""(I believe she can hear me.)""",,,,,
,narrator_8fde1a80,"""Suddenly, Queen's face scrunched in a weird grimace.""",,,,,
,S1_09cacfbe,"S1 ""Lee... Li-lizara... I can hear you, I-I'm ... here...""",,,,,
,L_ef30efed,"L ""!!!""",,,,,
,L_8477d63a,"L ""Sarah, I knew it!!!""",,,,,
,S1_a5b8719c,"S1 ""L-li-li-lii... zara...{w} TIME TO TAKE CARE OF MY COCK!""",,,,,
