location,source,target,ID,fuzzy,context,translator_comments,developer_comments
,narrator_d31debdc,"""Lizzara shuddered when she heard the measured click of heels.""",,,,,
,L_effa9a5c,"L ""(I know that sound... It can only belong to...)""",,,,,
,S1_4a2abc74,"S1 ""Ha ha ha. Miss me?""",,,,,
,S1_86ce93c8,"S1 ""My little pet, how could you hide such an important event from me?""",,,,,
,L_730f3d2e,"L ""(I... I don't know what you're talking about.)""",,,,,
,L_0120d84e,"L ""(No events! I just... I'm sitting here. Yes, I'm just sitting.)""",,,,,
,S1_36424010,"S1 ""You're such a bad liar, Lizzara. Maybe I should teach you a lesson in lying?""",,,,,
,S1_830839f5,"S1 ""As soon as I spoke, you immediately began to deny everything. And your voice... How long has it been shaking like this?""",,,,,
,L_0f734aa9,"L ""(Аh... I...)""",,,,,
,S1_350c8356,"S1 ""Ts-s-s-s-s-s-s...""",,,,,
,narrator_a1a1067d,"""The Queen of Blades was getting closer, now Lizzara could feel her breathing.""",,,,,
,S1_cde75fc3,"S1 ""It's written all over your face. You don't even have to try, lying isn't your thing.""",,,,,
,narrator_31d1514e,"""Lizzara was afraid to raise her eyes, hearing the growing discontent in the girl's voice.""",,,,,
,S1_71b7ef0e,"S1 ""Why are you silent? Decided to turn yourself in red-handed? The right decision, sweetheart.""",,,,,
,narrator_4fe359b7,"""The Queen of Blades gracefully, like a cat, jumped onto the handrail of the throne, carefully studying the shaking body next to her.""",,,,,
,S1_6ad925f0,"S1 ""Come on, we're best friends... Why do you keep forgetting about it? You can tell me anything, hee-hee.""",,,,,
,L_b1d3ebd8,"L ""(Ha???)""",,,,,
,L_53eb4d2e,"L ""(Friends? After everything you've done to me?! YOU DARE TO CALL US FRIENDS?!)""",,,,,
,narrator_94af4ae3,"""The Queen of Blades only smiled in response, continuing to have a carefree conversation with the girl.""",,,,,
,S1_cb0e11c9,"S1 ""Ha, ha, ha, you're so fond of exaggerating, Lizzara. Come on already. Whose idea was it?""",,,,,
