location,source,target,ID,fuzzy,context,translator_comments,developer_comments
,narrator_42225baf,"""The Queen of Blades was slowly approaching Lizzara, burning with anticipation.""",,,,,
,S1_6479db8c,"S1 ""How nice to see you again!""",,,,,
,L_47611823,"L ""(It's not mutual...)""",,,,,
,S1_4a226aa8,"S1 ""I might be very angry with you for saying that, but there's something so exciting ahead of us that I'm going to let it pass.""",,,,,
,L_9fe859f4,"L ""(Exciting? What can a perverted mind take for exciting?)""",,,,,
,S1_1dbff532,"S1 ""Don't worry, you'll find out sooner or later. But it won't be so much fun if I reveal all the cards from the beginning.""",,,,,
,S1_f56cf277,"S1 ""I can't wait to get started! Damn, such anticipation can drive you crazy, hee-hee.""",,,,,
,L_53930c75,"L ""(I don't like this...)""",,,,,
,narrator_546beabe,"""Lizzara felt even more uncomfortable than when they first met. The girl's wild and lustful gaze frightened her. But she was even more afraid of the unknown.""",,,,,
,L_7309a9ff,"L ""(Are you... going to hurt me?)""",,,,,
,S1_824e030a,"S1 ""What?""",,,,,
,S1_9b7bfa1c,"S1 ""No, silly. It's in my best interest not to spoil you.""",,,,,
,L_de8d34a5,"L ""(Then what's waiting for me?)""",,,,,
,S1_8b34530d,"S1 ""It won't be long now... You'll find out soon enough, hee-hee.""",,,,,
,S1_bb3a6679,"S1 ""Well done...""",,,,,
,narrator_34459861,"""Without thinking, lizzara tried to move, but her body wouldn't listen.""",,,,,
,L_2306fd44,"L ""(W-what's going on? Why can't I move?!)""",,,,,
,narrator_24a26d60,"""The Protoss tried her best to wiggle, but her attempts were doomed to failure.""",,,,,
,S1_2310f20f,"S1 ""Stop wasting your energy, it's useless.""",,,,,
,L_e4205be7,"L ""(Stop?! Then tell me, what are you going to do with me?)""",,,,,
,S1_2fd84186,"S1 ""Why all these worries? Just a small procedure. It's time to improve your beautiful body a little again.""",,,,,
,L_fb1d0380,"L ""(What are you even talking about? Procedures?)""",,,,,
,S1_41d551c9,"S1 ""Not procedures, but a procedure. Just one harmless treatment.""",,,,,
,S1_8f7da4d9,"S1 ""You're very curious, Lizzara. Need to know everything... {w}Hm... {w}But since we're already here, I can tell you about my great plans for you.""",,,,,
,L_b94bfc5a,"L ""(What's going on in your head? What kind of madness have you come up with this time?)""",,,,,
,S1_24a56bd6,"S1 ""Nothing crazy. Your body is beautiful, but... We still have a lot to improve. I want to change something about you.""",,,,,
,S1_d166d3cd,"S1 ""To create an even more perfect being out of you, hee-hee.""",,,,,
,L_2e6e7eca,"L "" (C-create?)""",,,,,
,S1_0d3de4ea,"S1 ""What's so surprising about that? This body, too, was different before, more fragile and less amenable to change.""",,,,,
,S1_51722854,"S1 ""Hmm, it's still far from ideal, but my improvement isn't over yet. Just like yours, hee-hee.""",,,,,
,L_f46a1988,"L ""(I'm a Protoss! The Zerg is amenable to constant... mutations. But we are different! You can't do that to me!!!)""",,,,,
,narrator_4dfdf666,"""Lizzara was panicking at the thought of her body being disfigured in some way or someone doing something unacceptable to it.""",,,,,
,S1_0d09298f,"S1 ""Relax, you'll mostly stay the same. There is no need for large-scale changes.""",,,,,
,S1_28f332e9,"S1 ""It's just that you're missing something very important for our games. We cannot avoid this issue.""",,,,,
,L_eb0494e7,"L ""(Do you really want to change my body for your fun?)""",,,,,
,S1_ecfa7f54,"S1 ""Yes... *yawn* I'm getting tired of talking about it. We're not here for idle chatter.""",,,,,
,L_d506b52e,"L ""(Huh??? W-what is that?!)""",,,,,
,L_6becb3f3,"L ""(No! Don't even think about it, I refuse to participate in this!)""",,,,,
,S1_bcb7057e,"S1 ""Haha, don't even start. Always such a bore, but that's just the beginning.""",,,,,
,L_c2f9d257,"L ""(This thing is... Scary.)""",,,,,
,S1_e51897e8,"S1 ""Don't worry, it doesn't look as bad as you think.""",,,,,
,L_c34768f8,"L ""(Eeeee!!!!)""",,,,,
,L_c9dba45d,"L ""(Ah... W-what?)""",,,,,
,narrator_e9d44cc7,"""For a moment, all thoughts vented out of Lizzara's head, leaving only a strange feeling inside.""",,,,,
,L_69bd0542,"L ""(NGG... W-what's going on with me? What is this strange tentacle...)""",,,,,
,L_c80e3dd1,"L ""(!!!)""",,,,,
,L_5eba5f5e,"L ""(Mmmmm! W-what am I?!...)""",,,,,
,narrator_e374bd52,"""The Queen of Blades grinned at the Protoss's reaction.""",,,,,
,S1_d010a995,"S1 ""It's even better than I could have imagined, hee-hee-hee.""",,,,,
,S1_979ffd71,"S1 ""You're moaning so loudly... Don't hold back, it won't work anyway.""",,,,,
,L_a5766797,"L ""(T-this tentacle... Why is it covering me with some strange liquid?)""",,,,,
,L_a9567d0f,"L ""(You know that... It's bad for me... MH, my body reacts so violently.)""",,,,,
,L_01a46dde,"L ""(My body begins to absorb it... ahhh... no, stop it!)""",,,,,
,S1_f6c86c7e,"S1 ""It's just as it should be, cutie. You react so funnily to everything.""",,,,,
,S1_04a20ccd,"S1 ""Or are you doing this on purpose to turn me on?""",,,,,
,S1_4aef4c0a,"S1 ""What a cunning Protoss... You're very good at it. Just the thought of what I can do with you.... Mmmmm....""",,,,,
,L_8380dc5d,"L ""(Aaaaaaaah!!!)""",,,,,
,L_b00aa275,"L ""(Why is there so much of this liquid?!)""",,,,,
,narrator_ba7432ac,"""The tentacle was actively flooding Lizzara's body with a viscous liquid that was being quickly absorbed by the Protoss's skin.""",,,,,
,L_b08497ee,"L ""(M-my body... Oh, why is it so hot? My skin is melting, mmmm...)""",,,,,
,L_779c4da3,"L ""(E-enough! Stop it, MGH! I can't stand it!!!)""",,,,,
,narrator_1a2da092,"""*Squish* *Squish* *Squish*""",,,,,
,narrator_762c9fd3,"""The Queen of Blades watched with interest as Lizzara's reaction to what was happening to her changed. The girl liked how loud the moans became.""",,,,,
,L_e8e7efb7,"L ""(S-stop it! Stop it! No need, ahhh...)""",,,,,
,S1_6421bfa3,"S1 ""You're so noisy, Lizzara. But that only gives me a reason to keep going, hee-hee.""",,,,,
,L_e2320bc1,"L ""(I don't like this! This liquid... It smells like something negative, it should not get on my skin, mmmm!)""",,,,,
