location,source,target,ID,fuzzy,context,translator_comments,developer_comments
,narrator_sFnFFSZU,"""Sarah tried to rest, feeling the movements in her stomach finally cease. Her body ached with relaxation.""",,,,,
,S_rrAAq9nc,"S ""How good... I didn't even notice that everything was so tense.""",,,,,
,narrator_BxhvroZi,"""The girl stretched, trying to stretch her cramped muscles. Some kind of desire began to form in her stomach, which Sarah could not define.""",,,,,
,narrator_ZJkv9cS4,"""She chose not to pay any attention to it, savoring the moments of relaxation.""",,,,,
,S_KGa8kvVJ,"S ""Lizzara is right, I need to rest more often...""",,,,,
,narrator_75iAGkBu,"""All the worries and running around faded into the background. No one else was telling her to go anywhere, do anything. Sarah was finally able to forget about the hated Queen of Blades and the defiler, sinking into a light doze.""",,,,,
,narrator_cah5UZev,"""*Rumbling*""",,,,,
,S_qCGLPfBH,"S ""What is it?""",,,,,
,narrator_fkT4N8Cs,"""Desire caught up with the girl at a huge pace even in her sleep, forcing her to jump up abruptly on the bed.""",,,,,
,S_jzpCpQG8,"S ""Such a strange feeling... It was like something kicked me!""",,,,,
,narrator_mpHgbDtB,"""Sarah could hardly understand what it was that had pulled her out of her slumber. To the touch, her body was fine, nor were there any sharp pains or discomfort... she just wanted something.""",,,,,
,S_nwG4sRiT,"S ""Baby...""",,,,,
,narrator_SRq8crZ6,"""The thought of a penis aroused the girl. Lubricant began to seep out from her pussy, which attracted the male with its aroma.""",,,,,
,narrator_acvk6Hfu,"""[zergling_s_name!t] immediately came into view, sniffing furiously. The girl's eyes lit up at the sight of him.""",,,,,
,Z_TgoqTtNQ,"Z ""Skr?""",,,,,
,narrator_atkC5Mmk,"""Sarah propped herself up on her elbows, showing off her bulging stomach. She felt more attractive than ever and wanted the sperm of a strong male in her.""",,,,,
,S_hYbzcs2s,"S ""You've always been this... attractive?""",,,,,
,narrator_LpxH7DB6,"""The girl did not sense any confusion in her mind, her thoughts were quite sane, but something had changed.""",,,,,
,S_LSr8Qtn8,"S ""You like my new body, don't you? Is that belly sexy?""",,,,,
,Z_bM2H8vAD,"Z ""Skr-skr-skr!""",,,,,
