location,source,target,ID,fuzzy,context,translator_comments,developer_comments
,S1_a31e2cb3,"S1 ""Who's my victim for today... That's right, the pawn of our mutual friend. How interesting...""",,,,,
,narrator_e0e08852,"""The Queen of Blades quickly identified her new target, already anticipating how Sochus would resist her and try to resist temptation.""",,,,,
,S1_b1eb4572,"S1 ""Why are you twitching like that? Are you afraid?""",,,,,
,narrator_32e17aca,"""The girl circled nonstop around the alert drone, exerting more and more pressure on it.""",,,,,
,S1_a4dc4d30,"S1 ""You need to be friends with your friends' friends, Sochus. Where are your manners?""",,,,,
,SO_05af557f,"SO ""Even if Sarah talked about you, it was nothing positive.""",,,,,
,S1_534388ae,"S1 ""Come on, she's exaggerating. She just can't realize yet what kind of help I'm giving her! And you have a great opportunity to understand it right now.""",,,,,
,narrator_90b417c3,"""The Queen of Blades playfully tapped on Sochus's shell, watching as he tried to dodge her hands.""",,,,,
,S1_c1850c22,"S1 ""Hmm, this thing looks pretty solid... Hee, that's funny.""",,,,,
,S1_5a038c0c,"S1 ""Maybe this will be the best acquaintance of your life! And you want to miss it?""",,,,,
,SO_8390dc1a,"SO ""I believe Sarah and... And I am faithful to her to the last!""",,,,,
,S1_3d7edb79,"S1 ""How can such a cowardly dunce be so loyal to someone? Ah, my girlfriend is so lucky, hee-hee-hee.""",,,,,
,narrator_f0da6ed9,"""The girl did not lag behind the retreating drone, constantly staying next to him. The shadow of the Queen of Blades stalking at his heels was driving Sochus into a corner.""",,,,,
,SO_7d535b70,"SO ""I'm not going to fail Sarah! She will be very unhappy if she finds out about our communication!""",,,,,
,S1_8dfe65cf,"S1 ""We'll just get to know each other a little bit, mmm... closer. I have to know who Sarah keeps by her side, hee-hee-hee.""",,,,,
,SO_3da466fc,"SO ""It doesn't look like just an introduction!""",,,,,
,narrator_38af77f7,"""Sochus tried not to look at the grinning Queen of Blades. It only turned her on more that the drone understood everything and tried to avoid the inevitable.""",,,,,
,S1_a1d97844,"S1 ""Really? It's all your inflamed fantasy, Sochus. But if you insist so much...""",,,,,
