location,source,target,ID,fuzzy,context,translator_comments,developer_comments
,Q_5e2d1695,"Q ""Oh look who came to see me...""",,,,,
,narrator_b80b86c6,"""The Mistress lazily shifted her gaze to where the Queen of Blades would appear.""",,,,,
,S1_fce777ba,"S1 ""Oh, you ruined such a surprise!""",,,,,
,Q_b0bcf77c,"Q ""It's hard not to feel you from afar. Come for a rematch?""",,,,,
,narrator_6e048eef,"""The lady looked haughtily at the girl who was slowly approaching her.""",,,,,
,S1_809246d2,"S1 ""We both value our time. I've not gained complete control of this body yet and can't fully contend with you. And you know that...""",,,,,
,Q_201196a6,"Q ""I do...""",,,,,
,narrator_823b78be,"""The Queen of Blades struggled to contain herself, trying not to react to the mockery from Mistress. But it still got an eyetwitch out of her.""",,,,,
,S1_f6ca1157,"S1 ""But that doesn't mean I gave up!""",,,,,
,Q_3125196d,"Q ""{size=-4}I'd be surprised if you did...{/size}""",,,,,
,narrator_89e66034,"""Mistress continued to sit on her throne, towering majestically over her guest.""",,,,,
,S1_8c9e17d5,"S1 ""I would love to destroy you right here. And I'll take care of it... A little bit later.""",,,,,
,S1_fe5f6e28,"S1 ""But I hope you didn't think I came to you for nothing?""",,,,,
,narrator_3d6e8fbf,"""Mistress leaned forward in interest, her eyes never leaving the girl.""",,,,,
,Q_4e09126e,"Q ""I can't even imagine what you came to me for.""",,,,,
,S1_38934e03,"S1 ""I have a different way of resolving our conflict. I have an idea how to show the conceited bitch her place and of course identify a real leader. And you'll definitely like it, hee-hee.""",,,,,
,narrator_dbb3b65d,"""Of course, Mistress could not hide her interest, this proposal captivated her. Perhaps something very interesting was brewing, something that would be able to enliven the local life.""",,,,,
,S1_1e58504f,"S1 ""I'm offering you a different kind of fight.""",,,,,
,S1_b1efeffb,"S1 ""I will trample you into the dirt first mentally, and then physically!""",,,,,
,S1_135821dc,"S1 ""Are you ready to try to prove that you're not so useless?""",,,,,
,Q_12a041a3,"Q ""Ha-ha-ha, are you giving me such a great opportunity to lower your inflated self-esteem voluntarily?""",,,,,
,Q_0c8b26b4,"Q ""How could I refuse a prey that has put itself on a platter and garnished itself with a cherry on top?""",,,,,
,Q_96cad49e,"Q ""Playing with you will give me a great opportunity to stretch myself properly, so that I can finally enslave you. Everything working out in the best possible way.""",,,,,
,Q_fd5065e4,"Q ""Give me everything you have. I can't wait to start my dessert...""",,,,,
,narrator_91f44aca,"""Mistress writhed with impatience, imagining in her mind the Queen of Blades giving up and falling to her knees in defeat.""",,,,,
,S1_ce3b5d2c,"S1 ""(Let's see which one of us gets this cherished cherry...)""",,,,,
,S1_fb0163c5,"S1 ""I have a better idea!""",,,,,
,narrator_617c8c9e,"""The Queen of Blades swooped down on Mistress, taking advantage of her superior position. The former could feel something pressing against her crotch.""",,,,,
,S1_644a3df9,"S1 ""I need to teach you this pose properly. Dogs need to be trained, right?""",,,,,
,Q_8b6b4650,"Q ""Argh...""",,,,,
,narrator_4e0bc02a,"""The girl grabbed Mistress's chin, and stared her in the eyes.""",,,,,
,S1_ec59d942,"S1 ""In the meantime, I'll give you a chance to be on an equal footing with me. Otherwise, this won't be that interesting...""",,,,,
,narrator_d1d15f2e,"""The Queen of Blades grabbed the Lady around the neck to gradually get closer, allowing her to clearly feel the huge cock that was almost entering her.""",,,,,
,S1_9f1ecf84,"S1 ""Hee-hee, can you feel it? I will not simply claim you, even though I really want to... It will be a contest!""",,,,,
,narrator_bf61e6cd,"""A wild light played in the Mistress's eyes, which was fueled by the excitement of the girl.""",,,,,
,Q_bf5181e7,"Q ""A contest... Mmm, oh-very interesting.""",,,,,
,S1_892f3c65,"S1 ""This is the perfect way to put an end to our confrontation. Just until I have the strength to humiliate you completely.""",,,,,
,Q_fa3e0f29,"Q ""I'm too good for someone like you to beat me! You can admit defeat before it's too late...""",,,,,
,Q_cdf9b052,"Q ""AAAAAAAHH!!!""",,,,,
,S1_ec9debf8,"S1 ""(Mh? Really now... She likes spanking? How lovely, hee-hee.)""",,,,,
,S1_9d8e638d,"S1 ""(She doesn't know the rules yet, but she's already screwed up so badly. Victory will be mine!)""",,,,,
,S1_e79cafea,"S1 ""Your playfulness only serves me right. The rules of this competition are very simple. The one who finishes the most loses. You're already one step ahead in this, hee-hee.""",,,,,
,S1_f7051d21,"S1 ""And we will sum up the results when the first of us will lose consciousness from the pleasure received.""",,,,,
,S1_c90aeb0e,"S1 ""Don't worry, I'll catch your body.""",,,,,
,Q_21381a3d,"Q ""How interesting... I can't promise you the same.""",,,,,
,Q_0f957960,"Q ""But it all sounds very tempting. It is very difficult to refuse.""",,,,,
,narrator_48942715,"""It was impossible to say that Mistress was unhappy to hear such rules, impatiently giving in back, impaling herself on the dildo.""",,,,,
,S1_6e2d89dd,"S1 ""(You won't last long like that... I'd like to join you in your depravity, but I have to hold on!)""",,,,,
,narrator_ed1796f9,"""The Queen of Blades laughed loudly, tightening her grip on the other's neck.""",,,,,
