location,source,target,ID,fuzzy,context,translator_comments,developer_comments
,narrator_32e9b35a,"""Sarah observed the vast desert before her, unable to imagine how something so large could fit in a ship. She could not see the end of this barren wasteland, the endless sand hills of suspiciously light-colored sand stretching forever.""",,,,,
,S_b6659278,"S ""(The sand I've seen is usually more yellow and the grains are larger. Why does this one look like badly ground flour?)""",,,,,
,narrator_7961b033,"""The girl didn't want to focus on it for long, continuing her exploration. In the distance she saw a remarkable wreckage, obvious because of its bright color.""",,,,,
,S_81c4da60,"S ""These places are so... Abandoned. How many years has no one lived here for?""",,,,,
,Gside1_bf2a998f,"Gside1 ""I can't tell you the exact time period. But judging by the state of the environment, it's not long enough for the environment to fully recover. The wounds from the last battle are still visible here.""",,,,,
,S_6635692e,"S ""It's already obvious... So many corpses, as if someone deliberately wanted to destroy all life here.""",,,,,
,Gside1_1f9d3480,"Gside1 ""We can't confirm that. There is no one who has survived and told us the history of this area. We can only entertain ourselves with guesses.""",,,,,
,S_7e8a92d9,"S ""(Could've stopped at just 'I don't know'...)""",,,,,
,Gside1_16d86579,"Gside1 ""But there was definitely someone's pack here before, because the corpses are not of a wide variety. Maybe the just died out naturally? This is also likely. Or maybe...""",,,,,
,S_b81663f6,"S ""Deliberately exterminated? But who would want that?""",,,,,
,Gside1_d382d8e4,"Gside1 ""This option is more plausible, judging by the traces of the struggle. Someone really wanted to help these creatures pass away... So many reasons, so many options.""",,,,,
,S_ddee77ef,"S ""Are there many reasons? Usually it's just a fight for territory.""",,,,,
,Gside1_02f8ff21,"Gside1 ""Sarah-Sarah, you should know how to use different motives to get the same result.""",,,,,
,S_abf5fe53,"S ""What are you?... Do you know something?""",,,,,
,Gside1_1ab76fe8,"Gside1 ""I know a lot of things.""",,,,,
,S_f6e14856,"S ""...""",,,,,
,S_ea1bef0e,"S ""All this destruction. Could anyone in the Swarm be interested in exterminating a pack?""",,,,,
,Gside1_421cac82,"Gside1 ""Everything is possible in this place, because chaos reigns here.""",,,,,
,G_cffe3ee8,"G ""We call this place the test zone. Mistress has very specific tastes and approaches.""",,,,,
,S_eab54251,"S ""How specific?""",,,,,
,G_72e60a07,"G ""As you can see, sometimes they reach destructive proportions. I wouldn't be surprised if she created a pack and that monster so that they would clash in a duel. Something akin to natural selection. The pack did not pass it.""",,,,,
,S_94e3532a,"S ""Cruel.""",,,,,
,G_d85dacca,"G ""This is our existence, we are constantly fighting for the right to live. Because the strongest survives. Swarm doesn't need the weak.""",,,,,
,S_4a8df892,"S ""Listen, why are you so slow then? Isn't that a weakness?""",,,,,
,G_2bb0ce70,"G ""S-slow?""",,,,,
,S_f944fb1b,"S ""I would have been there a long time ago if I knew where to go myself. Are we sure we will have time to at least arrive at our destination today?""",,,,,
,G_cebe2413,"G ""We'll make it, don't worry...""",,,,,
,L2side2_e880e07b,"L2side2 ""(Sarah's right, we're barely trudging along... even that snail has overtaken us...)""",,,,,
,G_b887236a,"G ""Gr... I repeat again. We don't need to be fast, we have completely different tasks.""",,,,,
,G_f7e982b0,"G ""...""",,,,,
,G_3debb6ce,"G ""And we aren't that slow, we are walking at a good pace.""",,,,,
,S_28284c8e,"S ""Good pacy? Even the elderly Terrans would have overtaken us by now! And they don't move their legs very fast, you know.""",,,,,
,G_fa2df12d,"G ""I'm not!""",,,,,
,S_b726a486,"S ""We need to talk to Abathur so that he lengthens your hind limbs... Maybe this will help.""",,,,,
,G_64eb9c12,"G ""We don't need anything... We're doing well enough as it is.""",,,,,
,S_d3c91dde,"S ""Won't that monster die of boredom there while we're walking?""",,,,,
,G_f7e982b0_1,"G ""...""",,,,,
,G_31105fa9,"G ""All this time it has been surviving perfectly.""",,,,,
,S_ff72f673,"S ""His endurance is titanic...""",,,,,
,G_b50d5d34,"G ""We have arrived.""",,,,,
,S_11e10f37,"S ""And you... Are you sure?""",,,,,
,narrator_5ae74997,"""Sarah began to look around, but saw absolutely nothing around. There wasn't even much life in general around.""",,,,,
,S_b63dce7c,"S ""I don't feel anything alive except us. And I don't see a Spire.""",,,,,
,S_93c3c1bb,"S ""Spi-i-ire, where are you?""",,,,,
,G_d4300272,"G ""You can't go any further. If we get close, they can spot us instantly. And then a fight can not be avoided.""",,,,,
,S_3d75512a,"S ""But then why don't I feel this monster?""",,,,,
,G_a7dd4c8a,"G ""He was very successful in disguising and concealing his consciousness. You have to be very careful with him.""",,,,,
,S_d0880c42,"S ""(What kind of monster is this, what else is he capable of?)""",,,,,
,S_b58b030a,"S ""(Hmm... interesting-interesting.)""",,,,,
,G_f344cb51,"G ""Next we'll have to split up. Now your task is to secure the bait and wait in ambush.""",,,,,
,L2side6_21ebc48e,"L2side6 ""Secure?""",,,,,
,G_8bdaa7cd,"G ""Yes, we have prepared a place where you would be secured, and a special suit.""",,,,,
,L2side6_a5377a3a,"L2side6 ""W-why secure me? And what suit?""",,,,,
,G_db64ae84,"G ""Oh... you can talk? Is this possible for a protoss?""",,,,,
,S_ab43c855,"S ""It's a long story. Get to the point!""",,,,,
,narrator_629a5fb3,"""With great reluctance, the guardian took his surprised gaze away from the protoss, restraining the flow of questions that interested him.""",,,,,
,G_8e8e62af,"G ""These creatures have much more developed instincts. They sense not only the victims nearby, but also their condition.""",,,,,
,G_da8db71d,"G ""We will have to really prepare the bait, so a real trap is needed. Full immersion, so to speak.""",,,,,
,G_9dad6964,"G ""He will feel what comes from the victim's body. If there are no real shackles on her, then the amount of fear will not be enough. He might suspect something...""",,,,,
,G_17c795a7,"G ""Cortisol levels greatly affect the body's response. The frightened victim will sweat profusely, tremble, which our enemy will easily notice. A frightened creature is the best prey, because fear slows down reaction times.""",,,,,
,G_d62fa0c4,"G ""But if something looks wrong... Or the protoss will not be scared enough, then our enemy may consider it a trap.""",,,,,
,G_3b0caee2,"G ""Hm... A creature in anger also releases cortisol, but in completely different ways. Then the monster's reaction will be different, and he may not bite.""",,,,,
,G_d2d68c40,"G ""It's not for nothing that he survived here and is considered such a dangerous beast.""",,,,,
,S_0cef2849,"S ""Hmm ... it turns out that the body and brain are not fooled... You can't do without real shackles.""",,,,,
,narrator_da46a724,"""Sarah looked at Lizzara, who was already starting to get a little nervous, but nodded in agreement, looking back.""",,,,,
,G_642b30ce,"G ""We will also use a pheromone so that he definitely does not decide to attack.""",,,,,
,S_3e4ebc82,"S ""P-pheromone? Where did you get it from???""",,,,,
,G_10a83bee,"G ""Heh-heh-heh, I've prepared it. And you thought I was some fool?""",,,,,
,L2side2_503acc42,"L2side2 ""Wouldn't he then 'attack' me in a different sense?""",,,,,
,G_bdf9aecb,"G ""Pheromones are used not only for seduction. Animals release a pheromone to prove their leadership, admit defeat, or lure another individual. And we have certain goals.""",,,,,
,S_9d2e31de,"S ""I would like to know at what point he begins to feel her presence.""",,,,,
,G_a046f90d,"G ""From our experience, we know that he attacks all living things that come into his field of vision. And he can stalk his victim for a long time, so you can't stay here.""",,,,,
,G_8c1e0c90,"G ""If he notices you, then... I don't even know what to advise. But remember: this place will not survive another extermination.""",,,,,
,S_85afc3e3,"S ""Yes, I remember... as if I have a desire to do something like that...""",,,,,
,S_a5cf8c14,"S ""We're professionals, yes we are! Focus on your task.""",,,,,
,G_51291961,"G ""Okay, then we will wait for your signal and immediately proceed to extraction.""",,,,,
,narrator_3510e2c4,"""Lizzara shyly covered her body, feeling awkward in her new suit. The rags of fabric covered almost nothing, making the protoss feel as awkward and uncomfortable as possible.""",,,,,
,L_15c26cff,"L ""(Yes... I feel like a victim for sure...)""",,,,,
,narrator_65d5904c,"""Sarah ignored her, dealing primarily with the shackles. She tried to cope with it faster, calming her nervous trembling.""",,,,,
,S_e2675605,"S ""This monster must be very terrible if it participated in the destruction of this place... There were obviously brutal things going on here, but... why?""",,,,,
