"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"","S_2fb32438","S ""I'm really tired, I need some sleep.""","","","","",""
"","narrator_a6aa0dcc","""Sarah's even more tired than usual since she didn't get enough food. She falls onto her bed and falls asleep.""","","","","",""
"","narrator_bf17f3d9","""Sarah spent all her energy and passed out.""","","","","",""
"","narrator_d56952af","""Sarah's very tired. She lies down and immediately falls asleep.""","","","","",""
"","narrator_43586160","""Sarah hadn't trained in two days, her abilities suffer because of that. She should do some physical training soon.""","","","","",""
"","narrator_87288f25","""You're not of high enough level, complete other scenes first.""","","","","",""
"","S_8cdc7285","S ""I don't think that's a good idea. I need to focus on my current training.""","","","","",""
"","S_688465af","S ""I can't do this right now, I should put the lingerie on first...""","","","","",""
"","S_15c7b011","S ""Great, so what I should do today?""","","","","",""
"","C_e39b7b24","C ""(Let me guess, you didn't believe your parents when they told you not to put your fingers inside the power socket, did you? Didn't you see the text telling you there's nothing to see here? Although it is quite interesting to see how Sarah will fit in here.)""","","","","",""
"","narrator_34a6e31a","""Sarah looks inside the hole, trying to see where it leads.""","","","","",""
"","narrator_a873a70f","""She learns nothing, since the hole is enveloped by darkness on the other side and she doesn't have any light sources.""","","","","",""
"","S_54055bdd","S ""...""","","","","",""
"","S_5f026e75","S ""I can't see anything!""","","","","",""
"","S_c30949f5","S ""Hm, where does it lead...""","","","","",""
"","S_5fef071b","S ""Only one way to learn that, climb inside it!""","","","","",""
"","S_b134784b","S ""(It might be a trap, but I have to try every way to escape this place presented to me!)""","","","","",""
"","S_61f9f507","S ""It's a bit small, but I have to at least try.""","","","","",""
"","narrator_ac06ddd6","""Sarah, after carefully examining the hole, stuck her hand into it to check that it was somewhat safe on the other side.""","","","","",""
"","narrator_14499473","""Next, she squeezed her head through it without much effort.""","","","","",""
"","narrator_b02f8925","""But when she tried to put her shoulders in, problems arose. The hole was still too small for her.""","","","","",""
"","S_e649960a","S ""Oh come on, I have to get through!""","","","","",""
"","narrator_a636acd7","""Sarah struggles for a while, but doesn't succeed in the slightest.""","","","","",""
"","S_4cc91c07","S ""Damn!""","","","","",""
"","C_dc7d76d3","C ""(...)""","","","","",""
"","C_b8ef41da","C ""(If you think you're that thin, you are very, very wrong.)""","","","","",""
"","S_36db74d7","S ""(He's right... It's definitely impossible for me to squeeze in there...)""","","","","",""
"","S_32359d37","S ""(I have to make it bigger!)""","","","","",""
"","S_3f048848","S ""I... I'm not yet ready...""","","","","",""
"","S_f9d01f6d","S ""N-no! I-I'm not ready to do this again...""","","","","",""
"","narrator_5d0f9292","""Sarah, remembering what happened last time, involuntarily swallowed the accumulated saliva in her mouth.""","","","","",""
"","S_3615a2fd","S ""I-I need some time to recover.""","","","","",""
"","narrator_0a86b855","""You're not of high enough level, complete other scenes first.""","","","","",""
"","S_cebb4cc0","S ""T-this underwear... it prevents me from moving normally... I won't be able to put any force in my moves when I'm in it.""","","","","",""
"","S_d59e07e8","S ""It's big enough for me to get through, I don't need to make it even bigger.""","","","","",""
"","S_816da96d","S ""I'm too tired to continue...""","","","","",""
"","narrator_404656fe","""Sarah stepped back to the opposite side of the room, took a running start, and hit the wall with her leg in mid-air, which looked quite spectacularly.""","","","","",""
"","narrator_f770887f","""*Hit*""","","","","",""
