location,source,target,ID,fuzzy,context,translator_comments,developer_comments
,S_47992d84,"S ""Please me, Soсhus. I came for your essence. And the sooner we get this over with, the better!""",,,,,
,SO_d7804ad2,"SO ""I'm glad you made up your mind! Getting the essence, even the first one, is a very important task, but...""",,,,,
,SO_3b977296,"SO ""It's not that simple, heh-heh-heh.""",,,,,
,S_83e0b115,"S ""Yes? And what do you want for your essence?""",,,,,
,SO_037c6a8d,"SO ""I am your loyal servant, and I am ready to share the essence with you at any moment, but you need to get it.""",,,,,
,S_9de21de5,"S ""Get it? Is this some kind of trick? Or are you serious?""",,,,,
,narrator_76f894ff,"""Sochus began to make characteristic sounds, pushing Sarah closer to the solution.""",,,,,
,S_23b935ee,"S ""Wait! No... Really... I should have known it would be necessary.""",,,,,
,S_8c154ba1,"S ""Glad you're finally being humored?""",,,,,
,SO_3faf12e4,"SO ""Hee-hee-hee... Of course!""",,,,,
,S_2e5107ae,"S ""(Who would doubt it.)""",,,,,
,S_527ce643,"S ""(But at least I don't have to do some nasty task to get this essence. There are pluses in having Sochus as a servant. Who knows what he would have come up with...)""",,,,,
,S_0c25618c,"S ""Okay, can we get started?""",,,,,
,SO_cd4df20d,"SO ""U-u-u--u-u-u-hu-hu-hu! I am always ready for this!""",,,,,
,S_bce2c621,"S ""Can you not make those sounds?""",,,,,
,SO_352d5e18,"SO ""Please forgive me, but this reflex is beyond my control.""",,,,,
,S_c9fc546a,"S ""Remind me to talk to Abathur about this...""",,,,,
,narrator_ce476b18,"""Sarah was ready to receive her first essence. Sochus, in turn, immediately began all the necessary preparations for this. As soon as everything was ready, they immediately started.""",,,,,
,SO_2a93f955,"SO ""Well, are you ready to touch my dicks and become stronger???""",,,,,
,S_be5ae176,"S ""I'm ready to get your essence and do nothing more!""",,,,,
,SO_4e9f8102,"SO ""He-ho-he, that's what I mean *weird laughter* great, great.""",,,,,
,SO_3b5b555b,"SO ""I hope you don't stop at the best part, this'll be so fun!!!""",,,,,
,SO_5330d535,"SO ""Great, do you understand what you need to do?""",,,,,
,S_4852228f,"S ""...""",,,,,
,S_9a9f34a2,"S ""It couldn't be clearer... what else could I expect from you?..""",,,,,
,SO_40c990d9,"SO ""I'm glad you like it! As soon as you collect your thoughts, just touch the penis.""",,,,,
,SO_97cad838,"SO ""U-u-u-u-u-u-hee-heh-hoo!! Ooh... Do it properly.""",,,,,
,S_5607ea6b,"S ""Shut up...""",,,,,
,S_636a29bb,"S ""Don't distract me so I don't change my mind and decide to get the essence from someone else.""",,,,,
,SO_f4559a03,"SO ""As you command...""",,,,,
,S_184f0e66,"S ""Finally.""",,,,,
,centered_3006a6b6,"centered ""To get the essence of the drone, Sarah must defeat it in the contest of 'Touchy-touchy the dicky-dicky!!!'. The rules are simple: there are 3 stages in total, at each of them Sarah needs to satisfy all the penises on the screen in the allotted time.""",,,,,
,S_548d9b46,"S ""Wait, what??? Why are there 3 rounds???""",,,,,
,SO_2a855461,"SO ""What do you mean? What's wrong? To get the essence you need to pass all 3 stages.""",,,,,
,S_d4f63f1c,"S ""Yes, but last time I finished the first stage...""",,,,,
,S_ee943cfb,"S ""Yes, but last time I finished the two first stages! I only have to do the last one!""",,,,,
,SO_f3e47f52,"SO ""No-no-no-no! That's not how this works!""",,,,,
,S_7697b1f7,"S ""How does it then?""",,,,,
,SO_715acb96,"SO ""DIdn't I tell you? This's a sacred ritual of extracting essence, of utmost sacredness, I tell you!""",,,,,
,S_75650e69,"S ""Seems like someone just wants their dick touched more.""",,,,,
,SO_53a47de3,"SO ""Hee-ho-he, that's only part of the truth. The essence really is hard to get.""",,,,,
,S_d6d4442d,"S ""Yeah, yeah, yadda on.""",,,,,
,SO_5b34d8ef,"SO ""It's true! They need a very good warmup, an excellent one! Only than may my essence flow forth and you may taste it!""",,,,,
,S_4852228f_1,"S ""...""",,,,,
,S_247bd481,"S ""{size=-4}You should've warned me about that. I might've gone all the way last time then.{/size}""",,,,,
,S_9c702798,"S ""Okay, let's do it! You aren't getting away this time!""",,,,,
,SRight_e14ec218,"SRight ""You asked for it!""",,,,,
,SO_174908cd,"SO ""I'm so excited!""",,,,,
,narrator_0de8d2de,"""As soon as you touch the penis, time will start.""",,,,,
,SRight_69fd1833,"SRight ""Is this the last one? Yes! Cum for me like for the last time in your life, Sochus.""",,,,,
,narrator_57b97dcd,"""Sarah began to move her hand much more actively, using all the accumulated strength.""",,,,,
,SRight_ac06ba0e,"SRight ""*Squelch* You wanted it so badly. So do it!""",,,,,
,SOLeft_e6a3694b,"SOLeft ""Hee-ha-hee! Nice! Very nice, I can't take it anymore!""",,,,,
,SOLeft_37ecdb0e,"SOLeft ""I'm ready to release everything!""",,,,,
,narrator_971cae1a,"""Sochus was becoming increasingly difficult to understand because of the unintelligible sounds he made.""",,,,,
,SRight_7e640a5a,"SRight ""Don't keep me waiting, Sochus. I want everything here and now.""",,,,,
,narrator_ba41e592,"""Sarah jerked off the drone with special zeal, breaking into a wild pace.""",,,,,
,SRight_dde08ede,"SRight ""(No one has ever left me unsatisfied, hee-hee.)""",,,,,
,SOLeft_757dd0aa,"SOLeft ""Ha... Ha.""",,,,,
,narrator_2849ab29,"""*Squish* *Squish* *Squish*""",,,,,
,narrator_5f749f73,"""Sarah could feel the growing tension in the penis, preparing to pour out its sperm.""",,,,,
,SRight_86f0a946,"SRight ""(I can already feel how much there will be...)""",,,,,
,SOLeft_bd46be36,"SOLeft ""Yes, heh-heh-heh! Receive...""",,,,,
,SRight_320b22cb,"SRight ""Three at once???""",,,,,
,SRight_c02abaaa,"SRight ""Aaaaaah!!!""",,,,,
,narrator_0f11dec0,"""Sarah was surprised that Sochus was able to cover her completely with the seed. It created an unusual sensation on her skin.""",,,,,
,SRight_b1337113,"SRight ""It's not the first time I've been covered in cum... But this is...""",,,,,
,SRight_5f9c5af5,"SRight ""You know how to surprise a girl.""",,,,,
,SOLeft_a9bfc2e0,"SOLeft ""Hee-ha-hee, mistress is happy, I surprised her! I told you that you need to touch my members!""",,,,,
,SRight_c859e23f,"SRight ""It was relatively easy ... Hmm, I only needed my hands.""",,,,,
,SOLeft_ff5a9ca9,"SOLeft ""But that's not all, hee-hee.""",,,,,
,SOLeft_8c412255,"SOLeft ""It was amazing, heh-heh-heh. We can continue as soon as you're ready. M-my members are always ready for your touch!""",,,,,
,SOLeft_a9781003,"SOLeft ""I'll never let you down on that, hee-hee-hee.""",,,,,
,SRight_94c0d152,"SRight ""Thank you for the offer, Sochus. I hope everything goes just as smoothly.""",,,,,
