location,source,target,ID,fuzzy,context,translator_comments,developer_comments
,SO_45bce8ac,"SO ""Mi-i-isstress... I didn't risk contacting you about this earlier, but now I simply have no choice!""",,,,,
,S_05635734,"S ""What is it?""",,,,,
,S_d5c9b7e2,"S ""(Sochus looks very worried.)""",,,,,
,S_963c48a5,"S ""(As much as a drone can do.)""",,,,,
,SO_361d43bc,"SO ""After the last Protoss attack, we lost a lot of drones. And now we are struggling to cope with the extraction of resources...""",,,,,
,S_d5cec92b,"S ""That sounds lousy.""",,,,,
,S_e7baf8e3,"S ""But you can create new drones.""",,,,,
,SO_ca053199,"SO ""That requires more minerals. And it will take some more time until we get the minerals for the drones. And in space they are not so easy to find...""",,,,,
,S_f99ed267,"S ""(Hmm... I don't think the Leviathan as a whole needs that many resources. Now it is in danger because of the wounds it received, which in turn slows down its recovery.)""",,,,,
,S_7131ed4b,"S ""(That raises all sorts of problems.)""",,,,,
,SO_f371e276,"SO ""There's no time for that...""",,,,,
,SO_43da929e,"SO ""Drones take a VERY long time to spawn...""",,,,,
,SO_7202d72b,"SO ""And then the larvae need to be nurtured...""",,,,,
,SO_6680c434,"SO ""Everything is much more complicated, mi-i-i-isstress!""",,,,,
,SO_05c74eec,"SO ""The Leviathan will go into hibernation to save strength. Without new minerals, he won't live as before.""",,,,,
,S_f68b35c7,"S ""And what does that mean?""",,,,,
,SO_700c4774,"SO ""The circulation of substances in the ship's life support system will be suspended. That's one of the main problems...""",,,,,
,C_1b4add07,"C ""(In short, at least the supply of 'food' from the tentacles will stop.)""",,,,,
,S_7dc830fb,"S ""That's too much already!""",,,,,
,narrator_68298c09,"""Sarah didn't even notice her vocie raise in volume several times, echoing what she said throughout the room.""",,,,,
,S_033a9a12,"S ""!!!""",,,,,
,C_8a848634,"C ""(Wow, what a reaction.)""",,,,,
,S_ca0fc90c,"S ""(Em... not that I care at all... But still!)""",,,,,
,narrator_a239b335,"""The girl managed to calm down and decide with a calm head what to do next in such a situation.""",,,,,
,S_0f08ee49,"S ""Okay, it is clear that the problem is serious, and there's no need to list all its other consequences.""",,,,,
,S_1267e74a,"S ""How can I help?""",,,,,
,SO_59b1b9bf,"SO ""We have...""",,,,,
,narrator_11262ca1,"""Sochus presented something similar to a blueprint.""",,,,,
,S_be866e03,"S ""A blueprint??? Seriously???""",,,,,
,SO_ded4cc11,"SO ""Well, yes, did you think that building stuff is easy???""",,,,,
,S_91fa8f3e,"S ""I am more than sure that this drawing is useless. How can it help you at all?""",,,,,
,SO_02cae705,"SO ""It is not! Everything worked out for us, thanks to it!""",,,,,
,S_fcdff7f2,"S ""Yes, yes, yes, thanks to it...""",,,,,
,S_cad2c501,"S ""And why is it so weird... I can't understand any of it.""",,,,,
,SO_56130432,"SO ""It is incomprehensible only to those who do not know what to do with it. I don't think we have time to learn Zerg structural theory.""",,,,,
,SO_aab26015,"SO ""It's a Cyclonic Neo Armstrong Jet Generating Collector.""",,,,,
,S_0556ed6d,"S ""...""",,,,,
,S_5801c526,"S ""Seriously? Damn... the name is even stranger than the device...""",,,,,
,SO_857b2629,"SO ""I know, Mistress, but it's a legacy...""",,,,,
,SO_b9eeaa21,"SO ""The Zerg who created it died a long time ago.""",,,,,
,SO_5bd2d57f,"SO ""And instead of sharing the essence and transferring knowledge to another Zerg, he left only this drawing.""",,,,,
,SO_e3348da8,"SO ""I would not be able to change anything on this device, not even the name.""",,,,,
,SO_f428079d,"SO ""The device is unique and one of a kind.""",,,,,
,SO_52e3d9c2,"SO ""With its help, it is possible to extract resources directly from space on a much more industrial scale than conventional drones do.""",,,,,
,SO_314fe097,"SO ""But we need a powerful psychic to take control of the huge systems of the ship... Just like you, mistress!""",,,,,
,S_9f1fe7bb,"S ""(I already have enough to do; I don't want to take over the collection of resources as well.)""",,,,,
,S_b0bc4d6c,"S ""Maybe let the other Mistress do it? After all, she is also on this ship.""",,,,,
,SO_893edd93,"SO ""That's right... but...""",,,,,
,S_ee10405b,"S ""But?""",,,,,
,SO_3a7485a4,"SO ""...""",,,,,
,SO_f01900d5,"SO ""My mistress is good... she touched my dick. My mistress is better than the Mistress!""",,,,,
,narrator_f58208ae,"""Sarah smiled awkwardly at his words.""",,,,,
,S_e0852e7d,"S ""(Idiot... does he even understand how it sounds?.. Jerk...)""",,,,,
,S_c4e82a8a,"S ""(Damn, why am I smiling? No, no, stop it now!)""",,,,,
,S_51929e20,"S ""(He probably doesn't even realize that he said something stupid... but his honesty and simplicity...)""",,,,,
,S_4f9af5b8,"S ""And who did this before me? Why build a resource collection mechanism that ordinary drones can't use?""",,,,,
,SO_0ff5bfba,"SO ""This way, we will be able to optimize our work by using new power sources.""",,,,,
,S_a8403f71,"S ""You're hiding something. I can feel it in my gut.""",,,,,
,SO_b6bf5e6c,"SO ""Formally, the logistics of Zerg is simple. We don't need food, so there won't be any problems with that. But resources are needed to maintain other ship functions.""",,,,,
,SO_630dcf78,"SO ""In other cases, we would have reduced the activity on the ship, fallen into hibernation mode, and drifted until full recovery.""",,,,,
,S_6cc61827,"S ""But we can't afford to waste so much time. Hmm, that makes sense.""",,,,,
,SO_ea178362,"SO ""That's right. As for the collection, the drones were enough previously. Now that the Leviathan is healing, we need many, many more resources.""",,,,,
,narrator_d48316e1,"""Sarah was deep in thought as Sochus's droning in the background continued.""",,,,,
,S_a587e35d,"S ""(If so, I have an idea.)""",,,,,
,S_09fa17c6,"S ""(I'll take a chance.)""",,,,,
,S_ed923bcd,"S ""(I will help with the extraction of resources and train my PSI abilities.)""",,,,,
,S_8adcb5b8,"S ""(I'll understand the Leviathan better. Maybe this will even help me with its management in the future.)""",,,,,
,S_602f208a,"S ""(Also, a few extra minerals never hurt anyone.)""",,,,,
,S_7c08e8da,"S ""(Though I really don't know what I'm going to do with them...)""",,,,,
,S_a851a8bb,"S ""(Normally, there would be a lot of people willing to buy resources, but now... old contacts are not available.)""",,,,,
,S_0556ed6d_1,"S ""...""",,,,,
,S_e0ada935,"S ""(Okay, now is not the time to ponder. There will always be someone who wants to buy minerals.)""",,,,,
,S_2b466519,"S ""Do I understand correctly that I can also use them for personal purposes?""",,,,,
,SO_fa6f55b7,"SO ""That's right. Anything that doesn't get used can be kept for yourself.""",,,,,
,S_53a01dbb,"S ""(Hmm, helping drones is much more profitable than it seems.)""",,,,,
