location,source,target,ID,fuzzy,context,translator_comments,developer_comments
,H_370589f8,"H ""Wow! Who do I see. Have you finally decided to make changes to your body?""",,,,,
,S_dbc809da,"S ""As you can see. You can't scare me like that. I don't even know... were you hoping that I would be a coward, or that I would decide to mutate?""",,,,,
,H_979f3fb3,"H ""My thoughts will remain with me.""",,,,,
,H_b17ad5ae,"H ""And how could I turn down such an opportunity and let you get cold feet? No one else on this whole ship would have done my little request the way you did.""",,,,,
,H_d69c3ccf,"H ""Come on, come on, show them to me!""",,,,,
,narrator_5afd32ee,"""The girl hesitated for a second, but then she overcame her weakness and unfastened the top of the armor. The armored bra instantly fell to the ground, making a ringing sound, freeing her chest.""",,,,,
,Hside1_6ce82feb,"Hside1 ""TITS!!! HEHEHE!""",,,,,
,S_49b29eb0,"S ""...""",,,,,
,Hside1_d49a52e7,"Hside1 ""Huge BAZONGAS! YES, YOU COULD KILL SOMEONE BY ACCIDENT WITH THESE!""",,,,,
,S_da94f4b0,"S ""S-shut up, they're not like that by my will...""",,,,,
,S_fefb1751,"S ""Do you know how much discomfort they give me? I can't get them back to normal yet...""",,,,,
,Hside1_1ca2a465,"Hside1 ""Heh-heh-heh, I only know how much joy they will give me now. Heh-heh-heh!""",,,,,
,S_79688d1b,"S ""(What a one track mind...)""",,,,,
,narrator_4333c8ee,"""The Hydralisk examined Sarah's breasts from different angles and distances, without stopping licking his lips.""",,,,,
,Hside1_cbf57f3b,"Hside1 ""Mmmm, I see, I see. Abathur did an excellent job. Everything is as I planned.""",,,,,
,S_8ec3f94d,"S ""Who would doubt that you wouldn't be able to restrain yourself and not have a hand in this. At least it's obvious why the mutation was so vulgar.""",,,,,
,Hside1_e8b24ca1,"Hside1 ""Come on, come closer, I want to get a good look at them.""",,,,,
,Hside1_7e5d5cda,"Hside1 ""Oooh yeah! HUGE TITS! I CAN FEEL MY ESSENCE BUBBLING INSIDE ME RIGHT NOW!""",,,,,
,S_6fc4313b,"S ""Yeah... essence...""",,,,,
,Hside1_72b585a2,"Hside1 ""Damn, shake them in my face.""",,,,,
,S_e6fcaa4b,"S ""Hell no! That's not what we're here for!""",,,,,
,Hside1_618da9bb,"Hside1 ""Ts... Okay, I agree.""",,,,,
,Hside1_207cfbe4,"Hside1 ""(Heh-heh-heh, the time will come and she will agree, her tits will slap against my face!... all in good time, it's even better, yes ah-ha-ha-ha!)""",,,,,
,Hside1_766f8c86,"Hside1 ""EHEHHHEHEHEHE!!!""",,,,,
,S_ba90aa9e,"S ""Are you all right? You just had such a lustful expression...""",,,,,
,Hside1_8318f0c8,"Hside1 ""Ahem, I was just really glad. I was lucky enough to snatch such a catch. I hope we have a good time.""",,,,,
,S_099309c4,"S ""Of course, of course. I'm definitely going to have a good time. When you obey me!""",,,,,
,S_02cb705f,"S ""You can be sure of that.""",,,,,
,Hside1_fd29604d,"Hside1 ""That's the spirit! And what a feisty one. Maybe I shouldn't trust you with my dick? Just a bite and I'll be left without my pride.""",,,,,
,S_6c379d7e,"S ""We'll see how much of a pride it is... But you have something else that's truly wonderful... That is a real treasure!""",,,,,
,Hside1_b30eef95,"Hside1 ""I've never seen anyone's eyes shine so much when talking about essence.""",,,,,
,S_50261f4e,"S ""I can't talk about it any other way...""",,,,,
,S_dcddcf42,"S ""Ahem, enough talking anyway! Let's get down to business.""",,,,,
,intro_f668e793,"intro """"",,,,,
,narrator_a93f6cd2,"""Sarah could feel the hydralisk's gaze studying her. He was devouring her with his eyes.""",,,,,
,S_cd86eba4,"S ""Still can't get enough of it? My skin on my chest is starting to burn from your gaze!""",,,,,
,H_aba85136,"H ""How can I not look at them? THEY'RE BOOBS! I've been thinking about them all this time...""",,,,,
,S_83e0c544,"S ""Stop staring like that! You used to be a more pleasant interlocutor than you are now.""",,,,,
,S_763ee36b,"S ""Especially since right now my main goal is essence, not you!""",,,,,
,H_954ef8f5,"H ""That's right, heh-heh-heh, but that doesn't stop me from enjoying the work I've done! Who else would do such a thing: force the future leader to enlarge her boobs? They have become so depraved and so hot, just like I love.""",,,,,
,H_2f1acc0e,"H ""At such moments, I envy you Terrans. You have hands with which you can fondle them. Gr...""",,,,,
,H_4d80afd0,"H ""As you may have already understood, my body is not designed for this kind of pleasure. Then...""",,,,,
,S_e8a7d551,"S ""Wait, aren't you going to tell me some overly long and boring story about your love of boobs right now?""",,,,,
,H_2c9bb936,"H ""Ahem... of course not.""",,,,,
,H_7aec468b,"H ""Anyways, I had a lot of time and I found something that can help us with this!""",,,,,
,S_2b2ef3c9,"S ""Well?""",,,,,
,H_8129538d,"H ""Ha-ha-ha, so impatient. But okay... """,,,,,
,narrator_72a57c31,"""The Hydralisk sprawled even more impressively in front of Sarah, looking as pleased as possible.""",,,,,
,H_b2bebab4,"H ""You can't get my essence the usual way.""",,,,,
,S_2377c9ce,"S ""Huh?""",,,,,
,H_40549351,"H ""Of course, I didn't want to tell you about it right away. But you've done a lot to prove your interest. So I'll meet you halfway.""",,,,,
,H_aeb7f2a0,"H ""It's not enough just to masturbate me with amazing tits. My essence is restrained by a protective mechanism that does not allow it to come out during a normal ejaculation.""",,,,,
,S_95b91384,"S ""You prankster, you really planned to hide it from me...""",,,,,
,H_cf6e0c5a,"H ""Heh, heh, heh, actually that would be fine. But when I saw your TITS, I... decided to comply.""",,,,,
,H_5a837a9a,"H ""I can't lie to such lovely TITS!""",,,,,
,S_f5887cc5,"S ""Damn... you're at it again...""",,,,,
,S_01d9c40c,"S ""And then what should I do? Maybe it's easier to kill you than to please you?""",,,,,
,S_f6505af8,"S ""Hm... an idea!""",,,,,
,H_cb458298,"H ""Kill? Why kill right away? So bloodthirsty you are... Although, if we are talking about strangulation...""",,,,,
,S_6abffe48,"S ""SHUT UP! There will be no talk of strangulation via tits...""",,,,,
,H_b1aab240,"H ""Tsk...""",,,,,
,H_140ac2ec,"H ""Okay, actually, it's not as complicated as you might think. This protective mechanism is necessary so that the essence does not accidentally come out. As I...""",,,,,
,S_f1c5c135,"S ""Yes, yes, yes, you love tits, I get it!""",,,,,
,H_a8096d9e,"H ""Not just tits, but HUGE TITS!""",,,,,
,S_62a17ce3,"S ""...""",,,,,
,H_3707cf7c,"H ""This means that your task is to keep me excited for a certain amount of time. Do you know what I'm talking about? Jerk me off so that I don't cum prematurely. When the essence is ready, I'll let you know and take good care of the rest, heh-heh-heh!""",,,,,
,S_890f4059,"S ""What happens if I fail? Are there any restrictions?""",,,,,
,H_e47a598a,"H ""Oooh, don't worry, with your tits we have no restrictions. One look at them will be enough for my seed to be ready!""",,,,,
,S_6da29e77,"S ""You're incorrigible...""",,,,,
,S_729d396e,"S ""Okay, well, at least you warned me about it... But that doesn't mean anything, get rid of your lustful thoughts, I've come for the essence!""",,,,,
,H_5ce8f725,"H ""Heh-heh-heh, now I'll teach you how to work it.""",,,,,
,S_24761eec,"S ""Don't underestimate me! I've coped with worse!""",,,,,
,H_f1f88fea,"H ""Hush, hush, I believe you. Don't get angry, because I want to help.""",,,,,
,H_b1ae43f2,"H ""I just want this to go as smoothly as possible. So I think my help will be appreciated.""",,,,,
,H_4dddcf7a,"H ""With a big dick, you need real heat, but a little, just a little. Damn, if I had hands, I'd show you how to do it with your pretty TITS myself.""",,,,,
,S_958bedda,"S ""Okay, okay, shut up and just tell me if you're feeling good.""",,,,,
,H_183aa07a,"H ""Oh, I can do that!""",,,,,
,S_5a5d2512,"S ""(I think I overdid it a little... It's worth remembering everything I've learned during this time.)""",,,,,
,S_0036b6d3,"S ""(If I squeeze his penis with my chest, some of his excitement goes away...)""",,,,,
,S_0a7ec0b7,"S ""(But I mustn't overdo it... Now my breasts are a little bigger than before. If I squeeze too hard...)""",,,,,
,S_ea4e4100,"S ""!!!""",,,,,
,narrator_56c53485,"""Sploosh...""",,,,,
,narrator_55432032,"""Sarah tried her best to stop the hydralisk's growing excitement, but in the end it only made him cum.""",,,,,
,S_148d2f93,"S ""My breasts! I forgot they were so sensitive!""",,,,,
,narrator_e14ccf2b,"""The girl felt a strong wave of pleasure and warm sperm wash over her, both covering her figuratively and literally.""",,,,,
,H_904caeb9,"H ""Heh-heh-heh, suck it up and let's have some fun. Your attempts lead to the same result anyway.""",,,,,
,S_8d2df1d9,"S ""As if! I'm here on a mission...""",,,,,
,narrator_56c53485_1,"""Sploosh...""",,,,,
,H_b4c9e6b8,"H ""YES!!! I was so hoping you couldn't handle it!""",,,,,
,S_48f61a96,"S ""Keep it down, will you!""",,,,,
,H_367e178b,"H ""How can I not be happy? Even more time alone with these beautiful tits. I won't mind at all if we spend the whole day like this.""",,,,,
,S_d16f383a,"S ""But I will mind...""",,,,,
,H_0b524828,"H ""In any case, you need to start all over again. Essence does not forgive such mistakes, but I do.""",,,,,
,H_49d2039d,"H ""Ha! And you keep spoiling me, mmm.""",,,,,
,S_d0fcb777,"S ""N-no! Not again!""",,,,,
,narrator_56c53485_2,"""Sploosh...""",,,,,
,narrator_952560ce,"""The hydralisk looked very pleased, watching as a new portion of sperm got onto Sarah's tits.""",,,,,
,H_5a6b4c5b,"H ""I can't think of a better view! I'm ready to cum a couple more times. Seize the moment, Sarah. Maybe you'll get some essence from one of those times.""",,,,,
,S_3e702d0a,"S ""I hope there will be at least one clean spot left on me then...""",,,,,
,narrator_7d35e52e,"""Sarah looked at the excited member in front of her, less and less believing in what she said earlier.""",,,,,
,H_8313251e,"H ""I wouldn't hope for that if I were you, heh-heh-heh. These tits make me capable of so much...""",,,,,
,narrator_56c53485_3,"""Sploosh...""",,,,,
,H_b9697d72,"H ""Hehe, all over again. It seems like you did it on purpose.""",,,,,
,S_c83899c1,"S ""As if! Just bad luck...""",,,,,
,H_8f0f7d81,"H ""Just look at your tits! They have become even bigger... Yes, you definitely want to be drenched from head to toe.""",,,,,
,S_e067e54a,"S ""N-no! What makes you think that...""",,,,,
,H_25fe96f8,"H ""Just look at that! You're already shaking all over with anticipation! Now I know for sure I asked the right person for this favor, heh-heh-heh.""",,,,,
,S_9f538aa0,"S ""I'm not shaking at all...""",,,,,
,narrator_56c53485_4,"""Sploosh...""",,,,,
,H_4df49573,"H ""Yes! How do you like my sperm? Getting into the taste?""",,,,,
,S_4cb9703c,"S ""Your sperm is not that bad...""",,,,,
,H_8a992fc5,"H ""Not that bad? I expected a more expressive reaction.""",,,,,
,S_eaa32a64,"S ""If you give me your essence, then you'll see my reaction in all its glory, hee-hee.""",,,,,
,H_13179665,"H ""Then take it. You're stalling yourself. Don't you want to admit that you like this?""",,,,,
,S_fe7cc92d,"S ""Maybe I do. But I will definitely like the essence more, so let's get down to business.""",,,,,
,H_69fdca4c,"H ""My dick is always ready to meet your tits, heh-heh-heh.""",,,,,
,narrator_56c53485_5,"""Sploosh...""",,,,,
,H_df764d4d,"H ""I would spend eternity with these tits!""",,,,,
,S_64b21a3b,"S ""Who would've doubt it...""",,,,,
