"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"","S_rEFFohHh","","","False","","",""
"","M_nzDmkeLp","","","False","","",""
"","M_MpCpgyPn","","","False","","",""
"","M_CQT9jLSs","","","False","","",""
"","M_JnLb8gU2","","","False","","",""
"","S_HjGToECy","","","False","","",""
"","M_giP6kpSd","","","False","","",""
"","M_XKsfQq4i","","","False","","",""
"","S_ZJBDzePz","","","False","","",""
"","S_dXbCqFwA","","","False","","",""
"","M_CisNZR5P","","","False","","",""
"","S_fw2hZLzP","","","False","","",""
"","M_fsVom8qE","","","False","","",""
"","M_tqTZ8DXW","","","False","","",""
"","M_mmYKpiLa","","","False","","",""
"","S_Uc9GBkR4","","","False","","",""
"","M_G7btskjF","","","False","","",""
"","M_aTVfHiyo","","","False","","",""
"","S_fEsLsEt5","","","False","","",""
"","M_3uwYt7DY","","","False","","",""
"","M_SpMnDktj","","","False","","",""
"","M_E2C7pfoR","","","False","","",""
"","S_7Pwm2mE7","","","False","","",""
"","M_TkjYoWTe","","","False","","",""
"","S_CjKBnSwC","","","False","","",""
"","narrator_RustJyTZ","","","False","","",""
"","M_b36LYYWk","","","False","","",""
"","M_bgYGuBQp","","","False","","",""
"","M_JFd7HDkx","","","False","","",""
"","M_ixppwTwn","","","False","","",""
"","M_M5eCL7Qx","","","False","","",""
"","S_jdvhhLGr","","","False","","",""
"","S_4kLLTnxL","","","False","","",""
"","M_UUEqY7Hj","","","False","","",""
"","S_XoX6zSsW","","","False","","",""
"","S_SQTZ6nYH","","","False","","",""
"","S_P3zZFFvG","","","False","","",""
"","M_dkTFyuDA","","","False","","",""
"","S_HoYxCVWi","","","False","","",""
"","M_mEtWcP8t","","","False","","",""
"","M_ZYXSNdm7","","","False","","",""
"","narrator_HvEdEY2x","","","False","","",""
"","S_92jH7kW9","","","False","","",""
"","S_TsZampQJ","","","False","","",""
"","S_nYcoSDqv","","","False","","",""
"","M_hmQcjQ2y","","","False","","",""
"","M_tH76zWhX","","","False","","",""
"","S_93Fkcf3X","","","False","","",""
"","S_bRRgquad","","","False","","",""
"","S_C4r9xBZk","","","False","","",""
"","M_cpbDfPRP","","","False","","",""
"","M_TL3gKE8X","","","False","","",""
"","S_o2g87DLD","","","False","","",""
"","M_m77phnm2","","","False","","",""
"","M_7EqLBbLL","","","False","","",""
"","M_eQZZSFyh","","","False","","",""
"","M_HzLnbWrt","","","False","","",""
"","M_RjxWdZ83","","","False","","",""
"","M_QFbV82nP","","","False","","",""
"","S_mCFxRQHx","","","False","","",""
"","M_KLUXsmd8","","","False","","",""
"","S_93HqwaUf","","","False","","",""
"","M_eccCMhVf","","","False","","",""
"","M_aJgGcGuv","","","False","","",""
"","S_bBHD7YNQ","","","False","","",""
"","M_6CcAtdjD","","","False","","",""
"","M_FFeJ9NcR","","","False","","",""
"","narrator_3tdoi6dy","","","False","","",""
"","M_ea7MYBrB","","","False","","",""
"","M_4tJF6jgj","","","False","","",""
"","narrator_S5bjmTHW","","","False","","",""
"","M_6ETucWZn","","","False","","",""
"","narrator_6RrvvXFz","","","False","","",""
"","M_fJ4amHRG","","","False","","",""
"","S_GJ7m3wmK","","","False","","",""
"","M_KjN3U85u","","","False","","",""
"","M_KYKAv8P2","","","False","","",""
"","M_c4ddedm8","","","False","","",""
"","M_iAsw926G","","","False","","",""
"","M_Qdnm55Ps","","","False","","",""
"","M_q2aekn2p","","","False","","",""
"","narrator_rFFd7DPQ","","","False","","",""
"","S_7XJUVBxF","","","False","","",""
"","narrator_nFe5mpYD","","","False","","",""
"","S_VyXCzS7Y","","","False","","",""
"","M_7noEwaBW","","","False","","",""
"","S_UBPqGBVX","","","False","","",""
"","S_SNuNqdCA","","","False","","",""
"","narrator_kAwrWvD7","","","False","","",""
"","S_XoWLSpWe","","","False","","",""
"","M_o3atGoo9","","","False","","",""
"","M_Pij4pAEd","","","False","","",""
"","narrator_rSf8Wf5Q","","","False","","",""
"","S_XhfUh6dx","","","False","","",""
"","M_gLVL6Vi2","","","False","","",""
"","M_nz4wUfLG","","","False","","",""
"","S_pCjYnNKK","","","False","","",""
"","M_pgomi9Xe","","","False","","",""
"","M_jfbj2MvJ","","","False","","",""
"","M_EXqiej3E","","","False","","",""
"","M_ZrN3Lk8z","","","False","","",""
"","S_oUkTM2oa","","","False","","",""
"","M_TyHtka5x","","","False","","",""
"","narrator_cQSQLUTk","","","False","","",""
"","M_ED3MP8DW","","","False","","",""
"","L_iLZMmhAR","","","False","","",""
"","L_mBi2HCJH","","","False","","",""
"","L_WYyzVYd6","","","False","","",""
"","L_pp8ssd5f","","","False","","",""
"","narrator_B4Cqz6AE","","","False","","",""
"","S_r3NPkPcZ","","","False","","",""
"","S_UBfcgxMM","","","False","","",""
"","S_DZM8JyDG","","","False","","",""
"","narrator_6z9wWibu","","","False","","",""
"","S_PTjroBDY","","","False","","",""
"","S_t4nHxudx","","","False","","",""
"","L_Es343fMt","","","False","","",""
"","S_XkRTsZB8","","","False","","",""
"","M_NuJNRNdJ","","","False","","",""
"","M_byXWZAAP","","","False","","",""
"","M_X5RPXB4W","","","False","","",""
"","M_oQ26ZJ73","","","False","","",""
"","M_Pdb9Cb62","","","False","","",""
"","M_awh9DEJP","","","False","","",""
"","S_K9M7oN67","","","False","","",""
"","M_KiTjCxYF","","","False","","",""
"","narrator_fxwvEWwy","","","False","","",""
"","M_VLBdfyiV","","","False","","",""
"","M_etiTJKPW","","","False","","",""
"","S_f9ugJfM9","","","False","","",""
"","M_Zzu2T9Dm","","","False","","",""
"","M_A8a5YpDg","","","False","","",""
"","M_W2F6K6dJ","","","False","","",""
"","S_4KtNqLrF","","","False","","",""
"","S_4YmX3tz5","","","False","","",""
"","S_tgaUzjYZ","","","False","","",""
"","narrator_V3hGzCZS","","","False","","",""
"","L_k62ctNVf","","","False","","",""
"","S_7inbzCtw","","","False","","",""
"","S_KMNh35vk","","","False","","",""
"","L_5LnEVKbH","","","False","","",""
"","L_YEDWZgmV","","","False","","",""
"","L_gUhXE3sw","","","False","","",""
"","M_EHg7qpXm","","","False","","",""
"","M_9TwXJxQT","","","False","","",""
"","S_MWcKZzGQ","","","False","","",""
"","M_9SwCs5oJ","","","False","","",""
"","M_bLeTDAyu","","","False","","",""
"","M_ebQbvJA4","","","False","","",""
"","L_dkXfvX93","","","False","","",""
"","S_6guNuYbT","","","False","","",""
"","L_qKSKzP6d","","","False","","",""
"","S_aG5rRLYX","","","False","","",""
"","narrator_iAgHYmz6","","","False","","",""
"","S_inzaTFqE","","","False","","",""
"","L_RaFak2pq","","","False","","",""
"","S_CJAub4Bg","","","False","","",""
"","L_YFBy8dzm","","","False","","",""
"","S_WGj5cnEm","","","False","","",""
"","S_fi3EThza","","","False","","",""
"","L_Z67UGEFu","","","False","","",""
"","S_5vEd6jF2","","","False","","",""
"","S_EN2SwVUk","","","False","","",""
"","S_8yiRV8mg","","","False","","",""
"","M_VWTJL5u9","","","False","","",""
"","M_WBw66CmD","","","False","","",""
"","L_WjuJ6AqD","","","False","","",""
"","S_Dn8sC45B","","","False","","",""
"","narrator_pbm9u69j","","","False","","",""
"","S_PNCgiskF","","","False","","",""
