location,source,target,ID,fuzzy,context,translator_comments,developer_comments
,narrator_01b00d05,"""You've already seen this scene, would you like to skip it?""",,,,,
,S_755ce7f4,"S ""Well... it seems I finished everything!""",,,,,
,S_13d88686,"S ""What does Stukov have in store for me next?""",,,,,
,C_5e2f64d1,"C ""(How much desire comes off you! Stukov's training's definitely bearing fruit.)""",,,,,
,S_b5480a5e,"S ""!!!""",,,,,
,S_ff4c677b,"S ""That's... good?""",,,,,
,C_1b38dfe8,"C ""(Of course! Everything is great, don't you think?)""",,,,,
,S_9626404b,"S ""It's still a little strange...""",,,,,
,C_41eb4cf9,"C ""(Don't you remember what this all is for? It's all to get you to loosen up.)""",,,,,
,S_ee9ff614,"S ""So I'm on the right track!""",,,,,
,C_23725e7d,"C ""(This is the exact attitude with which you have to call for Stukov.)""",,,,,
,A_ffaca33b,"A ""Well, I wanted to come see you anyway, but you've missed me more, it seems.""",,,,,
,S_fabd8838,"S ""We have to move on.""",,,,,
,S_8d113a6d,"S ""Regular practice gives results!""",,,,,
,S_d8bc8873,"S ""{size=14}... as Sai'mon said.{/size}""",,,,,
,A_d509b5d6,"A ""And he's right!""",,,,,
,C_f5617dc6,"C ""(See?)""",,,,,
,S_898aaeff,"S ""(Yes, yes... It would be surprising if Stukov didn't agree with you. Perverts always think the same!)""",,,,,
,S_8caf695e,"S ""But... I wonder what you come up with next?""",,,,,
,A_457e0bdb,"A ""Oh, great that you asked! I wasn't sitting idly all this time.""",,,,,
,S_e8d1fc9e,"S ""Who would doubt... Stukov wouldn't be Stukov if you kept your hands to yourself.""",,,,,
,A_2f295c81,"A ""I meant something else, but I like what you're thinking about, hehe.""",,,,,
,S_b5480a5e_1,"S ""!!!""",,,,,
,S_4bdbeee8,"S ""(He just made me look like a pervert?!)""",,,,,
,S_20cb2049,"S ""(Not that he was wrong... Why am I even thinking about this?! The only important thing right now is the test!)""",,,,,
,S_7aa2cf2a,"S ""So, would you like to share what you've prepared?""",,,,,
,A_59dcaf83,"A ""Haha, I've prepared something special for such a diligent student!""",,,,,
,S_2139aa6f,"S ""So?...""",,,,,
,S_07c7c3ce,"S ""(Damn, I really am interested! It's Stukov, who knows what goes on in that head of his.)""",,,,,
,A_66527fb1,"A ""You got so excited at the mere thought, heh?""",,,,,
,S_128fd4e3,"S ""Stop wasting time!""",,,,,
,A_91ac5fd6,"A ""Hah, you did very well with all the training. Your diligence and fervor would be the envy of any elite courtesan.""",,,,,
,A_bdb3719b,"A ""But we still should check how well you remembered all my lessons.""",,,,,
,S_a4ee5194,"S ""Ha ha... Test? What have your twisted mind come up with this time?""",,,,,
,A_ca7b9618,"A ""This way of checking is never wrong, it's maximum possible error is approximately 0.01%%.""",,,,,
,A_d17e7e71,"A ""It was used by our ancestors. A long time ago, when the world was young and naive.""",,,,,
,S_09f271cd,"S ""(Is he about to get carried away again?.)""",,,,,
,A_7bbdc20b,"A ""When the sun shone brighter and the moon was covered with darkness, when people didn't know the mysteries of the universe, when...""",,,,,
,S_9ba2d372,"S ""(Well, that's... ugh...)""",,,,,
,S_671ae3e6,"S ""Ahem.""",,,,,
,A_5ebbb3b4,"A ""...""",,,,,
,A_28b699bb,"A ""It's very rude to interrupt like that...""",,,,,
,S_12d6ffe7,"S ""Enough, that's not why we're here! Let's start your 'legendary' test.""",,,,,
,A_5ebbb3b4_1,"A ""...""",,,,,
,A_a5c9758f,"A ""Choose a hand.""",,,,,
,S_dba8d52b,"S ""...""",,,,,
,S_5a37a98e,"S ""You gotta be kidding me!""",,,,,
,S_8f998f80,"S ""So that's the way of when sun shone brighter? I thought it would be something original...""",,,,,
,S_06a234be,"S ""What's next, rock-paper-scissors?""",,,,,
,A_1928591c,"A ""Hmm, I considered rock-paper-scissors, but that would take too much time.""",,,,,
