location,source,target,ID,fuzzy,context,translator_comments,developer_comments
,S_6d409d59,"S ""Sai'mon, I made the decision. I want you to teach me.""",,,,,
,C_cb67bfa9,"C ""(I'm surprised at your choice.)""",,,,,
,S_43b0c2c5,"S ""Why is that?""",,,,,
,C_06a95de9,"C ""Well, your race is always lured by the path of least resistance. Most terran would have chosen the easy option.""",,,,,
,S_6237c055,"S ""I've chosen the easy way before. And it lead me to nothing.""",,,,,
,C_2d94fd89,"C ""(I got you. So then, I think we can start right now.)""",,,,,
,S_b7ea4226,"S ""Well, let's start. What do I need to do?""",,,,,
,C_7c658f78,"C ""(The first stage will be fairly simple for you and will mostly consist of collecting information. )""",,,,,
,C_450cde06,"C ""(Now, try again to communicate with the Swarm.)""",,,,,
,S_65fe8ded,"S ""Okay, I'm ready. I hope this won't be a repeat of last time...""",,,,,
,C_6a4f113a,"C ""(You don't have to worry about it. This time will be completely different, just do it.)""",,,,,
,C_31e364e5,"C ""(You've done it before. But now imagine that you want to find a certain creature.)""",,,,,
,S_297dbe80,"S ""Easy for you to say... but I'll try.""",,,,,
,C_b1950e5c,"C ""(We're lucky that you know how to handle psionics. If I had to teach you that, I would go insane for certain...)""",,,,,
,S_842305d7,"S ""(Hmm, I wonder how you would do it.)""",,,,,
,C_33ae2e3d,"C ""(We have priorities, we will talk about this another time.)""",,,,,
,S_e28e4bb0,"S ""Uh-huh!""",,,,,
,C_2bce80e2,"C ""(Excellent. Now choose who you want to contact. For now you are limited to only the creatures you've previously met. But over time this list will increase.)""",,,,,
,S_a2d84fda,"S ""(Three days have passed. Sai'mon, this was... an {i}interesting{/i} experience.)""",,,,,
,C_91032714,"C ""(Do your psi-abilities feel improved to you?)""",,,,,
,S_e027bab7,"S ""(Not even slightly! I hope this all was not in vain and you know what you're doing, right?)""",,,,,
,C_631a967d,"C ""(Of course, of course. Before being implanted into your head, I wrote a book titled 'How to learn to control a swarm of Zerg in twenty-one days'!)""",,,,,
,S_382188bb,"S ""(Haha, enough of that. I'm not questioning your methods! {size=-5}Just slightly doubting them.{/size} You've had time to think about our next step?)""",,,,,
,C_9c217513,"C ""(Obviously! I'm, you know, not wasting time in here.)""",,,,,
,C_2cb51ab2,"C ""(Watching your attempts to take control of your new power, I came to a conclusion. Perhaps the problem is that you can't ignore all extraneous stimuli and focus only on your mental command.)""",,,,,
,C_a7cc3745,"C ""(Every second millions of your nerve endings send signals to your brain. And although the terran's consciousness simple ignore them most of the time, all that information is still being processed by your brain, consuming the vital resources of your mind.)""",,,,,
,S_f74a49f6,"S ""(So what do you suggest? You're not going to paralyze me or something like that, are you?)""",,,,,
,C_aa32d2ec,"C ""(No, I am not. Since it would not achieve the desired result.)""",,,,,
,C_47caf2c8,"C ""(However, it occurred to me that perhaps we could try to utilise all of those tactile receptors to help with our task!)""",,,,,
,C_7c04b044,"C ""(For example, by the simultaneous stimulation of each of them to help you to enter the desired state.)""",,,,,
,S_50a27d70,"S ""(I don't really understand what you're getting at. Sai'mon, are you planning on covering me up in vibrators like some horribly disfigured Christmas tree?)""",,,,,
,C_6fb5d51e,"C ""(You know... That actually might not be a bad idea!)""",,,,,
,C_5f34e759,"C ""(You could stand in the middle of our Leviathan, right on the bridge, all covered in ribbons and stuff!)""",,,,,
,S_1b705a96,"S ""...""",,,,,
,S_0ae904bb,"S ""(Sai'mon, your attempts to adapt to terran psychology have gone too far, you've taken over our idiocy...)""",,,,,
,C_1da454d7,"C ""(Okay, back to the topic.)""",,,,,
,C_f125d38c,"C ""(No, I have prepared something more effective for you. But there are also some unpleasant news for you.)""",,,,,
,S_7d9cae1a,"S ""Yes, we don't have time to waste.""",,,,,
,C_0ff8d992,"C ""(Great, but I've got some less pleasant news for you too.)""",,,,,
,S_400baa78,"S ""No, I need time.""",,,,,
,C_9ac40c63,"C ""(Alright, you know where to find me.)""",,,,,
,S_de2d9748,"S ""What's the news?""",,,,,
,S_b4ad79e2,"S ""So, what news did you want to tell me?""",,,,,
,C_ff47be77,"C ""(I'll tell you after you agree.)""",,,,,
,S_34df62c4,"S ""(What kind of nonsense is that, Sai'mon? Didn't you think I'd like to know everything about something before agreeing to it?)""",,,,,
,C_981939d2,"C ""(No.)""",,,,,
,S_1b705a96_1,"S ""...""",,,,,
,C_8991b22f,"C ""(...)""",,,,,
,S_54c9ebfb,"S ""(Sai'mon? Can you explain?)""",,,,,
,C_57876dbe,"C ""(Well, it's too late to rush about now. And you did do a very good job.)""",,,,,
,S_63eb67f8,"S ""Sai'mon, I no longer like where this conversation is heading.""",,,,,
,C_349599a1,"C ""(Well... Remember that talk we had about Abathur's gross methods?)""",,,,,
,S_f93f4c91,"S ""Yes, I remember. That is one of the reasons why I did not choose his path.""",,,,,
,C_05825921,"C ""(So... here's the thing... this came out a bit gross. But the good news is that it is a working method.)""",,,,,
,S_1b705a96_2,"S ""...""",,,,,
,S_dddd2993,"S ""{size=-3}Alright.{/size}""",,,,,
,C_d4527756,"C ""(You agree?)""",,,,,
,S_37e75eb6,"S ""Did you think I'd stop halfway? I decided that I will pass all your trainings and whatever and become stronger. So, what have you prepared?""",,,,,
,C_e5001966,"C ""(Okay, but you better see for yourself. Just turn around.)""",,,,,
,narrator_d588c5f2,"""The girl spun around, but saw nothing but the wall behind her.""",,,,,
,narrator_7685acd6,"""After a moment, the living matter forming the wall of her room began to move. And the morphing, seemingly melting, surface grooves appeared, deepening, gradually taking the form of a human body.""",,,,,
,narrator_66ec5516,"""As soon as the wall opened, the tentacles inside it started moving and making weird slurping sounds as if they were waiting for something.""",,,,,
,S_ec2426e2,"S ""!!!""",,,,,
,narrator_4384e867,"""Under Sarah's perplexed gaze the cavity finished forming, leaving no doubt in the fact that it was exactly suited to Sarah's body.""",,,,,
,C_6273fbe8,"C ""(That's our way to gain power.)""",,,,,
,S_18731fc3,"S ""(Sai'mon, W-what is that? Am I correct in assuming I'm supposed to get in there?)""",,,,,
,C_61700e23,"C ""(Yes! And, as you probably realise, your armor won't be needed...)""",,,,,
,S_1b705a96_3,"S ""...""",,,,,
,S_9a21b0ed,"S ""Well, of course... need to get the wall to rape my body...""",,,,,
,C_b027f044,"C ""(You catch on fast.)""",,,,,
,S_f4aa07d8,"S ""(The interior of this... this 'bed' is lined with something... straight out of a biology textbook. Like the stuff inside of intestines!)""",,,,,
,S_92a31744,"S ""Okay, Sai'mon, can we start before I change my mind?""",,,,,
,C_4a095cb3,"C ""(Of course. When you're ready - just get in there.)""",,,,,
,narrator_ddac9f27,"""Sarah slipped off her things and slowly walked to the wall. She didn't know what she should prepare for.""",,,,,
