"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"","S_r6otia5b","S ""Snikers, cola""","","False","","",""
"","narrator_QZuQzApe","","","False","","",""
"","narrator_e6Hc9omH","","","False","","",""
"","S_kG4SHpFZ","","","False","","",""
"","narrator_5eRCjgFi","","","False","","",""
"","S_aM6bvsUK","","","False","","",""
"","narrator_5xs4gkZW","","","False","","",""
"","S_ArXEZwys","","","False","","",""
"","narrator_k6vhH9b3","","","False","","",""
"","S_i53QagwJ","","","False","","",""
"","Ze_42E4PZ5R","","","False","","",""
"","narrator_RmrNzqq6","","","False","","",""
"","S_YphDP5de","","","False","","",""
"","Ze_3xJVJyo6","","","False","","",""
"","S_c5FxHiaD","","","False","","",""
"","narrator_QcGJa6s5","","","False","","",""
"","S_FkJUtpvr","","","False","","",""
"","S_HfftAreR","","","False","","",""
"","S_ZTV8vUuo","","","False","","",""
"","S_WirvsrCR","","","False","","",""
"","S_4Cb6CtGc","","","False","","",""
"","narrator_C3h6q4hb","","","False","","",""
"","S_B7XiX2hW","","","False","","",""
"","S_89QhSFNB","","","False","","",""
"","S_GCy5psCm","","","False","","",""
"","A_abX3wid3","","","False","","",""
"","S_JnVF7pqB","","","False","","",""
"","S_NBbRN98q","","","False","","",""
"","A_UFeM4T7j","","","False","","",""
"","S_MNn4JCdd","","","False","","",""
"","A_mJmRbuwB","","","False","","",""
"","narrator_DshQRjfe","","","False","","",""
"","A_rRCYYvn9","","","False","","",""
"","S_n2QcyzfK","","","False","","",""
"","A_SFj9pFdZ","","","False","","",""
"","S_sFSZQSeB","","","False","","",""
"","S_fihZX6ed","","","False","","",""
"","A_jeDTqSYk","","","False","","",""
"","A_sdvW4b5x","","","False","","",""
"","A_JYNdc6wH","","","False","","",""
"","S_G7vtdCdg","","","False","","",""
"","S_7EhsbsAD","","","False","","",""
"","narrator_kmy96WmF","","","False","","",""
"","A_sUvjFvBM","","","False","","",""
"","A_jjE2SJrD","","","False","","",""
"","A_HFY8tKFo","","","False","","",""
"","S_LHmk8XaN","","","False","","",""
"","A_AFR6ZtT9","","","False","","",""
"","S_ZciuYidM","","","False","","",""
"","A_HuySkgwi","","","False","","",""
"","S_ZSW2vA2R","","","False","","",""
"","S_g83VM9oH","","","False","","",""
"","A_ZeSzKe6i","","","False","","",""
"","narrator_RE7tLAXx","","","False","","",""
"","S_DHq7uRJT","","","False","","",""
"","S_MmkuNKcy","","","False","","",""
"","S_QE5f7rSj","","","False","","",""
"","S_YvyYPEbB","","","False","","",""
"","narrator_JZYzoE33","","","False","","",""
"","S_aNiU2SHP","","","False","","",""
"","narrator_a3qZPHSH","","","False","","",""
"","S_QVvpVsgz","","","False","","",""
"","Ze_evzMKKLM","","","False","","",""
"","narrator_GztX2ESQ","","","False","","",""
"","S_TdfvMzRZ","","","False","","",""
"","S_fwndzKwy","","","False","","",""
"","narrator_EZY3bmZx","","","False","","",""
"","narrator_K282m9To","","","False","","",""
"","Ze_92g2VJds","","","False","","",""
"","narrator_7oNjJevB","","","False","","",""
"","S_keNzPeUf","","","False","","",""
"","S_g7LdHroP","","","False","","",""
