"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"","Z_f81616ff","","","False","","",""
"","narrator_ccbf1d1c","","","False","","",""
"","S_b1e91078","","","False","","",""
"","Z_a7138517","","","False","","",""
"","S_1a967b70","","","False","","",""
"","S_97a229e6","","","False","","",""
"","S_a66e8d66","","","False","","",""
"","narrator_1526c42a","","","False","","",""
"","S_bcf535bb","","","False","","",""
"","narrator_57d906f3","","","False","","",""
"","S_652979af","","","False","","",""
"","Z_bbd17c6b","","","False","","",""
"","narrator_0f6509ea","","","False","","",""
"","narrator_702fdc7d","","","False","","",""
"","narrator_148c636e","","","False","","",""
"","Z_72e26425","","","False","","",""
"","S_237a06aa","","","False","","",""
"","narrator_11be3c4f","","","False","","",""
"","S_a8db23eb","","","False","","",""
"","Z_808fa1ba","","","False","","",""
"","narrator_d35b5453","","","False","","",""
"","S_a04924a3","","","False","","",""
"","narrator_ba00e611","","","False","","",""
"","S_52e8051d","","","False","","",""
"","narrator_60d7b2ce","","","False","","",""
"","S_0b9199f9","","","False","","",""
"","S_4f030c4d","","","False","","",""
"","S_40cc51a7","","","False","","",""
"","narrator_9304de33","","","False","","",""
"","S_2af3fec5","","","False","","",""
"","narrator_39b1b97d","","","False","","",""
"","Z_843ccd7b","","","False","","",""
"","S_0f2acff4","","","False","","",""
"","S_e4328c28","","","False","","",""
"","narrator_30b5a877","","","False","","",""
"","S_d0a8df57","","","False","","",""
"","narrator_9c564207","","","False","","",""
"","Z_232dc78a","","","False","","",""
"","S_afa84404","","","False","","",""
"","narrator_8f232736","","","False","","",""
"","narrator_f12c172a","","","False","","",""
"","S_9e51743f","","","False","","",""
"","S_b13639ff","","","False","","",""
"","narrator_1eeee275","","","False","","",""
"","Z_c3db627e","","","False","","",""
"","S_4375a45c","","","False","","",""
"","narrator_f12c172a_1","","","False","","",""
"","S_4f4f59a6","","","False","","",""
"","narrator_cddb67fc","","","False","","",""
"","S_e668bc11","","","False","","",""
"","S_47756551","","","False","","",""
"","S_0034a184","","","False","","",""
"","narrator_0a69a8a6","","","False","","",""
"","Z_2462f6b1","","","False","","",""
"","S_40e51a6e","","","False","","",""
"","S_620f67e2","","","False","","",""
"","S_875191e1","","","False","","",""
"","narrator_8a6ed1fc","","","False","","",""
"","S_332e6b9a","","","False","","",""
"","narrator_b3f58085","","","False","","",""
"","narrator_444642c5","","","False","","",""
"","Z_de94a412","","","False","","",""
"","S_fe155f97","","","False","","",""
"","S_070cd52a","","","False","","",""
"","S_7af99656","","","False","","",""
"","S_3bd69c4e","","","False","","",""
"","narrator_39ab4bcd","","","False","","",""
"","S_742f9fd3","","","False","","",""
"","narrator_1a92e73d","","","False","","",""
"","narrator_a7e18e8e","","","False","","",""
"","narrator_34c19e06","","","False","","",""
"","S_00d1eda0","","","False","","",""
"","S_7bbb8dc5","","","False","","",""
"","S_ed4afaba","","","False","","",""
"","S_0b55cd83","","","False","","",""
"","narrator_a1d4a157","","","False","","",""
"","S_c9116f8f","","","False","","",""
"","Z_2462f6b1_1","","","False","","",""
"","S_ebb02e24","","","False","","",""
"","narrator_b661cd18","","","False","","",""
"","S_6fb6ec4b","","","False","","",""
"","narrator_0a69a8a6_1","","","False","","",""
"","Z_5a05fb0e","","","False","","",""
"","S_553aa20a","","","False","","",""
"","S_d9864fe9","","","False","","",""
"","S_f5d460b7","","","False","","",""
"","narrator_1fd58816","","","False","","",""
"","Z_808fa1ba_1","","","False","","",""
"","narrator_eb0898b1","","","False","","",""
"","S_0ed2cec2","","","False","","",""
"","Z_72b9d63f","","","False","","",""
"","narrator_7683dc6e","","","False","","",""
"","S_e2af0f14","","","False","","",""
"","narrator_7380dec0","","","False","","",""
"","Z_5a05fb0e_1","","","False","","",""
"","narrator_211cf758","","","False","","",""
"","narrator_a73df993","","","False","","",""
"","S_27c8caaa","","","False","","",""
"","narrator_626e44c6","","","False","","",""
"","S_5d9e6f4a","","","False","","",""
"","S_e93bcb3d","","","False","","",""
"","narrator_05a129d4","","","False","","",""
"","S_ab97777c","","","False","","",""
"","S_a3340077","","","False","","",""
"","S_5623b142","","","False","","",""
"","S_b7499b0f","","","False","","",""
"","Z_e3a02661","","","False","","",""
"","S_a26355aa","","","False","","",""
"","narrator_74809b95","","","False","","",""
"","S_5eee07be","","","False","","",""
"","narrator_17baa8a3","","","False","","",""
"","Z_5294f033","","","False","","",""
"","narrator_b4b1559c","","","False","","",""
"","S_90c8c224","","","False","","",""
"","S_25ea083e","","","False","","",""
"","narrator_a19fb551","","","False","","",""
"","Z_b111d660","","","False","","",""
"","narrator_3f56c1f8","","","False","","",""
"","S_536fc186","","","False","","",""
"","narrator_ee29ca9f","","","False","","",""
"","narrator_2bb0dbc6","","","False","","",""
"","S_279e08bb","","","False","","",""
"","S_ec9e190d","","","False","","",""
"","narrator_5add59a9","","","False","","",""
"","S_b1cdd407","","","False","","",""
"","S_14faafe0","","","False","","",""
"","Z_64feeb8f","","","False","","",""
"","narrator_2d7d7842","","","False","","",""
"","S_6e390320","","","False","","",""
"","S_ffb836f3","","","False","","",""
"","narrator_e377a6c8","","","False","","",""
"","S_57075c4a","","","False","","",""
"","narrator_d26fbef3","","","False","","",""
"","S_f192e73a","","","False","","",""
"","S_01796920","","","False","","",""
"","narrator_358d1a66","","","False","","",""
"","S_cc73c235","","","False","","",""
"","narrator_47d0132b","","","False","","",""
"","S_a11534c7","","","False","","",""
"","S_2dc16d0b","","","False","","",""
"","Z_bbd17c6b_1","","","False","","",""
"","S_b2b8f853","","","False","","",""
"","narrator_fc3d6b50","","","False","","",""
"","narrator_6a7e1846","","","False","","",""
"","narrator_b9f98836","","","False","","",""
"","narrator_6442a4ac","","","False","","",""
"","Z_66d31176","","","False","","",""
"","S_d6d40276","","","False","","",""
"","S_023b1155","","","False","","",""
"","narrator_2e7c0245","","","False","","",""
"","S_c00ae53e","","","False","","",""
"","narrator_8ead843c","","","False","","",""
"","narrator_987e06b5","","","False","","",""
"","narrator_427acd8b","","","False","","",""
"","S_e7f6acea","","","False","","",""
"","S_6f67cbda","","","False","","",""
"","narrator_7dac0bad","","","False","","",""
"","Z_770cc612","","","False","","",""
"","S_9593f4dc","","","False","","",""
"","S_d04dccfa","","","False","","",""
"","Z_f8ce3579","","","False","","",""
"","S_aa637c02","","","False","","",""
"","narrator_5037ac08","","","False","","",""
"","S_6717550e","","","False","","",""
