"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"","S1_EeKbQRXe","","","False","","",""
"","narrator_A2dABgLX","","","False","","",""
"","L_KrZK2oYN","","","False","","",""
"","S1_9qGk5T6c","","","False","","",""
"","S1_5HsgGdq5","","","False","","",""
"","narrator_NQjmxCnJ","","","False","","",""
"","S1_PZbd8iA5","","","False","","",""
"","L_MSPDRHvJ","","","False","","",""
"","narrator_WbcFMYMa","","","False","","",""
"","L_f52bS4C9","","","False","","",""
"","S1_tXVVqCgx","","","False","","",""
"","narrator_8PBXRSGa","","","False","","",""
"","S1_rWXRRPgP","","","False","","",""
"","L_L4CqeE2j","","","False","","",""
"","narrator_6Gs9Xozc","","","False","","",""
"","S1_t85JDbaN","","","False","","",""
"","L_M4VNwTzp","","","False","","",""
"","narrator_qeKoy3dc","","","False","","",""
"","S1_WzrVjjKG","","","False","","",""
"","S1_3yBd6W7n","","","False","","",""
"","narrator_bn5k6N8h","","","False","","",""
"","S1_fFYcKMCv","","","False","","",""
"","L_NTp6nV8r","","","False","","",""
"","narrator_dM6nHboy","","","False","","",""
"","S1_CyztieAd","","","False","","",""
"","S1_hYYKK8tg","","","False","","",""
"","narrator_t7Ss97F2","","","False","","",""
"","narrator_e5Z8nXma","","","False","","",""
"","S1_DfF7sqrV","","","False","","",""
"","S1_AYorAZyN","","","False","","",""
"","L_cqWUGisW","","","False","","",""
"","narrator_CHCthMHA","","","False","","",""
"","L_E2MHLt3d","","","False","","",""
"","S1_txJnJcfA","","","False","","",""
"","L_aNuxU7Va","","","False","","",""
"","narrator_KodZvzjZ","","","False","","",""
"","S1_XFAbMDJ7","","","False","","",""
"","L_UPu5gDGF","","","False","","",""
"","narrator_E3AXcqpQ","","","False","","",""
"","S1_PcDcLvZ6","","","False","","",""
"","L_ExVhzybv","","","False","","",""
"","narrator_PXupNqbW","","","False","","",""
"","narrator_k9BqWMfu","","","False","","",""
"","S1_JzisehyU","","","False","","",""
"","L_P9WrMYX7","","","False","","",""
"","narrator_KXXivTsY","","","False","","",""
"","narrator_9gaWuqdy","","","False","","",""
"","S1_b3AVBzV7","","","False","","",""
"","S1_fbK266eH","","","False","","",""
"","S1_ezhYvfhu","","","False","","",""
"","S1_VBnFwuon","","","False","","",""
"","L_hrUx6Fvi","","","False","","",""
"","narrator_JGSBxRZR","","","False","","",""
"","L_B3vTBfzm","","","False","","",""
"","narrator_DaYxu3Ld","","","False","","",""
"","S1_RYmnrdhS","","","False","","",""
"","narrator_HPSwEagC","","","False","","",""
"","L_WZtpVToZ","","","False","","",""
"","S1_x8PzJnDY","","","False","","",""
"","S1_eyz9CmTs","","","False","","",""
"","L_JNnpAvqq","","","False","","",""
"","narrator_psGARnjo","","","False","","",""
"","L_TG9MzPEW","","","False","","",""
"","S1_KegGQtPB","","","False","","",""
"","S1_ZPo4QzGY","","","False","","",""
"","narrator_3oF82DJY","","","False","","",""
"","S1_hegYu9cC","","","False","","",""
"","narrator_63tTpErx","","","False","","",""
"","L_JS4hMc9h","","","False","","",""
"","narrator_Ho6fFiVh","","","False","","",""
"","S1_D7miYFGN","","","False","","",""
"","L_CCkqiAav","","","False","","",""
"","narrator_3buhcgPj","","","False","","",""
"","S1_WVLJUnkV","","","False","","",""
"","narrator_9RK23SCB","","","False","","",""
"","L_iT6GLc5x","","","False","","",""
"","L_NahhYxt5","","","False","","",""
"","S1_chPsyyN5","","","False","","",""
"","L_G2RXEKLu","","","False","","",""
"","S1_eG6rHVLc","","","False","","",""
"","narrator_d7y3XVoT","","","False","","",""
"","L_tXL4ggPs","","","False","","",""
"","S1_aDJ3bQz5","","","False","","",""
"","S1_RA3PyYXa","","","False","","",""
"","L_WbLPS8Bc","","","False","","",""
"","S1_3rR24ycp","","","False","","",""
"","S1_37uEQtTB","","","False","","",""
"","narrator_W3A7tJw2","","","False","","",""
"","L_hZY4m9rx","","","False","","",""
"","S1_H6M9zAaT","","","False","","",""
"","L_THKLpv4j","","","False","","",""
"","L_tTkNMCxJ","","","False","","",""
"","S1_cuvJDTsj","","","False","","",""
"","narrator_A7FCz98J","","","False","","",""
"","L_4cYKwgot","","","False","","",""
"","narrator_UWwLjMJo","","","False","","",""
"","L_p6kCkq7h","","","False","","",""
"","S1_mVBLJkn5","","","False","","",""
"","S1_G3fbmFRG","","","False","","",""
"","S1_DjnMLFmp","","","False","","",""
"","L_fbqPvD8j","","","False","","",""
"","narrator_NKqwJXtH","","","False","","",""
"","S1_jLBseRqQ","","","False","","",""
"","S1_eRspALZ4","","","False","","",""
"","L_4FxrQ5GQ","","","False","","",""
"","narrator_AkzwABAB","","","False","","",""
"","S1_Dcw4LQgV","","","False","","",""
"","L_9jtUYsNS","","","False","","",""
"","narrator_cxJupMAN","","","False","","",""
"","L_XDjiVCyL","","","False","","",""
"","narrator_ELNwfcaR","","","False","","",""
"","L_Ls8QLsvr","","","False","","",""
"","narrator_sTuaLnKE","","","False","","",""
"","S1_L8rQYSwm","","","False","","",""
"","L_ZPCQtKqs","","","False","","",""
"","L_by84DgY4","","","False","","",""
"","narrator_LherUQC2","","","False","","",""
"","S1_pSitsBch","","","False","","",""
"","L_XomknBj8","","","False","","",""
"","S1_g7CAcUBz","","","False","","",""
"","L_8PiMKUY3","","","False","","",""
"","S1_trRmXyps","","","False","","",""
"","narrator_ms88bpqx","","","False","","",""
"","S1_MBzbNDze","","","False","","",""
"","L_Tp88SP3H","","","False","","",""
"","narrator_NMdWgRtu","","","False","","",""
"","L_XDhkXbN2","","","False","","",""
"","narrator_AgENTSxG","","","False","","",""
"","narrator_CHmsKttT","","","False","","",""
"","narrator_33oMtQEv","","","False","","",""
"","L_GYDETb8S","","","False","","",""
"","narrator_oEbtdxtK","","","False","","",""
"","L_4LqZiTmx","","","False","","",""
"","narrator_iDofmVww","","","False","","",""
"","L_sNDs5DY9","","","False","","",""
"","L_ZryAcPTQ","","","False","","",""
"","narrator_rti636dw","","","False","","",""
"","S1_7vnmHE8e","","","False","","",""
"","L_VQX5WxaY","","","False","","",""
"","L_Eu8fTtXV","","","False","","",""
"","narrator_4JNyWF8Z","","","False","","",""
"","narrator_5gRKLN7M","","","False","","",""
"","S1_5S3uAtmh","","","False","","",""
"","narrator_cjJ2LEoU","","","False","","",""
"","S1_cZNWrPmr","","","False","","",""
"","S1_FHuYwhSj","","","False","","",""
"","L_i8pqDMcG","","","False","","",""
"","L_SWV7M6qt","","","False","","",""
"","narrator_YsPmaDMV","","","False","","",""
"","L_KxHVvueR","","","False","","",""
"","S1_tNPsYK6P","","","False","","",""
"","narrator_dPGTFdAz","","","False","","",""
"","L_KRbmSqtu","","","False","","",""
"","S1_Xv3MAkGj","","","False","","",""
"","L_3ypTqgP6","","","False","","",""
"","narrator_kCiNC5Qh","","","False","","",""
"","S1_7jjSDrSb","","","False","","",""
"","L_jgBXYFmb","","","False","","",""
"","S1_AKTQeNTE","","","False","","",""
"","L_QuzeZSeN","","","False","","",""
"","L_rceBhKZZ","","","False","","",""
"","intro_RddGo8Pm","","","False","","",""
"","S1_NUoRNW7Q","","","False","","",""
"","L_Nr76Qrh4","","","False","","",""
"","S1_6qikWS7o","","","False","","",""
"","L_RdYbtJHU","","","False","","",""
"","L_3ach6cUo","","","False","","",""
"","S1_6wUCjmjm","","","False","","",""
"","S1_NdJdzWHS","","","False","","",""
"","narrator_43M3NNZM","","","False","","",""
"","S1_5ZDytdS3","","","False","","",""
"","L_AaWLk97P","","","False","","",""
"","S1_HJFRjf7S","","","False","","",""
"","L_cEPLcQCr","","","False","","",""
"","S1_54jRM2Cd","","","False","","",""
"","L_jgdJdfw4","","","False","","",""
"","S1_q4U2cbou","","","False","","",""
"","S1_EsSTLsRm","","","False","","",""
