"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"","narrator_6ASGJy9m","","","False","","",""
"","narrator_Kz4xq3Er","","","False","","",""
"","S_dvas9vxK","","","False","","",""
"","SO_s6tygBBi","","","False","","",""
"","S_TZ6u9R6w","","","False","","",""
"","S_dWG8Me9i","","","False","","",""
"","narrator_YsZU5Pp9","","","False","","",""
"","SO_X9otugTJ","","","False","","",""
"","narrator_gEPycUuP","","","False","","",""
"","S_QrwLaefq","","","False","","",""
"","SO_MjJMHgkg","","","False","","",""
"","narrator_sTiw4qRD","","","False","","",""
"","S_SF5kvgtw","","","False","","",""
"","SO_fqSEcAuw","","","False","","",""
"","SO_dxiUkAeS","","","False","","",""
"","narrator_XSCmM97J","","","False","","",""
"","SO_ng2F6oh3","","","False","","",""
"","SO_XiseEzZc","","","False","","",""
"","SO_XAPCpwoZ","","","False","","",""
"","narrator_j92SU5YN","","","False","","",""
"","SO_ibC2cqRS","","","False","","",""
"","SO_4VCM6Jip","","","False","","",""
"","S_qZk4ws39","","","False","","",""
"","S_DuXeyXvg","","","False","","",""
"","S_asiMBgwy","","","False","","",""
"","S_Q5FEdF3T","","","False","","",""
"","S_fR2RU7S5","","","False","","",""
"","S_Rhx3uDeS","","","False","","",""
"","narrator_nvjUKAC4","","","False","","",""
"","SO_FosTVTnz","","","False","","",""
"","S_NoHKpvoZ","","","False","","",""
"","SO_dKzsBZmq","","","False","","",""
"","S_HVRueeYR","","","False","","",""
"","SO_FoWhVTmz","","","False","","",""
"","SO_FoWdFrD","","","False","","",""
"","SO_rUMhVEmz","","","False","","",""
"","narrator_TqbTH5kf","","","False","","",""
"","S_RXXSJeQm","","","False","","",""
"","SO_fpxdbFEB","","","False","","",""
"","SO_tu3DfAmD","","","False","","",""
"","narrator_KrbNwDph","","","False","","",""
"","S_mJBd8vXv","","","False","","",""
"","S_6BnDvgMv","","","False","","",""
"","S_KxnFgJpN","","","False","","",""
"","narrator_J2TfQP42","","","False","","",""
"","S_rBsZrrRz","","","False","","",""
"","S_HqijcvBB","","","False","","",""
"","S_MX7Nbyfw","","","False","","",""
"","S_9X64ojrp","","","False","","",""
"","SO_tuHe3AmD","","","False","","",""
"","S_EfXnfqHk","","","False","","",""
