"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"","S_RLbJDoY6","","","False","","",""
"","S_JtT5ZA4a","","","False","","",""
"","S_HpiYS7wf","","","False","","",""
"","centered_cMA8MZYT","","","False","","",""
"","Os_HKwRA2Pw","","","False","","",""
"","narrator_P9uSwcHQ","","","False","","",""
"","S_sBnFkH3P","","","False","","",""
"","Os_bVoccpir","","","False","","",""
"","S_qnCeCm4i","","","False","","",""
"","S_LPCwuyJT","","","False","","",""
"","Os_HZXLj8zz","","","False","","",""
"","narrator_QGZQvEpD","","","False","","",""
"","Os_WeH8Vk2G","","","False","","",""
"","S_ESfqZwYx","","","False","","",""
"","S_tdQDgtx9","","","False","","",""
"","Os_H8e8MC76","","","False","","",""
"","S_Aqz2h8Zx","","","False","","",""
"","Os_ttehYxbd","","","False","","",""
"","Os_EQRR97XY","","","False","","",""
"","S_eqJuWSA8","","","False","","",""
"","Os_pnBzhVVS","","","False","","",""
"","Os_ooVDKs6u","","","False","","",""
"","S_mHW3MutC","","","False","","",""
"","S_FU9UCzG4","","","False","","",""
"","Os_9UtYM7Bd","","","False","","",""
"","S_fs5jfn5J","","","False","","",""
"","Os_gtt5LQjt","","","False","","",""
"","S_YJDehTJv","","","False","","",""
"","Os_kTUxubki","","","False","","",""
"","Os_LxSwB7VN","","","False","","",""
"","S_NBrQ6aDE","","","False","","",""
"","Os_cBhKoBxo","","","False","","",""
"","S_75b6Ftbk","","","False","","",""
"","S_4mi8NMtn","","","False","","",""
"","Os_rf5GrVrM","","","False","","",""
"","centered_F5nQjyC4","","","False","","",""
"","narrator_gcDuwFM8","","","False","","",""
"","S_j8t7kHNN","","","False","","",""
"","S_aTDckZzQ","","","False","","",""
"","S_AVzUePvq","","","False","","",""
"","S_UhxdhUiq","","","False","","",""
"","S_Cud3Xsba","","","False","","",""
"","S_5ntQCa3q","","","False","","",""
"","S_HUR3M4YD","","","False","","",""
"","narrator_X8U9q6Kr","","","False","","",""
"","S_FnFQj4K2","","","False","","",""
"","S_EcLhjvvh","","","False","","",""
"","narrator_KUigezbC","","","False","","",""
"","S_SPTxSy3T","","","False","","",""
"","S_UQos6sq9","","","False","","",""
"","narrator_UvAUgmzW","","","False","","",""
"","narrator_cSYYFmyh","","","False","","",""
"","S_jxPyCkWP","","","False","","",""
"","S_GgPPNYfj","","","False","","",""
"","S_8G6N2zCC","","","False","","",""
"","S_AH3yVaPB","","","False","","",""
"","narrator_jK2KGMPt","","","False","","",""
"","S_tmKw9QFC","","","False","","",""
"","narrator_DxmHqrnS","","","False","","",""
"","S_TJGmPvDQ","","","False","","",""
"","S_3GPzYN2s","","","False","","",""
"","S_oPm4SN73","","","False","","",""
"","S_eRmCEdFn","","","False","","",""
"","S_tkv75WjY","","","False","","",""
"","narrator_QhfsMENE","","","False","","",""
"","S_dreaFtX8","","","False","","",""
"","S_fuQaGADc","","","False","","",""
"","narrator_5o6SVBjq","","","False","","",""
"","S_fnMNyTSQ","","","False","","",""
"","S_HnMEUmEi","","","False","","",""
"","narrator_5J6p99aG","","","False","","",""
"","narrator_muLaywNa","","","False","","",""
"","S_Kdygkh8t","","","False","","",""
"","narrator_pHgVxijT","","","False","","",""
"","S_iqHi729e","","","False","","",""
"","narrator_tC5tgzFa","","","False","","",""
"","S_8q8oFXdP","","","False","","",""
"","S_GF8RdzbR","","","False","","",""
"","S_K5hodwEK","","","False","","",""
"","narrator_L2w5z7Pt","","","False","","",""
"","S_N6Cw86tx","","","False","","",""
