"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"","S_1d487d48","","","False","","",""
"","S_728697d8","","","False","","",""
"","S_2abf9a3f","","","False","","",""
"","S_531a35e7","","","False","","",""
"","narrator_9b1aa754","","","False","","",""
"","S_4dd5d9af","","","False","","",""
"","narrator_753407df","","","False","","",""
"","S_45492c35","","","False","","",""
"","S_aac02502","","","False","","",""
"","narrator_931111b9","","","False","","",""
"","S_34c12609","","","False","","",""
"","narrator_0d91000f","","","False","","",""
"","S_ecfff1f2","","","False","","",""
"","S_5615ed5d","","","False","","",""
"","S_6360f5e6","","","False","","",""
"","S_43ef098c","","","False","","",""
"","S_ebea5237","","","False","","",""
"","narrator_97692f05","","","False","","",""
"","S_3e86aa54","","","False","","",""
"","S_5b0a8c9a","","","False","","",""
"","S_de993297","","","False","","",""
"","S_50cb4029","","","False","","",""
"","S_d92a9a05","","","False","","",""
"","S_bd895027","","","False","","",""
"","S_c1b0e146","","","False","","",""
"","S_d323a0f4","","","False","","",""
"","Z_70a56d43","","","False","","",""
"","narrator_828c55d9","","","False","","",""
"","Z_62cb26fe","","","False","","",""
"","S_6bc0a06e","","","False","","",""
"","S_189330d0","","","False","","",""
"","S_db90cf45","","","False","","",""
"","narrator_aa24a056","","","False","","",""
"","S_69b073b8","","","False","","",""
"","S_61127870","","","False","","",""
"","S_8144d5d3","","","False","","",""
"","narrator_c35d33fc","","","False","","",""
"","narrator_20599b6a","","","False","","",""
"","S_99910f59","","","False","","",""
"","narrator_e9d7a604","","","False","","",""
"","S_b106e93e","","","False","","",""
"","S_b76dae45","","","False","","",""
"","narrator_db47d681","","","False","","",""
"","S_afb7c440","","","False","","",""
"","Z_3922547c","","","False","","",""
"","narrator_68f71305","","","False","","",""
"","S_e71716ef","","","False","","",""
"","narrator_ce1767ad","","","False","","",""
"","narrator_6a3388e2","","","False","","",""
"","S_c41b6c26","","","False","","",""
"","narrator_27c33a21","","","False","","",""
"","Z_131957df","","","False","","",""
"","S_47fa0278","","","False","","",""
"","narrator_af5a5c72","","","False","","",""
"","S_c2663d36","","","False","","",""
"","S_d65dba2d","","","False","","",""
"","S_589bfed2","","","False","","",""
"","narrator_00d15772","","","False","","",""
"","S_345283b4","","","False","","",""
"","Z_94e384fe","","","False","","",""
"","S_37bdee32","","","False","","",""
"","narrator_371e9398","","","False","","",""
"","S_ba2fd602","","","False","","",""
"","S_788425b8","","","False","","",""
"","S_c19ace40","","","False","","",""
"","S_8c7762d9","","","False","","",""
"","narrator_74a7c663","","","False","","",""
"","S_ea13bf5c","","","False","","",""
"","S_1b9c3f44","","","False","","",""
"","S_576d2197","","","False","","",""
"","Z_28e59792","","","False","","",""
"","narrator_5b16973a","","","False","","",""
"","Z_62cb26fe_1","","","False","","",""
"","narrator_04750004","","","False","","",""
"","S_494f0c37","","","False","","",""
"","S_698d2d52","","","False","","",""
"","S_7aa426b6","","","False","","",""
"","Z_62cb26fe_2","","","False","","",""
"","narrator_7e02554f","","","False","","",""
"","S_ee76cd00","","","False","","",""
"","S_73c64002","","","False","","",""
"","Z_75569fb2","","","False","","",""
"","narrator_17f5a1c0","","","False","","",""
"","S_d62fb38c","","","False","","",""
"","S_79c9446f","","","False","","",""
"","narrator_94569cca","","","False","","",""
"","S_53a99035","","","False","","",""
"","narrator_d22d765e","","","False","","",""
"","S_d8b25d6b","","","False","","",""
"","S_e97cc6a3","","","False","","",""
"","S_89ffbb4d","","","False","","",""
"","Z_131957df_1","","","False","","",""
"","S_28eeb82f","","","False","","",""
"","narrator_0671650e","","","False","","",""
"","Z_2798e48a","","","False","","",""
"","S_2a6aed1f","","","False","","",""
"","Z_0124d902","","","False","","",""
"","narrator_bbd13d11","","","False","","",""
"","S_469afaf6","","","False","","",""
"","S_bf1e27fe","","","False","","",""
"","Z_8cebb18d","","","False","","",""
"","S_49140d49","","","False","","",""
"","narrator_19177494","","","False","","",""
"","S_fe0e65f1","","","False","","",""
"","S_c3f3af9c","","","False","","",""
"","S_d6388e8f","","","False","","",""
"","S_2c129b7d","","","False","","",""
"","Z_3922547c_1","","","False","","",""
"","narrator_1fd6cb07","","","False","","",""
