"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"","narrator_32e9b35a","","","False","","",""
"","S_b6659278","","","False","","",""
"","narrator_7961b033","","","False","","",""
"","S_81c4da60","","","False","","",""
"","Gside1_bf2a998f","","","False","","",""
"","S_6635692e","","","False","","",""
"","Gside1_1f9d3480","","","False","","",""
"","S_7e8a92d9","","","False","","",""
"","Gside1_16d86579","","","False","","",""
"","S_b81663f6","","","False","","",""
"","Gside1_d382d8e4","","","False","","",""
"","S_ddee77ef","","","False","","",""
"","Gside1_02f8ff21","","","False","","",""
"","S_abf5fe53","","","False","","",""
"","Gside1_1ab76fe8","","","False","","",""
"","S_f6e14856","","","False","","",""
"","S_ea1bef0e","","","False","","",""
"","Gside1_421cac82","","","False","","",""
"","G_cffe3ee8","","","False","","",""
"","S_eab54251","","","False","","",""
"","G_72e60a07","","","False","","",""
"","S_94e3532a","","","False","","",""
"","G_d85dacca","","","False","","",""
"","S_4a8df892","","","False","","",""
"","G_2bb0ce70","","","False","","",""
"","S_f944fb1b","","","False","","",""
"","G_cebe2413","","","False","","",""
"","L2side2_e880e07b","","","False","","",""
"","G_b887236a","","","False","","",""
"","G_f7e982b0","","","False","","",""
"","G_3debb6ce","","","False","","",""
"","S_28284c8e","","","False","","",""
"","G_fa2df12d","","","False","","",""
"","S_b726a486","","","False","","",""
"","G_64eb9c12","","","False","","",""
"","S_d3c91dde","","","False","","",""
"","G_f7e982b0_1","","","False","","",""
"","G_31105fa9","","","False","","",""
"","S_ff72f673","","","False","","",""
"","G_b50d5d34","","","False","","",""
"","S_11e10f37","","","False","","",""
"","narrator_5ae74997","","","False","","",""
"","S_b63dce7c","","","False","","",""
"","S_93c3c1bb","","","False","","",""
"","G_d4300272","","","False","","",""
"","S_3d75512a","","","False","","",""
"","G_a7dd4c8a","","","False","","",""
"","S_d0880c42","","","False","","",""
"","S_b58b030a","","","False","","",""
"","G_f344cb51","","","False","","",""
"","L2side6_21ebc48e","","","False","","",""
"","G_8bdaa7cd","","","False","","",""
"","L2side6_a5377a3a","","","False","","",""
"","G_db64ae84","","","False","","",""
"","S_ab43c855","","","False","","",""
"","narrator_629a5fb3","","","False","","",""
"","G_8e8e62af","","","False","","",""
"","G_da8db71d","","","False","","",""
"","G_9dad6964","","","False","","",""
"","G_17c795a7","","","False","","",""
"","G_d62fa0c4","","","False","","",""
"","G_3b0caee2","","","False","","",""
"","G_d2d68c40","","","False","","",""
"","S_0cef2849","","","False","","",""
"","narrator_da46a724","","","False","","",""
"","G_642b30ce","","","False","","",""
"","S_3e4ebc82","","","False","","",""
"","G_10a83bee","","","False","","",""
"","L2side2_503acc42","","","False","","",""
"","G_bdf9aecb","","","False","","",""
"","S_9d2e31de","","","False","","",""
"","G_a046f90d","","","False","","",""
"","G_8c1e0c90","","","False","","",""
"","S_85afc3e3","","","False","","",""
"","S_a5cf8c14","","","False","","",""
"","G_51291961","","","False","","",""
"","narrator_3510e2c4","","","False","","",""
"","L_15c26cff","","","False","","",""
"","narrator_65d5904c","","","False","","",""
"","S_e2675605","","","False","","",""
"","narrator_045ae4a8","","","False","","",""
"","S_0589dc59","","","False","","",""
"","S_2f474284","","","False","","",""
"","S_1dddee9c","","","False","","",""
"","intro_e40967d6","","","False","","",""
"","narrator_13c26f87","","","False","","",""
"","L_96f111cc","","","False","","",""
"","narrator_29349938","","","False","","",""
"","S_a6783f94","","","False","","",""
"","L_82c83f30","","","False","","",""
"","S_19a22025","","","False","","",""
"","S_97f191df","","","False","","",""
"","L_a668b653","","","False","","",""
"","L_8f0fe765","","","False","","",""
"","narrator_7cfda01b","","","False","","",""
"","S_b95faedf","","","False","","",""
"","narrator_a175d437","","","False","","",""
"","S_b37e7778","","","False","","",""
