"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"","S_47992d84","","","False","","",""
"","SO_d7804ad2","","","False","","",""
"","SO_3b977296","","","False","","",""
"","S_83e0b115","","","False","","",""
"","SO_037c6a8d","","","False","","",""
"","S_9de21de5","","","False","","",""
"","narrator_76f894ff","","","False","","",""
"","S_23b935ee","","","False","","",""
"","S_8c154ba1","","","False","","",""
"","SO_3faf12e4","","","False","","",""
"","S_2e5107ae","","","False","","",""
"","S_527ce643","","","False","","",""
"","S_0c25618c","","","False","","",""
"","SO_cd4df20d","","","False","","",""
"","S_bce2c621","","","False","","",""
"","SO_352d5e18","","","False","","",""
"","S_c9fc546a","","","False","","",""
"","narrator_ce476b18","","","False","","",""
"","SO_2a93f955","","","False","","",""
"","S_be5ae176","","","False","","",""
"","SO_4e9f8102","","","False","","",""
"","SO_3b5b555b","","","False","","",""
"","SO_5330d535","","","False","","",""
"","S_4852228f","","","False","","",""
"","S_9a9f34a2","","","False","","",""
"","SO_40c990d9","","","False","","",""
"","SO_97cad838","","","False","","",""
"","S_5607ea6b","","","False","","",""
"","S_636a29bb","","","False","","",""
"","SO_f4559a03","","","False","","",""
"","S_184f0e66","","","False","","",""
"","centered_3006a6b6","","","False","","",""
"","S_548d9b46","","","False","","",""
"","SO_2a855461","","","False","","",""
"","S_d4f63f1c","","","False","","",""
"","S_ee943cfb","","","False","","",""
"","SO_f3e47f52","","","False","","",""
"","S_7697b1f7","","","False","","",""
"","SO_715acb96","","","False","","",""
"","S_75650e69","","","False","","",""
"","SO_53a47de3","","","False","","",""
"","S_d6d4442d","","","False","","",""
"","SO_5b34d8ef","","","False","","",""
"","S_4852228f_1","","","False","","",""
"","S_247bd481","","","False","","",""
"","S_9c702798","","","False","","",""
"","SRight_e14ec218","","","False","","",""
"","SO_174908cd","","","False","","",""
"","narrator_0de8d2de","","","False","","",""
"","SRight_69fd1833","","","False","","",""
"","narrator_57b97dcd","","","False","","",""
"","SRight_ac06ba0e","","","False","","",""
"","SOLeft_e6a3694b","","","False","","",""
"","SOLeft_37ecdb0e","","","False","","",""
"","narrator_971cae1a","","","False","","",""
"","SRight_7e640a5a","","","False","","",""
"","narrator_ba41e592","","","False","","",""
"","SRight_dde08ede","","","False","","",""
"","SOLeft_757dd0aa","","","False","","",""
"","narrator_2849ab29","","","False","","",""
"","narrator_5f749f73","","","False","","",""
"","SRight_86f0a946","","","False","","",""
"","SOLeft_bd46be36","","","False","","",""
"","SRight_320b22cb","","","False","","",""
"","SRight_c02abaaa","","","False","","",""
"","narrator_0f11dec0","","","False","","",""
"","SRight_b1337113","","","False","","",""
"","SRight_5f9c5af5","","","False","","",""
"","SOLeft_a9bfc2e0","","","False","","",""
"","SRight_c859e23f","","","False","","",""
"","SOLeft_ff5a9ca9","","","False","","",""
"","SOLeft_8c412255","","","False","","",""
"","SOLeft_a9781003","","","False","","",""
"","SRight_94c0d152","","","False","","",""
"","SOLeft_5b244543","","","False","","",""
"","SOLeft_b120d578","","","False","","",""
"","SRight_0be181f1","","","False","","",""
"","SRight_78a99f15","","","False","","",""
"","SOLeft_70386d0d","","","False","","",""
"","SOLeft_8055c4c1","","","False","","",""
"","SOLeft_1c13e314","","","False","","",""
"","SOLeft_10c0f6ae","","","False","","",""
"","SOLeft_154ac0a0","","","False","","",""
"","SRight_a457926a","","","False","","",""
"","SOLeft_45835d46","","","False","","",""
"","SRight_9678a3e1","","","False","","",""
"","SRight_cf94cb4e","","","False","","",""
"","SRight_833e6041","","","False","","",""
"","SOLeft_a6ad6313","","","False","","",""
"","SOLeft_3ce79b53","","","False","","",""
"","SRight_e01769f7","","","False","","",""
"","centered_0e81b4a6","","","False","","",""
"","SRight_71e35f1a","","","False","","",""
"","narrator_27588d5b","","","False","","",""
"","SRight_da4eae5a","","","False","","",""
"","SOLeft_01a72166","","","False","","",""
"","SRight_a312033f","","","False","","",""
"","SRight_1e28c1f4","","","False","","",""
"","narrator_e9c551d4","","","False","","",""
"","SOLeft_782a2bf7","","","False","","",""
"","SRight_a4066fc5","","","False","","",""
"","SRight_a17414d4","","","False","","",""
"","SOLeft_ea6d5e15","","","False","","",""
"","SRight_1fec1f72","","","False","","",""
"","SOLeft_b29dbb83","","","False","","",""
"","SRight_7a919a71","","","False","","",""
"","SRight_c5d261c4","","","False","","",""
"","SOLeft_2df640f0","","","False","","",""
"","SOLeft_47856d1f","","","False","","",""
"","SOLeft_999ac5ce","","","False","","",""
"","SRight_3fe7cde9","","","False","","",""
"","SOLeft_89831ff7","","","False","","",""
"","SRight_b4f389ec","","","False","","",""
"","SRight_c1844fc3","","","False","","",""
"","SOLeft_e5611ea4","","","False","","",""
"","SRight_f58c3129","","","False","","",""
"","SOLeft_94561212","","","False","","",""
"","SOLeft_269bf1d8","","","False","","",""
"","SRight_fdd5e442","","","False","","",""
"","SOLeft_b6d29cf0","","","False","","",""
"","narrator_3329f470","","","False","","",""
"","SRight_d8a53765","","","False","","",""
"","SRight_f64e4667","","","False","","",""
"","SRight_2c6a74c5","","","False","","",""
"","SRight_b0d88a15","","","False","","",""
"","SOLeft_5eeb3402","","","False","","",""
"","SRight_d8a53765_1","","","False","","",""
"","SRight_84491636","","","False","","",""
"","SOLeft_57680cb7","","","False","","",""
"","SRight_a604637a","","","False","","",""
"","SRight_d8a53765_2","","","False","","",""
