"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"","narrator_01b00d05","","","False","","",""
"","S_755ce7f4","","","False","","",""
"","S_13d88686","","","False","","",""
"","C_5e2f64d1","","","False","","",""
"","S_b5480a5e","","","False","","",""
"","S_ff4c677b","","","False","","",""
"","C_1b38dfe8","","","False","","",""
"","S_9626404b","","","False","","",""
"","C_41eb4cf9","","","False","","",""
"","S_ee9ff614","","","False","","",""
"","C_23725e7d","","","False","","",""
"","A_ffaca33b","","","False","","",""
"","S_fabd8838","","","False","","",""
"","S_8d113a6d","","","False","","",""
"","S_d8bc8873","","","False","","",""
"","A_d509b5d6","","","False","","",""
"","C_f5617dc6","","","False","","",""
"","S_898aaeff","","","False","","",""
"","S_8caf695e","","","False","","",""
"","A_457e0bdb","","","False","","",""
"","S_e8d1fc9e","","","False","","",""
"","A_2f295c81","","","False","","",""
"","S_b5480a5e_1","","","False","","",""
"","S_4bdbeee8","","","False","","",""
"","S_20cb2049","","","False","","",""
"","S_7aa2cf2a","","","False","","",""
"","A_59dcaf83","","","False","","",""
"","S_2139aa6f","","","False","","",""
"","S_07c7c3ce","","","False","","",""
"","A_66527fb1","","","False","","",""
"","S_128fd4e3","","","False","","",""
"","A_91ac5fd6","","","False","","",""
"","A_bdb3719b","","","False","","",""
"","S_a4ee5194","","","False","","",""
"","A_ca7b9618","","","False","","",""
"","A_d17e7e71","","","False","","",""
"","S_09f271cd","","","False","","",""
"","A_7bbdc20b","","","False","","",""
"","S_9ba2d372","","","False","","",""
"","S_671ae3e6","","","False","","",""
"","A_5ebbb3b4","","","False","","",""
"","A_28b699bb","","","False","","",""
"","S_12d6ffe7","","","False","","",""
"","A_5ebbb3b4_1","","","False","","",""
"","A_a5c9758f","","","False","","",""
"","S_dba8d52b","","","False","","",""
"","S_5a37a98e","","","False","","",""
"","S_8f998f80","","","False","","",""
"","S_06a234be","","","False","","",""
"","A_1928591c","","","False","","",""
"","S_99634de0","","","False","","",""
"","A_c4c11de0","","","False","","",""
"","S_170139e6","","","False","","",""
"","S_b3bcebd7","","","False","","",""
"","A_5ebbb3b4_2","","","False","","",""
"","A_adcd73f5","","","False","","",""
"","A_a27a8a59","","","False","","",""
"","S_e4704112","","","False","","",""
"","A_68d9e5b4","","","False","","",""
"","S_7233ce3e","","","False","","",""
"","A_5ebbb3b4_3","","","False","","",""
"","A_e66f8c8f","","","False","","",""
"","S_b5480a5e_2","","","False","","",""
"","S_65cff18d","","","False","","",""
"","S_0e6cedb3","","","False","","",""
"","A_b43e6e30","","","False","","",""
"","S_8861dfa0","","","False","","",""
"","S_43affa93","","","False","","",""
"","A_f5dd98cf","","","False","","",""
"","S_bf5d09f2","","","False","","",""
"","A_912a132d","","","False","","",""
"","A_b72a9976","","","False","","",""
"","narrator_1c6a1245","","","False","","",""
"","intro_08846812","","","False","","",""
"","S_b5480a5e_3","","","False","","",""
"","S_3934bfc6","","","False","","",""
"","A_339789fc","","","False","","",""
"","S_889a3dce","","","False","","",""
"","A_26a1363f","","","False","","",""
"","S_9c7fae04","","","False","","",""
"","A_5b0b18fc","","","False","","",""
"","A_f875c246","","","False","","",""
"","narrator_971dd86f","","","False","","",""
"","S_aa4c8265","","","False","","",""
"","S_70e78eec","","","False","","",""
"","S_8f827dda","","","False","","",""
"","A_0807539b","","","False","","",""
"","A_450c13ee","","","False","","",""
"","S_42719292","","","False","","",""
"","S_e69a149c","","","False","","",""
"","A_31c67d37","","","False","","",""
"","A_65be7a1a","","","False","","",""
"","narrator_d3958885","","","False","","",""
"","S_dba8d52b_1","","","False","","",""
"","S_b629f1b4","","","False","","",""
"","A_9ac7e91d","","","False","","",""
"","narrator_794c0d15","","","False","","",""
"","S_2e5047ae","","","False","","",""
"","A_cc0d89cb","","","False","","",""
"","S_ca16051b","","","False","","",""
"","S_e5d96778","","","False","","",""
"","A_5ebbb3b4_4","","","False","","",""
"","S_d7824807","","","False","","",""
"","A_80aaa533","","","False","","",""
"","narrator_d3958885_1","","","False","","",""
"","S_dba8d52b_2","","","False","","",""
"","S_b629f1b4_1","","","False","","",""
"","A_22f1567f","","","False","","",""
"","A_c9692145","","","False","","",""
"","S_b5480a5e_4","","","False","","",""
"","S_42d1d459","","","False","","",""
"","Z_7cdcd694","","","False","","",""
"","narrator_eb469347","","","False","","",""
"","A_1748e203","","","False","","",""
"","narrator_bae8638b","","","False","","",""
"","A_d284c353","","","False","","",""
"","A_bf118e03","","","False","","",""
