"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"","S_3072cdd1","","","False","","",""
"","S_25090f94","","","False","","",""
"","C_e588db96","","","False","","",""
"","narrator_3c533730","","","False","","",""
"","S_3072cdd1_1","","","False","","",""
"","S_9cc66dcd","","","False","","",""
"","S_fe583423","","","False","","",""
"","S_d30194d0","","","False","","",""
"","C_46bc7be8","","","False","","",""
"","S_7a2ddfe2","","","False","","",""
"","narrator_8c5e5c22","","","False","","",""
"","S_f3a7b65f","","","False","","",""
"","S_a3e890a5","","","False","","",""
"","C_dc1b2894","","","False","","",""
"","S_9f723941","","","False","","",""
"","S_1f28effd","","","False","","",""
"","C_88bc939c","","","False","","",""
"","S_65af127e","","","False","","",""
"","narrator_c3c276d5","","","False","","",""
"","S_1f15b318","","","False","","",""
"","C_a23ed98c","","","False","","",""
"","C_e4fe99a4","","","False","","",""
"","S_3072cdd1_2","","","False","","",""
"","S_ae3f5b03","","","False","","",""
"","C_51e5f288","","","False","","",""
"","S_e556e008","","","False","","",""
"","C_336f86b9","","","False","","",""
"","S_9f723941_1","","","False","","",""
"","S_5d827bfc","","","False","","",""
"","C_51e5f288_1","","","False","","",""
"","S_3182c1a3","","","False","","",""
"","narrator_b5e07ebe","","","False","","",""
"","narrator_d8645d89","","","False","","",""
"","narrator_31e0e010","","","False","","",""
"","S_f5aca979","","","False","","",""
"","S_b07c79b1","","","False","","",""
"","S_f877f524","","","False","","",""
"","narrator_f753cda2","","","False","","",""
"","S_abd62307","","","False","","",""
"","narrator_e16c0701","","","False","","",""
"","S_f10bfb21","","","False","","",""
"","C_6f4ad889","","","False","","",""
"","C_a5d25031","","","False","","",""
"","S_7f62d457","","","False","","",""
"","S_4d6319b7","","","False","","",""
"","S_b2bfa663","","","False","","",""
"","S_4e82d01e","","","False","","",""
"","C_a48d0160","","","False","","",""
"","S_00a5cfb5","","","False","","",""
"","S_49e7a482","","","False","","",""
"","narrator_81b10b72","","","False","","",""
"","S_b2bfa663_1","","","False","","",""
"","S_4e82d01e_1","","","False","","",""
"","S_2a815d05","","","False","","",""
"","S_22380cc4","","","False","","",""
"","C_3e7dc8e0","","","False","","",""
"","S_7ff81cf1","","","False","","",""
"","C_7616b480","","","False","","",""
"","S_a0a3507e","","","False","","",""
"","C_b1e42e7a","","","False","","",""
"","C_edfa6f47","","","False","","",""
"","S_2fcf4d52","","","False","","",""
"","C_b7660379","","","False","","",""
"","S_6beddd1f","","","False","","",""
"","C_f42cbad8","","","False","","",""
"","S_cbe613ff","","","False","","",""
"","C_f2be3e75","","","False","","",""
"","S_abd62307_1","","","False","","",""
"","S_3c089811","","","False","","",""
"","S_8a9ff4c8","","","False","","",""
"","C_24e0f050","","","False","","",""
"","S_cbe613ff_1","","","False","","",""
"","S_9d504d81","","","False","","",""
"","C_e805ede7","","","False","","",""
"","narrator_3933b710","","","False","","",""
"","S_9aa69596","","","False","","",""
"","C_b1e42e7a_1","","","False","","",""
"","narrator_764d70c3","","","False","","",""
"","S_a55b2430","","","False","","",""
"","narrator_1be36021","","","False","","",""
"","narrator_764d70c3_1","","","False","","",""
"","S_2731dc11","","","False","","",""
"","narrator_f9117e66","","","False","","",""
"","S_440d9d46","","","False","","",""
"","C_bab50646","","","False","","",""
"","narrator_0691bf61","","","False","","",""
"","S_dbef2b56","","","False","","",""
"","S_68efea0c","","","False","","",""
"","S_abd62307_2","","","False","","",""
"","narrator_0b2ad612","","","False","","",""
"","C_eec166ba","","","False","","",""
"","S_cbe613ff_2","","","False","","",""
"","narrator_14cb36bf","","","False","","",""
"","S_ee4b527e","","","False","","",""
"","narrator_2491d807","","","False","","",""
"","narrator_d350a5d2","","","False","","",""
"","S_5ba3189b","","","False","","",""
"","S_0343aec1","","","False","","",""
"","narrator_69070b0f","","","False","","",""
"","narrator_eb2e6d03","","","False","","",""
"","C_b72b82fb","","","False","","",""
"","S_2cc25297","","","False","","",""
"","C_522ad447","","","False","","",""
"","S_7f6a8518","","","False","","",""
"","C_2bfdb552","","","False","","",""
"","S_12a71a28","","","False","","",""
"","C_f2b859fe","","","False","","",""
"","narrator_0b2fa9d4","","","False","","",""
"","narrator_8370206a","","","False","","",""
"","narrator_ff1cda8d","","","False","","",""
"","narrator_d4feeeef","","","False","","",""
"","S_d7abb7a3","","","False","","",""
"","narrator_e3cc6f36","","","False","","",""
"","narrator_884707c0","","","False","","",""
"","S_6b7ce0f7","","","False","","",""
"","S_8cf14c2b","","","False","","",""
"","S_512277ff","","","False","","",""
"","S_142be3a4","","","False","","",""
"","C_5a8a197f","","","False","","",""
"","narrator_ad99bc8d","","","False","","",""
"","narrator_1e33eb4e","","","False","","",""
"","S_79f062d9","","","False","","",""
"","C_bdf1edcb","","","False","","",""
"","S_77cd4af8","","","False","","",""
"","Aside3_cf0a49fe","","","False","","",""
"","Aside4_1debfa18","","","False","","",""
"","Aside12_4e8ca543","","","False","","",""
"","S_ecb68f9e","","","False","","",""
"","Aside9_e24f0da1","","","False","","",""
"","Aside10_f12e9f89","","","False","","",""
"","S_4f94ec9e","","","False","","",""
"","Aside3_d6146675","","","False","","",""
"","Aside11_0e8a8a0b","","","False","","",""
"","S_b67f0bb3","","","False","","",""
"","Aside4_5b4f6698","","","False","","",""
"","Aside11_651a02df","","","False","","",""
"","S_6c591624","","","False","","",""
"","Aside11_a44d2a81","","","False","","",""
"","S_3f871d9c","","","False","","",""
"","narrator_0dcb4ca1","","","False","","",""
"","Aside2_937a5ea1","","","False","","",""
"","Aside8_5ad5626d","","","False","","",""
"","S_141e33de","","","False","","",""
"","Aside9_e7426bfb","","","False","","",""
"","Aside8_f8b9cfba","","","False","","",""
"","S_8aeaff86","","","False","","",""
"","S_ae7ba0ea","","","False","","",""
"","Aside3_fde522c0","","","False","","",""
"","S_0a05846b","","","False","","",""
"","S_07291cf1","","","False","","",""
"","S_c9b94644","","","False","","",""
"","Aside4_88cae19c","","","False","","",""
"","narrator_da91534b","","","False","","",""
"","Aside11_280b8371","","","False","","",""
"","Aside11_c810a274","","","False","","",""
"","S_10272554","","","False","","",""
"","S_f90b03b0","","","False","","",""
"","S_8832acb4","","","False","","",""
"","narrator_1d7392f4","","","False","","",""
"","Aside4_5ae19f98","","","False","","",""
"","narrator_6c5867d4","","","False","","",""
"","S_27b42b8e","","","False","","",""
"","narrator_836b104a","","","False","","",""
"","narrator_b8e013f8","","","False","","",""
"","Aside11_f3b85eb3","","","False","","",""
"","narrator_b864c6f1","","","False","","",""
"","S_a09ae384","","","False","","",""
"","Aside11_7ac653e5","","","False","","",""
"","narrator_e4da118f","","","False","","",""
"","S_9a6780e0","","","False","","",""
"","Aside11_4f124673","","","False","","",""
"","S_2d89d215","","","False","","",""
"","Aside2_c853e84b","","","False","","",""
"","Aside4_382a7f0d","","","False","","",""
"","Aside11_3327eb8f","","","False","","",""
"","narrator_12e3346f","","","False","","",""
"","S_8d1a8948","","","False","","",""
