"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"","narrator_5a5274cc","","","False","","",""
"","narrator_da8d6fc3","","","False","","",""
"","A_f4869590","","","False","","",""
"","A_e8898b7b","","","False","","",""
"","S_014bae9d","","","False","","",""
"","A_122c8838","","","False","","",""
"","S_fe799e12","","","False","","",""
"","S_1cd23da6","","","False","","",""
"","A_aa5bbfa3","","","False","","",""
"","S_8dcc2708","","","False","","",""
"","S_a52129fd","","","False","","",""
"","A_84f4c825","","","False","","",""
"","S_260600fe","","","False","","",""
"","S_26f6615f","","","False","","",""
"","A_954d76ec","","","False","","",""
"","S_260600fe_1","","","False","","",""
"","S_6b4eeaa4","","","False","","",""
"","A_d553f33d","","","False","","",""
"","A_db040010","","","False","","",""
"","narrator_f8806100","","","False","","",""
"","A_5d725fbc","","","False","","",""
"","S_44a67c4e","","","False","","",""
"","narrator_afdb6345","","","False","","",""
"","S_692f7da8","","","False","","",""
"","A_f3d0c2e6","","","False","","",""
"","A_946d7550","","","False","","",""
"","S_e9d77aeb","","","False","","",""
"","A_7c046553","","","False","","",""
"","S_1dab0bfd","","","False","","",""
"","A_415db089","","","False","","",""
"","S_8c9080bd","","","False","","",""
"","A_e5ba39c1","","","False","","",""
"","S_fe799e12_1","","","False","","",""
"","S_beb9e106","","","False","","",""
"","A_989b3027","","","False","","",""
"","A_ccc0e90d","","","False","","",""
"","S_0f0db9a2","","","False","","",""
"","A_5012ef6a","","","False","","",""
"","S_fe799e12_2","","","False","","",""
"","S_0d52ff34","","","False","","",""
"","A_461f6784","","","False","","",""
"","A_e78c8f27","","","False","","",""
"","A_658eff8f","","","False","","",""
"","S_5c62e5d8","","","False","","",""
"","S_43d995c3","","","False","","",""
"","S_8a11c309","","","False","","",""
"","S_f15e905c","","","False","","",""
"","S_b0394f71","","","False","","",""
"","narrator_db45ec75","","","False","","",""
"","A_36e646e0","","","False","","",""
"","narrator_42252806","","","False","","",""
"","S_fe799e12_3","","","False","","",""
"","A_d528971d","","","False","","",""
"","S_e3692048","","","False","","",""
"","A_d9cb0615","","","False","","",""
"","A_078e43d9","","","False","","",""
"","S_019a9222","","","False","","",""
"","S_0172aff1","","","False","","",""
"","A_1a7d8b89","","","False","","",""
"","S_fe799e12_4","","","False","","",""
"","S_46ae8234","","","False","","",""
"","A_0df776bb","","","False","","",""
"","A_ce6cb58f","","","False","","",""
"","A_2b945d5b","","","False","","",""
"","A_78bb834f","","","False","","",""
"","S_260600fe_2","","","False","","",""
"","S_0400a67a","","","False","","",""
"","narrator_eebcad3b","","","False","","",""
"","narrator_41d6277e","","","False","","",""
"","A_789f2b3f","","","False","","",""
"","S_18009cb5","","","False","","",""
"","S_7281020f","","","False","","",""
"","A_ced1a9ab","","","False","","",""
"","A_7762e921","","","False","","",""
"","S_7c4c305b","","","False","","",""
"","A_60bac32e","","","False","","",""
"","S_fe799e12_5","","","False","","",""
"","S_2d513617","","","False","","",""
"","S_1d5a9221","","","False","","",""
"","A_135e0303","","","False","","",""
"","S_260600fe_3","","","False","","",""
"","A_69907515","","","False","","",""
"","A_9bed89a1","","","False","","",""
"","S_fe799e12_6","","","False","","",""
"","narrator_8029b07a","","","False","","",""
"","A_7b2c3f11","","","False","","",""
"","S_0400a67a_1","","","False","","",""
"","S_260600fe_4","","","False","","",""
"","narrator_804d929c","","","False","","",""
"","narrator_41d6277e_1","","","False","","",""
"","narrator_584dd1ad","","","False","","",""
"","narrator_0c8f54ad","","","False","","",""
"","A_69907515_1","","","False","","",""
"","narrator_84d98092","","","False","","",""
"","A_4432ca7e","","","False","","",""
"","S_260600fe_5","","","False","","",""
"","A_45bd2a94","","","False","","",""
"","narrator_6824a52d","","","False","","",""
"","S_fe799e12_7","","","False","","",""
"","S_74dd51ba","","","False","","",""
"","S_68a942de","","","False","","",""
"","narrator_c23a6966","","","False","","",""
"","A_d69de0ec","","","False","","",""
"","S_6492d60b","","","False","","",""
"","A_34a72a22","","","False","","",""
"","S_7ed003e5","","","False","","",""
"","A_89920669","","","False","","",""
"","S_fe799e12_8","","","False","","",""
"","S_326b2f2f","","","False","","",""
"","S_79656c57","","","False","","",""
"","narrator_11137732","","","False","","",""
"","A_6e339a8f","","","False","","",""
"","A_5f1ab225","","","False","","",""
"","S_fe799e12_9","","","False","","",""
"","S_91c4bc20","","","False","","",""
"","A_bd68d85c","","","False","","",""
"","A_632e95f3","","","False","","",""
"","S_fe799e12_10","","","False","","",""
"","A_d94c8ead","","","False","","",""
"","S_4c89b583","","","False","","",""
"","A_4e5e2df6","","","False","","",""
"","narrator_5f3787c7","","","False","","",""
"","S_aec92165","","","False","","",""
"","S_db371c02","","","False","","",""
"","A_4cd74232","","","False","","",""
"","S_660caf93","","","False","","",""
"","S_38a10415","","","False","","",""
"","A_9a1f8a28","","","False","","",""
"","A_dd3a3f32","","","False","","",""
"","S_d77af9eb","","","False","","",""
"","S_3e05a382","","","False","","",""
"","S_ec5da622","","","False","","",""
"","A_e592d0c7","","","False","","",""
"","A_5344b99c","","","False","","",""
"","S_260600fe_6","","","False","","",""
"","A_14862765","","","False","","",""
"","A_cf5efbd2","","","False","","",""
"","S_c75c37f6","","","False","","",""
