"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"","narrator_674fd925","","","False","","",""
"","A_3bcc08ba","","","False","","",""
"","S_7cceabbd","","","False","","",""
"","S_354f57ad","","","False","","",""
"","A_69a782ce","","","False","","",""
"","S_2a2c2675","","","False","","",""
"","A_8c3f52dc","","","False","","",""
"","S_b04f4595","","","False","","",""
"","A_a250c876","","","False","","",""
"","S_c8429101","","","False","","",""
"","A_fdc29756","","","False","","",""
"","S_76e9f2a0","","","False","","",""
"","A_d18dd633","","","False","","",""
"","S_cebecdc1","","","False","","",""
"","A_0ae830a2","","","False","","",""
"","S_cfa097d8","","","False","","",""
"","A_b599a574","","","False","","",""
"","S_588b2f14","","","False","","",""
"","A_d7c6255e","","","False","","",""
"","S_2fc1a4bf","","","False","","",""
"","A_9b1251c1","","","False","","",""
"","S_98f50ffb","","","False","","",""
"","A_2eff8010","","","False","","",""
"","S_efe8ecd4","","","False","","",""
"","A_22fcadff","","","False","","",""
"","S_7eebda66","","","False","","",""
"","A_f3ca6ad5","","","False","","",""
"","S_738378a3","","","False","","",""
"","A_20b89218","","","False","","",""
"","S_492df74c","","","False","","",""
"","A_e7bf850b","","","False","","",""
"","S_c7eb3e26","","","False","","",""
"","A_f811edbb","","","False","","",""
"","A_5857cc06","","","False","","",""
"","S_ac19c2c2","","","False","","",""
"","A_9b1251c1_1","","","False","","",""
"","C_e7c7a9df","","","False","","",""
"","S_68c082b8","","","False","","",""
"","S_e6a86f17","","","False","","",""
"","A_9b1251c1_2","","","False","","",""
"","C_e7c7a9df_1","","","False","","",""
"","S_279c6761","","","False","","",""
"","S_75edebf6","","","False","","",""
"","C_31c327a0","","","False","","",""
"","S_7e8084e9","","","False","","",""
"","C_fbccba58","","","False","","",""
"","S_27a0cb51","","","False","","",""
"","C_45a2aa4d","","","False","","",""
"","S_cf4923d6","","","False","","",""
"","C_b9d9a83e","","","False","","",""
"","S_97255886","","","False","","",""
"","C_48092949","","","False","","",""
"","S_e0a7cee3","","","False","","",""
"","C_0aba0274","","","False","","",""
"","S_be7435c0","","","False","","",""
"","C_e2899298","","","False","","",""
"","S_b82ae6f2","","","False","","",""
"","C_7f28b307","","","False","","",""
"","S_d3f61148","","","False","","",""
"","C_cd87eecd","","","False","","",""
"","S_cf508cc5","","","False","","",""
"","C_1585a1ef","","","False","","",""
"","S_f9b86f43","","","False","","",""
"","A_305dfb12","","","False","","",""
"","S_cb527c2b","","","False","","",""
"","C_d2ac9e64","","","False","","",""
"","S_a2da322a","","","False","","",""
"","S_24775704","","","False","","",""
"","A_a61e0310","","","False","","",""
"","S_0eb86fe5","","","False","","",""
"","A_9ac602d3","","","False","","",""
"","S_465e791a","","","False","","",""
"","A_15861d22","","","False","","",""
"","S_47c44b59","","","False","","",""
"","A_43df73d2","","","False","","",""
"","S_dc5006d4","","","False","","",""
"","A_d3f35649","","","False","","",""
"","S_e34427e4","","","False","","",""
"","A_bcda2ba5","","","False","","",""
"","S_6740122b","","","False","","",""
"","A_07d7e18e","","","False","","",""
"","S_adece98c","","","False","","",""
"","A_083aa658","","","False","","",""
"","C_b89958ca","","","False","","",""
"","S_407e3008","","","False","","",""
"","A_38fb79ec","","","False","","",""
