"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"","narrator_4d3a53e6","","","False","","",""
"","centered_24b90391","","","False","","",""
"","narrator_f3b47764","","","False","","",""
"","centered_cacd2594","","","False","","",""
"","centered_42d5c644","","","False","","",""
"","centered_20caf1b2","","","False","","",""
"","narrator_d19a574e","","","False","","",""
"","centered_9e67e1a8","","","False","","",""
"","centered_a8152c27","","","False","","",""
"","centered_75a74c3f","","","False","","",""
"","centered_fc77cbc2","","","False","","",""
"","S1_ee05c735","","","False","","",""
"","S1_581376a6","","","False","","",""
"","S1_0cc21b3d","","","False","","",""
"","narrator_5c9f7408","","","False","","",""
"","S_d63cdc26","","","False","","",""
"","S1_35a1fdfc","","","False","","",""
"","S_7c775291","","","False","","",""
"","S1_6f349708","","","False","","",""
"","S_7612cd2f","","","False","","",""
"","S1_c184a6db","","","False","","",""
"","S_72f0e941","","","False","","",""
"","S1_c3f0b743","","","False","","",""
"","S1_d0731ca5","","","False","","",""
"","S1_9eb7d986","","","False","","",""
"","narrator_2681f5eb","","","False","","",""
"","S_a07fe083","","","False","","",""
"","S1_7d4f0660","","","False","","",""
"","narrator_3e2ede84","","","False","","",""
"","S_8d4273b8","","","False","","",""
"","S1_4f27b78b","","","False","","",""
"","narrator_3fd7067d","","","False","","",""
"","S_a1bfb4eb","","","False","","",""
"","S1_b98009de","","","False","","",""
"","S1_e993cbfe","","","False","","",""
"","S1_650bb201","","","False","","",""
"","S_29ecf40a","","","False","","",""
"","S1_ba0d4803","","","False","","",""
"","narrator_c0a63bca","","","False","","",""
"","S_24b7c277","","","False","","",""
"","narrator_b52727b8","","","False","","",""
"","S1_146ea5e7","","","False","","",""
"","S1_75694c94","","","False","","",""
"","S_992db440","","","False","","",""
"","narrator_9df837b2","","","False","","",""
"","S1_96d8cf96","","","False","","",""
"","S1_e167f764","","","False","","",""
"","S_4f41f839","","","False","","",""
"","S1_063ff23b","","","False","","",""
"","S_35341ec5","","","False","","",""
"","narrator_a926d194","","","False","","",""
"","centered_cae33981","","","False","","",""
"","narrator_739facf7","","","False","","",""
"","centered_3d10393e","","","False","","",""
"","centered_f075cd11","","","False","","",""
"","centered_f8e5397e","","","False","","",""
"","centered_1d9fda7f","","","False","","",""
"","narrator_57942d80","","","False","","",""
"","S_3d69ef42","","","False","","",""
"","narrator_5ad898f5","","","False","","",""
"","S_a6d48285","","","False","","",""
"","S1_0fe25bad","","","False","","",""
"","narrator_b924d81b","","","False","","",""
"","S_4c2cae3c","","","False","","",""
"","S_63deef29","","","False","","",""
"","S1_26d83c4f","","","False","","",""
