"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"","S_3c47aa41","","","False","","",""
"","AB_ef497237","","","False","","",""
"","S_efe5c185","","","False","","",""
"","AB_ef497237_1","","","False","","",""
"","S_b2fab4a1","","","False","","",""
"","narrator_d5c1d497","","","False","","",""
"","S_a067f781","","","False","","",""
"","S_599ec3af","","","False","","",""
"","AB_2522fcaf","","","False","","",""
"","S_288003e5","","","False","","",""
"","S_51990131","","","False","","",""
"","narrator_4b88a9ca","","","False","","",""
"","AB_84c15cbd","","","False","","",""
"","S_3359d5df","","","False","","",""
"","AB_1a3e3485","","","False","","",""
"","S_ffb30c68","","","False","","",""
"","AB_00b3c887","","","False","","",""
"","S_2e896f35","","","False","","",""
"","AB_055a7541","","","False","","",""
"","S_9b82514a","","","False","","",""
"","AB_f9a961f8","","","False","","",""
"","S_3a0babd2","","","False","","",""
"","AB_7c57ca53","","","False","","",""
"","S_8a28e656","","","False","","",""
"","AB_f98a6907","","","False","","",""
"","S_af2fe68c","","","False","","",""
"","AB_406e9423","","","False","","",""
"","S_7ae9c31b","","","False","","",""
"","AB_d63b39a9","","","False","","",""
"","S_f3ce26ea","","","False","","",""
"","AB_9bb933cd","","","False","","",""
"","S_9aeaa7c1","","","False","","",""
"","AB_cd67430a","","","False","","",""
"","narrator_353e063d","","","False","","",""
"","S_98e1b156","","","False","","",""
"","AB_82e81058","","","False","","",""
"","S_abc6c998","","","False","","",""
"","AB_15900689","","","False","","",""
"","S_40dc3172","","","False","","",""
"","narrator_d1f5391f","","","False","","",""
"","S_3d735f2e","","","False","","",""
"","narrator_c8c6fdca","","","False","","",""
"","S_1cf7551d","","","False","","",""
"","narrator_1c03d46b","","","False","","",""
"","S_7c1afe1f","","","False","","",""
"","AB_2ab41e9a","","","False","","",""
"","S_bb8d47a3","","","False","","",""
"","AB_ef497237_2","","","False","","",""
"","S_57150c69","","","False","","",""
"","AB_1758464f","","","False","","",""
"","S_9e4fd1f9","","","False","","",""
"","narrator_a191f056","","","False","","",""
"","S_a718d7e5","","","False","","",""
"","S_1b4ced81","","","False","","",""
"","S_afb5033f","","","False","","",""
"","AB_3843d03d","","","False","","",""
"","S_aed75110","","","False","","",""
"","S_fef76441","","","False","","",""
"","S_be98875d","","","False","","",""
"","AB_de58683c","","","False","","",""
"","S_a32ed885","","","False","","",""
"","S_3150f3d5","","","False","","",""
"","AB_d2550116","","","False","","",""
"","S_bba2a4b8","","","False","","",""
"","AB_d321be18","","","False","","",""
"","S_9d1fa11e","","","False","","",""
"","AB_f236a8e5","","","False","","",""
"","AB_77c29106","","","False","","",""
"","AB_0b7077ba","","","False","","",""
"","AB_06c9c5be","","","False","","",""
"","AB_8077810a","","","False","","",""
"","S_cb494f6e","","","False","","",""
"","narrator_0f049597","","","False","","",""
"","narrator_4c8e8226","","","False","","",""
"","S_8ed6f783","","","False","","",""
"","S_2fd6916b","","","False","","",""
"","S_e02044d5","","","False","","",""
"","S_7af2463f","","","False","","",""
"","AB_b29a192b","","","False","","",""
"","S_ef999f9f","","","False","","",""
"","narrator_9cff6cd5","","","False","","",""
"","narrator_ec853eab","","","False","","",""
"","S_c0a31f26","","","False","","",""
"","narrator_89dec5ef","","","False","","",""
"","S_437e0bc9","","","False","","",""
"","S_e1463cd1","","","False","","",""
"","AB_21b36086","","","False","","",""
"","S_e1a49520","","","False","","",""
"","S_be226168","","","False","","",""
"","narrator_cf074660","","","False","","",""
"","S_a930ab54","","","False","","",""
"","S_5bdf2834","","","False","","",""
"","narrator_d1976910","","","False","","",""
"","S_282d9783","","","False","","",""
"","S_27425222","","","False","","",""
"","narrator_b9dd91c7","","","False","","",""
"","S_7c5fa1d3","","","False","","",""
"","narrator_7f943d3f","","","False","","",""
"","S_79128a65","","","False","","",""
"","S_526d9e65","","","False","","",""
"","narrator_1e1f40af","","","False","","",""
"","S_cfc2b639","","","False","","",""
"","S_83a9c3a3","","","False","","",""
"","narrator_84d9615a","","","False","","",""
"","S_778a831b","","","False","","",""
"","S_3a837928","","","False","","",""
"","S_80596a8a","","","False","","",""
"","S_f09fdb9a","","","False","","",""
"","S_b0629f94","","","False","","",""
"","S_0bebf448","","","False","","",""
"","narrator_67aca608","","","False","","",""
"","S_ce25b58d","","","False","","",""
"","AB_12d5c4b4","","","False","","",""
"","S_170993aa","","","False","","",""
"","narrator_42ef64d9","","","False","","",""
"","S_bf8a0cf5","","","False","","",""
"","S_09e88418","","","False","","",""
"","S_4a532d3b","","","False","","",""
"","S_7f304037","","","False","","",""
"","S_3b25f13e","","","False","","",""
"","S_f033e3e1","","","False","","",""
"","narrator_f0fcbbe8","","","False","","",""
"","S_c06394db","","","False","","",""
"","S_41febaf8","","","False","","",""
"","S_2e9f4f16","","","False","","",""
"","S_ddbd9448","","","False","","",""
"","S_31264ecd","","","False","","",""
"","narrator_5a263b52","","","False","","",""
"","S_b6dcb811","","","False","","",""
"","AB_1803b056","","","False","","",""
"","S_d9add427","","","False","","",""
"","S_7644260d","","","False","","",""
"","S_779c8b68","","","False","","",""
"","S_91c85976","","","False","","",""
"","narrator_1041ce14","","","False","","",""
"","S_24360123","","","False","","",""
"","S_9a6783f4","","","False","","",""
"","S_ea94d472","","","False","","",""
"","S_afb90dc1","","","False","","",""
"","S_41175d69","","","False","","",""
"","narrator_d3428860","","","False","","",""
"","S_5170259d","","","False","","",""
"","S_aed5d08a","","","False","","",""
"","S_270d15ea","","","False","","",""
"","narrator_cce7c8b3","","","False","","",""
"","S_98217eb8","","","False","","",""
"","S_1fbe5061","","","False","","",""
"","S_bcc0b384","","","False","","",""
"","narrator_e5551bd3","","","False","","",""
"","S_9746f34f","","","False","","",""
"","S_c13ae118","","","False","","",""
"","S_af052f14","","","False","","",""
"","narrator_c434f5fb","","","False","","",""
"","S_8f821dd1","","","False","","",""
"","narrator_14245acb","","","False","","",""
"","S_a1de723a","","","False","","",""
"","AB_1775225c","","","False","","",""
"","S_0765c3da","","","False","","",""
"","S_15719628","","","False","","",""
"","S_dcc7ab64","","","False","","",""
"","S_e3a6f19b","","","False","","",""
"","S_31431924","","","False","","",""
"","narrator_b4e987d7","","","False","","",""
"","S_8106e53c","","","False","","",""
"","AB_28608e2b","","","False","","",""
"","AB_b4512b34","","","False","","",""
"","AB_ffd9bfa1","","","False","","",""
"","AB_505139a3","","","False","","",""
"","AB_6ce4fd05","","","False","","",""
"","S_12aa879e","","","False","","",""
"","AB_5ece3124","","","False","","",""
"","S_436cd648","","","False","","",""
"","AB_6bf2fa81","","","False","","",""
"","AB_524e0b04","","","False","","",""
"","AB_e3171e51","","","False","","",""
"","S_28a18637","","","False","","",""
"","AB_e520c98e","","","False","","",""
"","S_59066139","","","False","","",""
"","S_ff1478b2","","","False","","",""
"","narrator_0c13856f","","","False","","",""
"","S_12325b59","","","False","","",""
"","S_6d930464","","","False","","",""
"","S_f06665e1","","","False","","",""
"","AB_1151784a","","","False","","",""
"","narrator_b31d57fb","","","False","","",""
"","S_62cd722e","","","False","","",""
