"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"","S1_e4f6cbba","","","False","","",""
"","S1_ed5aa8db","","","False","","",""
"","narrator_df3323ee","","","False","","",""
"","S1_40fa9600","","","False","","",""
"","narrator_0c10d136","","","False","","",""
"","L_4a6114e4","","","False","","",""
"","S1_61640008","","","False","","",""
"","L_8be86742","","","False","","",""
"","S1_1adf74bd","","","False","","",""
"","narrator_e3dcea52","","","False","","",""
"","L_840bf463","","","False","","",""
"","narrator_ce276408","","","False","","",""
"","L_10fddea0","","","False","","",""
"","S1_68995785","","","False","","",""
"","narrator_6a557b14","","","False","","",""
"","S1_9f022806","","","False","","",""
"","narrator_e86956e0","","","False","","",""
"","L_1b42688c","","","False","","",""
"","S1_21e5f493","","","False","","",""
"","S1_a140901f","","","False","","",""
"","S1_8e06744e","","","False","","",""
"","narrator_08e07302","","","False","","",""
"","L_6430af2f","","","False","","",""
"","S1_cba3fe57","","","False","","",""
"","L_64e39456","","","False","","",""
"","narrator_eb54aec9","","","False","","",""
"","L_53901af6","","","False","","",""
"","S1_a10e40bf","","","False","","",""
"","S1_2dc6d865","","","False","","",""
"","L_0baea2aa","","","False","","",""
"","narrator_40b3a434","","","False","","",""
"","S1_e20a6f5d","","","False","","",""
"","L_0808eb7d","","","False","","",""
"","S1_bf146045","","","False","","",""
"","narrator_13a8e708","","","False","","",""
"","S1_8440cabc","","","False","","",""
"","L_00d03166","","","False","","",""
"","S1_98eb1093","","","False","","",""
"","narrator_15110605","","","False","","",""
"","S1_d537b320","","","False","","",""
"","L_bc71251d","","","False","","",""
"","S1_9a2067f2","","","False","","",""
"","L_2fe712ff","","","False","","",""
"","S1_1504f444","","","False","","",""
"","S1_19637ab1","","","False","","",""
"","L_e5ad383c","","","False","","",""
"","S1_06f080d2","","","False","","",""
"","L_aec54c4e","","","False","","",""
"","S1_508b56d9","","","False","","",""
"","S1_e69a2337","","","False","","",""
"","S1_053a2c86","","","False","","",""
"","L_2b4f1199","","","False","","",""
"","L_ca95bddc","","","False","","",""
"","S1_61a57945","","","False","","",""
"","extend_d33d55e1","","","False","","",""
"","L_1b1b7ce4","","","False","","",""
"","L_235321d3","","","False","","",""
"","S1_32239d78","","","False","","",""
"","narrator_be6b553c","","","False","","",""
"","L_fad5da56","","","False","","",""
"","S1_b084ad64","","","False","","",""
"","S1_236afe18","","","False","","",""
"","L_713006ef","","","False","","",""
"","narrator_8fde1a80","","","False","","",""
"","S1_09cacfbe","","","False","","",""
"","L_ef30efed","","","False","","",""
"","L_8477d63a","","","False","","",""
"","S1_a5b8719c","","","False","","",""
"","S1_18900272","","","False","","",""
"","S1_190b9e2b","","","False","","",""
"","L_ac97caef","","","False","","",""
"","L_85e2d9f4","","","False","","",""
"","narrator_270620fa","","","False","","",""
"","L_1e0e93ab","","","False","","",""
"","narrator_dbe4c8cb","","","False","","",""
"","L_350727cb","","","False","","",""
"","S1_b4e28a20","","","False","","",""
"","narrator_08098b61","","","False","","",""
"","S1_1068cfa0","","","False","","",""
"","L_c8ba835e","","","False","","",""
"","S1_4968fb6f","","","False","","",""
"","L_f1d5a1ad","","","False","","",""
"","S1_f3c62d6c","","","False","","",""
"","S1_7a4db692","","","False","","",""
"","S1_1e2e4a71","","","False","","",""
"","S1_093b87bf","","","False","","",""
"","S1_7f08496e","","","False","","",""
"","narrator_c86a519e","","","False","","",""
"","S1_a28c0b2f","","","False","","",""
"","S1_440a9227","","","False","","",""
"","L_ebc03021","","","False","","",""
"","S1_c9a9b7c4","","","False","","",""
"","S1_77abbfe9","","","False","","",""
"","S1_6fd6246d","","","False","","",""
"","S1_e4696147","","","False","","",""
"","L_49aea446","","","False","","",""
"","S1_ee48fa08","","","False","","",""
"","S1_5188f545","","","False","","",""
"","L_51189a7c","","","False","","",""
"","narrator_c9b2838d","","","False","","",""
"","L_2cf10984","","","False","","",""
"","S1_e66324a7","","","False","","",""
"","S1_4b17f8f8","","","False","","",""
"","narrator_33fc0dd6","","","False","","",""
"","S1_44bde0e3","","","False","","",""
"","L_58b04620","","","False","","",""
