"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"","narrator_b232f796","","","False","","",""
"","L_3c430fcd","","","False","","",""
"","L_d8427cdc","","","False","","",""
"","L_af422b08","","","False","","",""
"","S1_2063f4de","","","False","","",""
"","L_7d4df61f","","","False","","",""
"","S1_c9d31ddf","","","False","","",""
"","narrator_d5a82785","","","False","","",""
"","L_b285a6fb","","","False","","",""
"","S1_248a8cb4","","","False","","",""
"","narrator_b1a20967","","","False","","",""
"","S1_c70c6ef5","","","False","","",""
"","S1_8c0fdac5","","","False","","",""
"","S1_30bd8cf5","","","False","","",""
"","narrator_9ba4bbc5","","","False","","",""
"","S1_9b8392e5","","","False","","",""
"","L_891b8b19","","","False","","",""
"","L_255c8c6a","","","False","","",""
"","narrator_1d899329","","","False","","",""
"","L_1757cce2","","","False","","",""
"","S1_0e7a1229","","","False","","",""
"","narrator_0664942a","","","False","","",""
"","S1_da2911c3","","","False","","",""
"","S1_16691aff","","","False","","",""
"","L_4c8ba2fb","","","False","","",""
"","S1_01777292","","","False","","",""
"","S1_bf3625ea","","","False","","",""
"","L_d85e3e7c","","","False","","",""
"","narrator_72f16301","","","False","","",""
"","narrator_383c759c","","","False","","",""
"","L_7e27a0b3","","","False","","",""
"","narrator_a797f5f0","","","False","","",""
"","S1_be86c17b","","","False","","",""
"","L_46051973","","","False","","",""
"","S1_57b3c9c8","","","False","","",""
"","S1_93f61e36","","","False","","",""
"","S1_4c4de2b4","","","False","","",""
"","S1_4597c4d3","","","False","","",""
"","L_0565786d","","","False","","",""
"","S1_55d626d7","","","False","","",""
"","S1_266db1e9","","","False","","",""
"","narrator_7e20db87","","","False","","",""
"","L_a6fab628","","","False","","",""
"","S1_1106b981","","","False","","",""
"","S1_dac7fa5d","","","False","","",""
"","S1_b6158e95","","","False","","",""
"","S1_dd98b014","","","False","","",""
"","narrator_c9b182ee","","","False","","",""
"","L_24847058","","","False","","",""
"","S1_6530ee2c","","","False","","",""
"","L_c09b3d37","","","False","","",""
"","S1_b97c37ae","","","False","","",""
"","L_2f1d77a0","","","False","","",""
"","narrator_9c5bb83a","","","False","","",""
"","S1_392ea53a","","","False","","",""
"","L_57add02d","","","False","","",""
"","S1_2a0eeced","","","False","","",""
"","L_71a2cc65","","","False","","",""
"","S1_920e740e","","","False","","",""
"","L_31892db3","","","False","","",""
"","L_81f85fe8","","","False","","",""
"","S1_26bdf469","","","False","","",""
"","L_6e768231","","","False","","",""
"","S1_02848b2a","","","False","","",""
"","L_1665b459","","","False","","",""
"","S1_11a2f6d2","","","False","","",""
"","S1_8c62881b","","","False","","",""
"","narrator_b4e4a19a","","","False","","",""
"","S1_a80ef16b","","","False","","",""
"","narrator_4ff50928","","","False","","",""
"","L_cb644b5b","","","False","","",""
"","S1_cf1b1f6c","","","False","","",""
"","L_b4ea86ca","","","False","","",""
"","S1_b184cb52","","","False","","",""
"","S1_e228b047","","","False","","",""
"","narrator_0e5846d0","","","False","","",""
"","L_c00dab5b","","","False","","",""
"","S1_37385c82","","","False","","",""
"","narrator_c94e1f4d","","","False","","",""
"","L_9497faa3","","","False","","",""
"","L_f226f2e8","","","False","","",""
"","S1_4418495b","","","False","","",""
"","narrator_ba1c288f","","","False","","",""
"","L_3eb6970c","","","False","","",""
"","S1_8af60b4b","","","False","","",""
"","S1_320c7ba2","","","False","","",""
"","L_7a70f283","","","False","","",""
"","L_dcc61130","","","False","","",""
"","S1_97a5c434","","","False","","",""
"","S1_0e2844ac","","","False","","",""
