"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"","narrator_7ed1a731","","","False","","",""
"","S1_26ddff3d","","","False","","",""
"","S1_954f80d5","","","False","","",""
"","narrator_f97f768c","","","False","","",""
"","S1_61ee369d","","","False","","",""
"","S1_673dc1bf","","","False","","",""
"","narrator_d3ea1a3f","","","False","","",""
"","Os_1e7d9399","","","False","","",""
"","S1_daaa33cb","","","False","","",""
"","S1_ce8586a8","","","False","","",""
"","S1_3053b5c1","","","False","","",""
"","narrator_b62aa021","","","False","","",""
"","Os_089ccc8c","","","False","","",""
"","S1_d1d07c22","","","False","","",""
"","S1_3462bc06","","","False","","",""
"","narrator_5561f620","","","False","","",""
"","S1_01b05e5c","","","False","","",""
"","S1_5c8245f0","","","False","","",""
"","S1_ead0a654","","","False","","",""
"","S1_75a5a72f","","","False","","",""
"","S1_460471c0","","","False","","",""
"","Os_4d83cd3a","","","False","","",""
"","Os_29856d0c","","","False","","",""
"","S1_40d49c0f","","","False","","",""
"","S1_0eae4b54","","","False","","",""
"","narrator_8e74624f","","","False","","",""
"","S1_74ba5797","","","False","","",""
"","S1_8036f146","","","False","","",""
"","narrator_53cd31b0","","","False","","",""
"","Os_f4d775df","","","False","","",""
"","S1_0178e943","","","False","","",""
"","narrator_84e72188","","","False","","",""
"","Os_f19b91ce","","","False","","",""
"","Os_631c27ec","","","False","","",""
"","Os_11251b55","","","False","","",""
"","narrator_49982afa","","","False","","",""
"","S1_6284c46d","","","False","","",""
"","Os_a9d457ad","","","False","","",""
"","S1_9807eeee","","","False","","",""
"","Os_8b977a12","","","False","","",""
"","Os_35a394ff","","","False","","",""
"","S1_d9947886","","","False","","",""
"","Os_23bfcd3e","","","False","","",""
"","Os_3d174251","","","False","","",""
"","S1_4c736cca","","","False","","",""
"","S1_b1c91bdf","","","False","","",""
"","S1_a381b202","","","False","","",""
"","S1_618534fa","","","False","","",""
"","narrator_dec67f5e","","","False","","",""
"","narrator_6f5e71a3","","","False","","",""
"","S1_7047c9ce","","","False","","",""
"","S1_24673826","","","False","","",""
"","Os_cf6203af","","","False","","",""
"","S1_242ee7c0","","","False","","",""
"","narrator_43fd2c8f","","","False","","",""
"","S1_abdb2f36","","","False","","",""
"","S1_e360ca6b","","","False","","",""
"","S1_aaa72d1d","","","False","","",""
