"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"","S_f9bfc65a","","","False","","",""
"","narrator_ccefabc0","","","False","","",""
"","G_5a5bcbdb","","","False","","",""
"","narrator_63664b64","","","False","","",""
"","narrator_12cb2eff","","","False","","",""
"","L_cb0a0155","","","False","","",""
"","S_94248755","","","False","","",""
"","S_cced787e","","","False","","",""
"","L_f20f5535","","","False","","",""
"","L_0d4e83dc","","","False","","",""
"","S_fcae1fe6","","","False","","",""
"","L_6d8879e9","","","False","","",""
"","G_3ea6e665","","","False","","",""
"","S_8d23c44f","","","False","","",""
"","G_3cd22d3e","","","False","","",""
"","G_9147150c","","","False","","",""
"","centered_aeba1549","","","False","","",""
"","centered_86d4ddf9","","","False","","",""
"","S_9e57c2ea","","","False","","",""
"","L2side6_6f40ca7b","","","False","","",""
"","narrator_81467092","","","False","","",""
"","L2side6_a9151024","","","False","","",""
"","S_71f0100d","","","False","","",""
"","narrator_3a734b3c","","","False","","",""
"","S_34cb6979","","","False","","",""
"","S_e0a3d5d4","","","False","","",""
"","Gside1_923e69f3","","","False","","",""
"","S_65d9c3f9","","","False","","",""
"","Gside1_0b1665dd","","","False","","",""
"","Gside1_9378797f","","","False","","",""
"","narrator_6292ed8d","","","False","","",""
"","S_e399a85c","","","False","","",""
"","S_0314cdc2","","","False","","",""
"","S_64b06841","","","False","","",""
"","narrator_4cdf99a2","","","False","","",""
"","S_71174c8f","","","False","","",""
"","narrator_64c2e38e","","","False","","",""
"","S_016fa325","","","False","","",""
"","Gside1_609ec4b7","","","False","","",""
"","narrator_cddd952e","","","False","","",""
"","centered_69ef0f15","","","False","","",""
"","S_33deb2f7","","","False","","",""
"","L2side6_f1bdd3ef","","","False","","",""
"","narrator_98c5792f","","","False","","",""
"","Gside1_64faa12f","","","False","","",""
"","narrator_343cf2f8","","","False","","",""
"","S_ac75e2eb","","","False","","",""
"","Gside1_962b106d","","","False","","",""
"","S_64c0de1d","","","False","","",""
"","Gside1_51185c23","","","False","","",""
"","L2side5_f19bcc40","","","False","","",""
"","S_48e9a40d","","","False","","",""
"","S_8abcb819","","","False","","",""
"","Gside1_90021f42","","","False","","",""
"","Gside1_ed31d2b9","","","False","","",""
"","Gside1_f924d8f1","","","False","","",""
"","Gside1_b7333e3f","","","False","","",""
"","Gside1_f3481162","","","False","","",""
"","S_b0f831cf","","","False","","",""
"","Gside1_b5d64be5","","","False","","",""
"","S_263d3206","","","False","","",""
"","Gside1_67be04d6","","","False","","",""
"","S_cb5621a4","","","False","","",""
"","L2side6_2a3c3d67","","","False","","",""
"","Gside1_fbdbfe42","","","False","","",""
"","S_61860094","","","False","","",""
"","narrator_288fc996","","","False","","",""
"","S_4eab0771","","","False","","",""
"","S_267b67e7","","","False","","",""
"","narrator_66f3cdec","","","False","","",""
"","L2side6_37eabccb","","","False","","",""
"","S_74ebe90d","","","False","","",""
"","S_47a0ee04","","","False","","",""
"","Gside1_21d6ddf3","","","False","","",""
"","Gside1_a174f09c","","","False","","",""
"","L2side4_0962b36f","","","False","","",""
"","L2side2_b71e86e4","","","False","","",""
"","S_5e041342","","","False","","",""
"","S_19ce457f","","","False","","",""
"","S_22ce356b","","","False","","",""
"","S_49786eb2","","","False","","",""
"","Gside1_fcc4a849","","","False","","",""
"","L2side6_4d614ad6","","","False","","",""
"","S_f86ec20c","","","False","","",""
"","S_7dcd627e","","","False","","",""
"","S_c463fd2f","","","False","","",""
"","Gside1_0fd7c8bf","","","False","","",""
"","narrator_86e594aa","","","False","","",""
"","Gside1_e103a9ea","","","False","","",""
"","S_4f194216","","","False","","",""
"","L2side5_335596c0","","","False","","",""
"","S_31110290","","","False","","",""
"","S_25311a44","","","False","","",""
"","S_787f99e9","","","False","","",""
"","narrator_0f022cb2","","","False","","",""
"","Gside1_f931af6b","","","False","","",""
"","Gside1_5ee93c4f","","","False","","",""
"","S_9beff31b","","","False","","",""
"","S_a55d1e3e","","","False","","",""
"","narrator_fd69356d","","","False","","",""
"","narrator_e0fe6a14","","","False","","",""
"","L_f3df82db","","","False","","",""
"","S_111d341e","","","False","","",""
"","narrator_d7f6ef23","","","False","","",""
"","S_1e438deb","","","False","","",""
"","S_3f8f0f59","","","False","","",""
"","narrator_943c2a0f","","","False","","",""
"","L_eb9f9cb1","","","False","","",""
"","S_ea0fd55f","","","False","","",""
"","S_922487cc","","","False","","",""
"","narrator_a2830f7a","","","False","","",""
"","S_76d065f1","","","False","","",""
"","narrator_f791201e","","","False","","",""
"","narrator_d476b438","","","False","","",""
"","S_72fac4f4","","","False","","",""
"","S_fc23e422","","","False","","",""
"","narrator_98c23ed6","","","False","","",""
"","S_e8959ce6","","","False","","",""
"","narrator_b7f7da53","","","False","","",""
"","narrator_f416a8b8","","","False","","",""
"","S_0c9b26c1","","","False","","",""
"","S_3bfe15db","","","False","","",""
"","narrator_cc1b9df7","","","False","","",""
"","S_922aeb10","","","False","","",""
"","S_fadf52ba","","","False","","",""
"","narrator_0f26d5e2","","","False","","",""
"","S_1f491e73","","","False","","",""
"","S_7728012b","","","False","","",""
"","S_6f13d8dd","","","False","","",""
