location,source,target,ID,fuzzy,context,translator_comments,developer_comments
,narrator_c68dcafd,"""В комнату заходит Стуков.""",,,,,
,A_d64ee27a,"A ""О, прекрасно выглядишь! Это говорит о том, что все-таки ты поела, да?""",,,,,
,S_78a4d054,"S ""...""",,,,,
,S_d8d532ce,"S ""Да...""",,,,,
,A_f3e4f40a,"A ""Отлично! Другой еды здесь нет и не будет, так что продолжай есть эту питательную субстанцию. И тогда ты будешь полна сил, а они тебе тут понадобятся!""",,,,,
,A_9f7523ef,"A ""Хе-хе-хе.""",,,,,
,S_78a4d054_1,"S ""...""",,,,,
,S_32d58977,"S ""Я хочу с этим покончить как можно скорее. Я готова продолжить!""",,,,,
,A_b159e327,"A ""Вау! Тебя прям не узнать, еда явно пошла тебе на пользу.""",,,,,
,narrator_78ab9eae,"""Стуков отходит в угол комнаты.""",,,,,
,Aside10_a2ca05a7,"Aside10 ""Начинай.""",,,,,
,S_061f5442,"S ""А?!""",,,,,
,S_09cffa61,"S ""Ты больше не станешь меня приковывать??""",,,,,
,Aside10_fdc8701a,"Aside10 ""Нет, думаю, сейчас ты сама все сделаешь, ведь так?""",,,,,
,S_7c33d014,"S ""Я... я...""",,,,,
,S_766f29c2,"S ""Да, я смогу!""",,,,,
,C_89235d99,"C ""(Вот это я называю 'боевой настрой'! Ахаха.)""",,,,,
,Aside2_a8e41f10,"Aside2 ""Не надо так смущаться. Ты справишься.""",,,,,
,S_8f237882,"S ""Х... хорошо.""",,,,,
,narrator_e39409b7,"""Сара уверенно снимает верхнюю часть брони.""",,,,,
,narrator_20dcf49a,"""Ее грудь видна, но на ней все еще есть лифчик. Сара по-прежнему немного смущается, поэтому прикрывает грудь. На ее лице загорается отчетливый румянец.""",,,,,
,S_78a4d054_2,"S ""...""",,,,,
,Aside11_6887af72,"Aside11 ""Охо! А я бы с радостью потискал такую прекрасную грудь!""",,,,,
,S_78a4d054_3,"S ""...""",,,,,
,S_ab3dc132,"S ""Нет, прекрати. Ты смущаешь меня еще больше!""",,,,,
,Aside4_f584680d,"Aside4 ""Ахах!""",,,,,
,Aside11_ff75304c,"Aside11 ""Может, сама помассируешь свою грудь? Твои соски уже набухли?""",,,,,
,S_44c55eaf,"S ""!!!""",,,,,
,S_65a21cbf,"S ""Нет! Давай просто продолжим...""",,,,,
,Aside10_a78ad56f,"Aside10 ""Ладно. Тогда убери руку.""",,,,,
,S_ae5b7317,"S ""Ах... я...""",,,,,
,S_c87fa946,"S ""Я... я не могу...""",,,,,
,S_7ad5e608,"S ""Я не стану этого делать!""",,,,,
,Aside8_79ac6726,"Aside8 ""Вот как...""",,,,,
,Aside9_3a728684,"Aside9 ""Хорошо.""",,,,,
,Aside8_ef40ce45,"Aside8 ""Как я уже говорил, я не буду настаивать на этом.""",,,,,
,Aside8_fa033b14,"Aside8 ""Но не забывай, чем дольше ты упираешься, тем дольше будешь оставаться тут!""",,,,,
,Aside1_714941ff,"Aside1 ""Теперь, когда ты будешь готова, то просто нажми на кнопку и я приду.""",,,,,
,Aside1_61a9bcc9,"Aside1 ""А теперь одевайся, на сегодня все.""",,,,,
,S_78a4d054_4,"S ""...""",,,,,
,narrator_26a794f2,"""Стуков выходит из комнаты. Дверь закрывается.""",,,,,
,narrator_f2d29b75,"""Довольный Стуков проходит вглубь комнаты и встает в углу.""",,,,,
,Aside10_245b200e,"Aside10 ""Я готов, можешь начинать.""",,,,,
