location,source,target,ID,fuzzy,context,translator_comments,developer_comments
,narrator_c5c83a98,"""Вы уже видели данную сцену, хотите ли ее пропустить?""",,,,,
,narrator_b696e17f,"""Стуков оставил Сару перед залом эволюции, пробормотав что-то о срочности других его дел.""",,,,,
,S_3bfc7731,"S ""(И что они придумали на этот раз...)""",,,,,
,C_511137da,"C ""(Звучит не воодушевляюще.)""",,,,,
,S_755ed828,"S ""(Что-то у меня нехорошее предчувствие из-за здешней атмосферы...)""",,,,,
,C_11e27d34,"C ""(Обычная тут атмосфера... Или из-за разыгравшихся гормонов тебе чудится всякое?)""",,,,,
,S_16a91670,"S ""(Ничего мне не чудится! Тут в воздухе чувствуется напряжение...)""",,,,,
,C_268db886,"C ""(Сексуальное?)""",,,,,
,S_2f28d03c,"S ""(...)""",,,,,
,S_3ce8d5fa,"S ""(Нет, психологическое.)""",,,,,
,C_a96ef434,"C ""(Погоди, неужели тебе страшно?)""",,,,,
,S_8f22e3f0,"S ""(Страшно? Пф...)""",,,,,
,S_c5937dcb,"S ""(Просто неизвестность настораживает. Абатур никогда не рассказывает, что собирается делать.)""",,,,,
,C_afdd36f2,"C ""(Так может, это потому что ты просто не поймешь его методов, а объяснять тебе все не имеет смысла?)""",,,,,
,C_fa8b85b5,"C ""(Да и тебе известно, что с тобой будут делать.)""",,,,,
,S_4bff8b31,"S ""('Что' мне известно, но вот 'как именно'... В прошлые разы он точно так же заставал меня врасплох, как сделает это сейчас.)""",,,,,
,narrator_6ecdc139,"""Сара напряженно ходила по коридору, пытаясь хоть как-то убить время и свои нервные клетки.""",,,,,
,C_5dc6fed8,"C ""(Ты слишком много думаешь. Это твоя основная проблема. Просто расслабься и получай удовольствие. Вдруг тебе понравится? Как и в прошлый раз, между прочим.)""",,,,,
,S_22e7ded4,"S ""(Почему-то звучит неубедительно. Владычица говорила, что это не будет легко...)""",,,,,
,C_f8adeec7,"C ""(Тогда тебя это совершенно не смущало.)""",,,,,
,S_edccaef9,"S ""(Но она звучала ТАК убедительно! Я даже не успела задуматься о том, как именно со мной будут происходить изменения...)""",,,,,
,S_af267fff,"S ""(Прошлые посещения Абатура хоть и не были ужасными, но простыми я их тоже назвать не могу.)""",,,,,
,C_5bb53715,"C ""(По тебе нельзя было сказать, что ты была чем-то недовольна.)""",,,,,
,C_d64b56fd,"C ""(Тем более посмотри на Владычицу. Она ни разу не жаловалась на то, что с ней происходило и даже, наоборот, с таким энтузиазмом рассказывала об этом, как будто хотела повторить.)""",,,,,
,S_60a66bbe,"S ""(Ага, а так как не может повторить, нашла того, на ком можно отыграться... и вот я здесь...)""",,,,,
,C_e295b2f5,"C ""(...)""",,,,,
,C_8ea2c8eb,"C ""(Снова драматизируешь!)""",,,,,
,S_3dfc0659,"S ""Хорошо, может, ты и прав. Я действительно слишком много думаю.""",,,,,
,C_ff345b6d,"C ""(Расслабься. Ты точно можешь быть уверена в одном - ты не умрешь.)""",,,,,
,narrator_fb3d8fbd,"""Сара медленно стала направляться в сторону зала эволюции, продолжая свой внутренний диалог.""",,,,,
,S_341498e7,"S ""Знаешь, ты всегда так чудно поддерживаешь, Са'ймон.""",,,,,
,C_6dd6ea8c,"C ""{size=16}(Надеюсь...){/size}""",,,,,
,S_45bfc7d4,"S ""(Сай'мон!)""",,,,,
,narrator_45bfe504,"""Может, Са'ймон и ответил что-то Саре, но в этот момент в зале появился Абатур, полностью поглощая внимание девушки.""",,,,,
,S_dbf111e8,"S ""(Эта вибрация... он уже здесь, сейчас снова вылезет!)""",,,,,
,AB_678c6cbb,"AB ""Подопытная тут, начинаем.""",,,,,
,narrator_bedf8382,"""Абатур указал на импровизированное кресло.""",,,,,
,S_f75f527c,"S ""Да... А ты как всегда немногословен.""",,,,,
,narrator_cff7c942,"""Сара осторожно села на место, пытаясь принять наиболее свободную позу, которая была возможна в такой ситуации.""",,,,,
,S_16297e15,"S ""У тебя тут... уютненько.""",,,,,
,narrator_5aa6d63d,"""Абатур ничего не отвечал на бесполезные для него утверждения, занимаясь известными только ему приготовлениями.""",,,,,
,S_c34a65d2,"S ""Может расскажешь, что ты собираешься со мной делать?""",,,,,
,S_da7ba60b,"S ""(Время идет, а я все так же пытаюсь узнать, что меня ждет...)""",,,,,
,AB_b1708385,"AB ""Подготавливать.""",,,,,
,S_8ec6ead7,"S ""...""",,,,,
,S_281fed6f,"S ""Ладно... Хорошо. И каким методом ты будешь подготавливать меня?""",,,,,
,AB_74dd6044,"AB ""Методом эксперимента.""",,,,,
,S_047cf798,"S ""(......)""",,,,,
,S_eacae826,"S ""(Как же с тобой тяжело разговаривать...)""",,,,,
