location,source,target,ID,fuzzy,context,translator_comments,developer_comments
,S_6555ed55,"S ""Я думаю, сегодня лучше заняться тренировкой поцелуя.""",,,,,
,A_3d1f840f,"A ""Поцелуи, ммм... хороший выбор!""",,,,,
,S_94b882b6,"S ""Что мне нужно будет делать?""",,,,,
,A_eace249e,"A ""Просто постарайся расслабиться и делай все так, как я тебе говорю.""",,,,,
,S_2cdda037,"S ""(Легко ему говорить... 'расслабиться'...)""",,,,,
,A_e8996031,"A ""Ну что, ты готова начать?""",,,,,
,S_3fddfa6f,"S ""Д-да...""",,,,,
,A_7dcf0bc7,"A ""Я понимаю: первый поцелуй, все дела... Он всегда такой сложный. Но не переживай.""",,,,,
,S_4761d59d,"S ""Ч-что? Хватит. То, о чем ты говоришь, происходит, если люди любят друг друга... А это... вообще не похоже на такой первый поцелуй...""",,,,,
,S_50e68454,"S ""(Черт, но мое сердце... оно так сильно бьется...)""",,,,,
,S_48c02598,"S ""Это просто поцелуй...""",,,,,
,A_7aa84288,"A ""Всего один поцелуй, как в сказке! Ха-ха-ха. А потом уже пойдет как по маслу.""",,,,,
,narrator_449b3d86,"""Стуков сделал шаг в направлении Сары.""",,,,,
,narrator_ea05e587,"""Он приблизился к Саре, после чего обнял ее одной рукой и прижал к своему телу.""",,,,,
,A_42a7cb33,"A ""Ммм, от тебя так приятно пахнет.""",,,,,
,S_75754b47,"S ""Ч-что ты такое говоришь... ты снова врешь...""",,,,,
,A_2363fcbd,"A ""Нет, это правда. От тебя так пахнет, твой запах... запах женского тела...""",,,,,
,S_fc1a5ccd,"S ""...""",,,,,
,S_c9a2e3f0,"S ""А вот я не могу сказать, что от тебя приятно пахнет...""",,,,,
,A_32a32f24,"A ""Хах, дорогая, это запах мужчины. Вот увидишь, скоро ты поменяешь свое мнение.""",,,,,
,S_9d6dd84c,"S ""... Ах...""",,,,,
,A_90d3ef94,"A ""Не могу дождаться, когда попробую на вкус твои сочные губы.""",,,,,
,S_be877315,"S ""(Черт... это не первый мой поцелуй... но... почему я так нервничаю?)""",,,,,
,A_268b7517,"A ""Детка, я что тебе говорил? Стоит расслабиться, это главная часть. А то ты вся напряжена.""",,,,,
,S_7e983358,"S ""П-просто ты находишься слишком близко ко мне...""",,,,,
,A_91503bdb,"A ""Ну ничего. Этот поцелуй должен сблизить нас, после чего ты будешь чувствовать себя рядом со мной поистине великолепно!""",,,,,
,S_16e99acb,"S ""(Черт-черт-черт... я должна справиться! У меня получится!)""",,,,,
,A_683faea8,"A ""Ну что, думаю, пора начинать.""",,,,,
,S_f03285ff,"S ""Мммм!!!!!!!! мгнф...ннммммм.... нфу...""",,,,,
,narrator_3468a8ac,"""Стуков впился в губы Сары и так начался их первый поцелуй.""",,,,,
,S_cde6bb70,"S ""Ааамммммы...""",,,,,
,S_4d5e3f1d,"S ""(Ах, черт, мы целуемся... я целую мужчину, к которому не испытываю никаких чувств.)""",,,,,
,S_8eaa462c,"S ""Мммы... ммм... ммым...""",,,,,
,S_55c191c3,"S ""(Ах... его язык... он такой напористый...)""",,,,,
,S_ba9bd692,"S ""(Вне зависимости от того, что я делаю, его язык все равно в каждой части моего рта. Как я ни пытаюсь сопротивляться.)""",,,,,
,S_04fb0c66,"S ""Ммнмм... мфммм... мммм...""",,,,,
,A_8e3f9a84,"A ""Оооода... твои губы такие сладкие! Я не могу ими насытиться""",,,,,
,S_ece3e5ee,"S ""(!!!)""",,,,,
,S_978bcd7d,"S ""Мммм, мнп... хм... мнпх...""",,,,,
,S_ca64ea41,"S ""(Ахх... этот поцелуй... ч-что с ним не так...)""",,,,,
,S_ea0ec56b,"S ""Ммы... мпф... мммм!!!""",,,,,
,S_9d385a1f,"S ""(Он совсем не такой... не такой, как должен быть...)""",,,,,
,S_1b407470,"S ""Мммкхх... ааакх""",,,,,
,narrator_8255a015,"""Стуков немного отдалился от головы Сары. Ее дыхание чуть-чуть ускорилось.""",,,,,
,S_e664bf27,"S ""Ахх...""",,,,,
,A_e2512bdf,"A ""Ну что, как тебе наш первый небольшой поцелуй? Расскажи мне, каково это?""",,,,,
,S_00027617,"S ""Ах... э-это ужасно... это...""",,,,,
,A_2df306b9,"A ""Ха-ха-ха, по выражению лица я вижу, что тебе понравилось.""",,,,,
,A_17a0554f,"A ""Тогда продолжим!""",,,,,
,S_d96bd585,"S ""!!!""",,,,,
,S_6ff40d14,"S ""Ч-что? Я думала, это вс-...""",,,,,
,narrator_26c18713,"""Стуков снова безжалостно впился в беззащитные губы Сары.""",,,,,
,S_f1d8d136,"S ""Аммпфр... ммы!!!""",,,,,
,S_bf39d331,"S ""(Ах... черт, этот поцелуй... нет-нет-нет... он такой грязный...)""",,,,,
,narrator_b0808337,"""На всю комнату раздались очень 'грязные' звуки их поцелуя.""",,,,,
,S_dd4ea286,"S ""(Мой язык... он не оставляет в покое мой язык... он играется с ним, как хочет... ах...)""",,,,,
,S_dd91c0a7,"S ""Слюрп... мммм... амам.""",,,,,
