location,source,target,ID,fuzzy,context,translator_comments,developer_comments
,Aside2_8731de84,"Aside2 ""Чувствует ли она сейчас, в какой позе находится и вообще что с ней происходит? Как же бы она возбудилась, если бы знала, что за ней сейчас может кто-то наблюдать, хе-хе.""",,,,,
,Aside3_f47fc2fc,"Aside3 ""Все же обожаю я их... Как жаль, что я сейчас не могу их потрогать. Эта разлука будет мучительной для меня...""",,,,,
,Aside2_d6fe85b3,"Aside2 ""Эх, уже скучаю по этим дойкам.""",,,,,
,Aside2_0026f5d4,"Aside2 ""Она выглядит так зазывающе... И так недоступно... Какая несправедливость.""",,,,,
,Aside3_fcc8adb2,"Aside3 ""Вижу тебя без хитина в последний раз. Хорошо, что я вполне успел насладиться тобой перед превращением, хе-хе.""",,,,,
,Aside2_e214cfcf,"Aside2 ""Хороший кстати вопрос, покроется ли она хитином... я вроде тоже прошел через что-то похожее, но я хитином не покрылся. А чего гадать, скоро сами все увидим.""",,,,,
,centered_f72f4cd6,"centered ""Прошло некоторое время.""",,,,,
,A_1398bc17,"A ""Хм... Интересно, все ли хорошо с Сарой?""",,,,,
,A_eb2ffcf3,"A ""Все же нужно было пойти с ней. Никогда не знаешь, что может наделать эта чертовка.""",,,,,
,A_15cca007,"A ""Наверное, все же пойду проверю ее. Посмотрю, как у нее обстоят дела, хе-хе.""",,,,,
,narrator_eaf30289,"""Стуков направился уже в знакомом направлении.""",,,,,
,Aside9_a8a0d2d7,"Aside9 ""*Глубокий вдох* А тут как всегда? атмосферка что надо.""",,,,,
,Aside3_44cce2cf,"Aside3 ""Хах, но мы пришли сюда совершенно не для этого. Намного интереснее сейчас узнать, как же поживает Сара.""",,,,,
,narrator_05d324cf,"""Стуков быстро подошел к хризалиде, будучи в нетерпении увидеть, что же сейчас происходит с девушкой.""",,,,,
,Aside11_4f647a69,"Aside11 ""Черт, ничего не видно... хотя эти дойки я и закрытыми глазами узнаю.""",,,,,
,Aside10_e02eddc1,"Aside10 ""Хотя, если присмотреться, то можно увидеть очень даже интересные вещи, хе-хе.""",,,,,
,Aside1_ae16cf6f,"Aside1 ""А если протереть? Надеюсь, так будет виднее.""",,,,,
,narrator_3131e63d,"""Стуков наконец мог наблюдать общую картину, которая открылась перед ним.""",,,,,
,Aside2_4c040df2,"Aside2 ""Хах, все прелести в одном месте.""",,,,,
,Aside3_88ab4152,"Aside3 ""Черт, я бы с удовольствием наблюдал за такой картиной каждый день, но эта возможность выпадает крайне редко... Такая красотка в окружении тентаклей, хе-хе.""",,,,,
,Aside10_c2c8ec3a,"Aside10 ""Просыпаться и видеть перед собой раздетую и открытую девушку... Эх, какие сладкие мечты.""",,,,,
,Aside1_c827236e,"Aside1 ""(Хм... а если подумать, то много воды утекло с того, как меня исследовали...)""",,,,,
,Aside8_aba72f4a,"Aside8 ""(У нее процесс намного отличается от моего... Никто ее не режет. Все тихо и спокойно.)""",,,,,
,Aside8_bd00afed,"Aside8 ""Хотя вряд ли можно было полюбоваться тем, как над ней проводят те эксперименты, которые проводили надо мной.""",,,,,
,narrator_fb85b695,"""По спине Стуков прошел легкий холодок сразу после того, как он вспомнил старые времена.""",,,,,
,Aside5_a5bc9899,"Aside5 ""Бр... ну уж нет...""",,,,,
,Aside8_d00b96f3,"Aside8 ""Сколько времени прошло... Неужели все стало более гуманным. Только странно, что ничего не происходит.""",,,,,
,Aside7_1338ac9b,"Aside7 ""Тело находится в спокойном состоянии. Нет никаких внешних признаков, что с ней что-то происходит. Очень непохоже на перерождение... Может, эта штука сломалась? Или я чего-то не понимаю.""",,,,,
,narrator_0a3306d8,"""Стуков скользил по телу Сары сверху вниз, останавливаясь на самых привлекательных частях.""",,,,,
,Aside2_009f44c4,"Aside2 ""Хотя какая разница, когда можно спокойно глазеть и ничего не отвлекает?""",,,,,
,Aside3_e0e2c570,"Aside3 ""Какие интересные мысли приходят на ум, когда вспоминаешь что она умеет делать своей грудью...""",,,,,
