location,source,target,ID,fuzzy,context,translator_comments,developer_comments
,narrator_K5X5oAjA,"""В один из своих свободных часов Сара прогуливалась по кораблю. Ее маленькое путешествие не имело никакой цели и смысла. Со стороны это могло показаться пустым убиванием времени, и девушка готова была с этим согласиться. Медленным шагом, тяжело вздыхая, терран бродила из коридора в коридор.""",,,,,
,S_Ksg5BuSC,"S ""*Вздох*""",,,,,
,narrator_UMfuLgcK,"""Сара не смогла отказать подруге, когда та так упрашивала ее хоть немного отдыхать. Началось все с уговоров поспать, но девушке удалось донести, что в этом нет необходимости и это будет занимать слишком много времени.""",,,,,
,S_64MCR5vf,"S ""Я обошла почти весь корабль... Мне что, на второй круг идти?""",,,,,
,narrator_XqqeMauT,"""Сара готова была повернуть, как и планировала, но что-то притянуло ее взгляд.""",,,,,
,S_dHEPwcca,"S ""Нет. Я не хочу туда возвращаться... Точно ведь не хочу?""",,,,,
,narrator_PqBNNck6,"""Девушка не могла сделать и шагу, пристально смотря в направлении очень знакомого ей прохода. Она знала, к чему это ведет, с предельной точностью. Когда разум бил тревогу и не хотел связываться с негативными воспоминаниями, бессознательное двигало ватные ноги в нужном направлении.""",,,,,
,narrator_Z8gT4PNj,"""Сара не успела осознать, как снова очутилась в своей бывшей камере. Моргнуть не успела — и уже тут. Первым делом девушка ринулась к двери. Не для того, чтобы убежать, а чтобы проверить, что все произошедшее после хризалиды и сама хризалида не сон. Что она не проснулась после своих грез в своем прошлом. Дверь была не заперта, девушка выдохнула.""",,,,,
,narrator_jvYVFzwQ,"""Она не понимала, как ноги сами принесли ее сюда. Но Сара предполагала, что все это противные козни Королевы Клинков, которая хочет запугать этой камерой, тем самым пошатнув ее уверенность.""",,,,,
,S_YQRjughy,"S ""И зачем я здесь? Это последнее место, где бы хотела очутиться...""",,,,,
,narrator_47Ce8v3B,"""На первый и невнимательный взгляд Сары комната осталась в таком же виде, как она ее оставляла. Не то чтобы девушка горела желанием осматривать место, откуда она давно сбежала при появившейся возможности.""",,,,,
,narrator_EVbGn2YM,"""Хотя, уже стоя здесь, Сара не ощущала точно того же. Все те переживания были в памяти, а место всего лишь поднимало их, будто пыль на недавно спокойном ручье. Новая Сара начала чувствовать себя странно, но все же осматривала комнату.""",,,,,
,narrator_i2Vnvv5p,"""Не было ничего особенного, если бы не маленький ошметок желтого материала.""",,,,,
,S_iSaoydPG,"S ""Ах... голова...""",,,,,
,S_EajBgTih,"S ""А это еще что? Не помню, чтобы у меня было что-то желтое и глянцевое.""",,,,,
,narrator_6tDRvcv6,"""Сара зажмурила глаза от невыносимой головной боли. Что-то просыпалось в ее сознании и хотело быть увиденным.""",,,,,
,S_ms3eVxEt,"S ""А-а-а-а-а-а-ах! Н-нет, что-то проникает в мою голову! ААААААХ!""",,,,,
,S_dBoijBmC,"S ""Я помню... Тут была...""",,,,,
,narrator_CtZiTa2H,"""Девушка широко открыла глаза, видя себя на постели. Она наблюдала со стороны за тем, как сама очень увлеченно что-то говорит... Ей? Нет. Перед кроватью стоял Стуков и делал голограмму праздничной вечеринки.""",,,,,
,S_rddHwPeD,"S ""Я не слышу, о чем мы говорим... Владычица? Посвящение? Что-то такое припоминаю...""",,,,,
,S_HnePsXQU,"S ""Но почему я становлюсь такой злой? И раздеваюсь?""",,,,,
,S_4gGX9MXm,"S ""Я... я не могу так уйти! Я должна узнать, что, черт возьми, здесь происходит!""",,,,,
,S_hwmhss6e,"S ""Уж слишком интересно.""",,,,,
,S_6oe5UoSB,"S ""Тарелка? Откуда тут тарелка?""",,,,,
,narrator_jKHFegUs,"""Сара на мгновение увидела перед собой целый десерт, еще никем не тронутый. Девушка пару раз проморгалась, чтобы удостовериться в увиденном, но мираж исчез и тарелка снова стала пуста.""",,,,,
,S_Tp7RUWjm,"S ""Не помню, когда в последний раз я пользовалась столовыми приборами... Или это подарок мне за все приложенные усилия?""",,,,,
,S_g3HozMNv,"S ""Хотела бы я вспомнить вкус родной еды...""",,,,,
