location,source,target,ID,fuzzy,context,translator_comments,developer_comments
,narrator_fd11714a,"""Хризалида начинала пульсировать активнее, скрывая от любого взгляда происходящее внутри. Больше не было возможности поглазеть на обнаженную Сару, пуская не только слюни на столь сложный и энергозатратный процесс.""",,,,,
,narrator_39f8795a,"""Никто на всем корабле представить себе не мог, что происходило в крошечной по сравнению со вселенной хризалиде. История рождалась в теле, прежде слабом и состоящем из плоти и крови, но изменение – лишь дело времени. Все пути вели к этому, лишь оттягивая важное событие.""",,,,,
,S_6a59484f,"S ""Мммх...""",,,,,
,narrator_00350cd5,"""Для Сары все происходило как в тумане. Все ее переживания уходили на задний план, потому что она не могла их уловить или осмыслить. Ее голову заполняли только собственные стоны или отрывки тренировок, которые особенно впечатались в долгосрочную память.""",,,,,
,S_7b1da4f4,"S ""Арх... Хватит!""",,,,,
,S_10db85c1,"S ""Не могу... Терпеть больше...""",,,,,
,narrator_41d97678,"""Миллионы и миллионы картинок. За них невозможно ухватиться. Где реальность, а где иллюзия? Но все ощущалось так четко.""",,,,,
,narrator_7c2771c1,"""Желание прикоснуться к собственному телу и прекратить эту пытку постоянно всплывало в девушке, но она могла позволить себе только сдавленные стоны от нового напора тентаклей.""",,,,,
,S_9348cdf2,"S ""Мммф... Пожалуйста!""",,,,,
,narrator_1daf9fd7,"""Туманные фантазии только больше распаляли желание, заставляя Керриган краснеть и подрагивать с новой силой. Для нее пропало понятие времени и чувств, иногда сменяясь более четкими фантазиями в момент наименьшей активности щупалец.""",,,,,
,S_8f20c1b4,"S ""Джим! Ах, Джимми...""",,,,,
,narrator_2ed02224,"""Сара потеряла счет тем, кого она звала за все это время. В ее голове мелькали даже самые дикие мечты, которые она всегда отгоняла. На время превращения в ее голове пропали любые рамки, окуная Керриган в вечное удовольствие.""",,,,,
,narrator_b7b53e2b,"""Но случались моменты особого просветления, когда в фантазиях Сары появлялся Менгск. Больное место постоянно всплывало в памяти назойливой мухой.""",,,,,
,narrator_9ee67ade,"""Любой находящийся рядом мог бы почувствовать вскипающую злость, которая излучалась из хризалиды. Сначала она была незаметной, еле уловимой и такой далекой, что сама Керриган не ощущала ее.""",,,,,
