location,source,target,ID,fuzzy,context,translator_comments,developer_comments
,SO_bbc675d7,"SO ""Все готово... Лидеры в сборе.""",,,,,
,S_300727a2,"S ""Отлично. Иди... Я подойду позже.""",,,,,
,narrator_918b9db4,"""Сара находилась недалеко от места, в котором должны были собраться все лидеры по ее приказу, но оттуда раздавались странные звуки.""",,,,,
,U_c5eab20e,"U ""ГА-А-А-А-А!""",,,,,
,Os_7c91d0ed,"Os ""Ме-е-дленно!""",,,,,
,S_e2742005,"S ""!!!""",,,,,
,S_d3c4572c,"S ""З-землетрясение???""",,,,,
,narrator_918b9db4_1,"""Сара находилась недалеко от места, в котором должны были собраться все лидеры по ее приказу, но оттуда раздавались странные звуки.""",,,,,
,S_3c2a4c6c,"S ""Это определенно исходит оттуда, неужели это они?""",,,,,
,Os_232797af,"Os ""Что ты можешь мне сде-елать? Снова попробуешь раздавить?!""",,,,,
,U_dbeac97a,"U ""Именно это я и сделаю! Как ты вообще посмел сюда явиться?!""",,,,,
,U_12b89cef,"U ""Сколько раз я тебе говорил? Тебе здесь не место!""",,,,,
,U_480af677,"U ""РАЗДАВЛЮ!!!""",,,,,
,narrator_5d0d2701,"""Здоровенного вида существо снова попыталось нанести сокрушительный удар, из-за которого сотрясались не только стены.""",,,,,
,S_b3d72936,"S ""(Так вот что это было...)""",,,,,
,S_1974c06a,"S ""(...)""",,,,,
,narrator_3aef211f,"""Сара с недоумением смотрела на бардак, который тут творился. Она ожидала чего угодно, но точно не этого.""",,,,,
,Os_f109abd5,"Os ""Позвали все-ех. Может, я и сам не хочу быть рядом с таким болваном, но я вынужден.""",,,,,
,U_9dfcff05,"U ""Я могу помочь тебе больше никогда меня не видеть... Я тебя раздавлю!""",,,,,
,narrator_04ab023d,"""Ультралиск создавал оглушающий грохот, пытаясь задавить проворного осквернителя.""",,,,,
,Os_627e2964,"Os ""Ничего большего от тебя ожидать и не сто-о-оило!""",,,,,
,U_2d1e8b9b,"U ""Давно пора было задавить такое мерзкое существо! Убью!""",,,,,
,S_2d17e463,"S ""(Куда я попала...)""",,,,,
,S_717aa0cc,"S ""(Они могли хотя бы сейчас сдерживать себя?)""",,,,,
,narrator_ce73d6d3,"""Помимо драки Сара заметила еще нескольких существ, которые находились чуть в стороне от драки, внимательно наблюдая за происходящим.""",,,,,
,narrator_c81c33a6,"""Одним из них было существо с крыльями, напоминающее муталисков, второе было более знакомым Саре. Она уже не раз сталкивалась с гидралисками, но этот был другой, от него исходила куда более зловещая аура.""",,,,,
,M_decb41e8,"M ""Мда... Что-то меняется, а что-то останется вечным. Может, не стоило приходить?""",,,,,
,H_9bd0bbfb,"H ""Ха-ха-ха, да ладно, еще скажи, что тебя это не забавляет!""",,,,,
,M_23f1b32c,"M ""(Раньше забавляло... а теперь это скука ужасная...)""",,,,,
,narrator_0b11b693,"""Муталиск перевернулась на спину и стала смотреть куда-то вверх, игнорируя происходящее снизу.""",,,,,
