location,source,target,ID,fuzzy,context,translator_comments,developer_comments
,S_3c47aa41,"S ""Никогда не думала, что сама приду к тебе, Абатур. Особенно при таких обстоятельствах и с такой просьбой...""",,,,,
,AB_ef497237,"AB ""...""",,,,,
,S_efe5c185,"S ""У меня весьма специфическая просьба... Как сказать, я и сама против этого, но обстоятельства вынуждают.""",,,,,
,AB_ef497237_1,"AB ""...""",,,,,
,S_b2fab4a1,"S ""С этой вынужденной мерой я могу обратиться только к тебе...""",,,,,
,narrator_d5c1d497,"""Девушка долго собиралась с мыслями, пытаясь придумать, как можно было бы наиболее просто объяснить ее цель визита.""",,,,,
,S_a067f781,"S ""Странно такое просить у тебя... но мне нужно... сделать кое-что... кое-что деликатное...""",,,,,
,S_599ec3af,"S ""В общем, эм... ... мне нужно, чтобы ты, ха-ха...""",,,,,
,AB_2522fcaf,"AB ""Цель известна. Могу приступать.""",,,,,
,S_288003e5,"S ""А... Да? Черт, тогда почему же ты...""",,,,,
,S_51990131,"S ""({size=-3}Мог бы сразу сказать...{/size} {size=-6}и не заставлять меня тут...{/size})""",,,,,
,narrator_4b88a9ca,"""Сара отвела глаза в пол, ощущая всю неловкость ситуации.""",,,,,
,AB_84c15cbd,"AB ""Изменения бессмысленны.""",,,,,
,S_3359d5df,"S ""Ха-ха, вот ведь знаешь ли, но тут я с тобой соглашусь... Значит, ты не поможешь?""",,,,,
,AB_1a3e3485,"AB ""Помогу. Другого пути нет.""",,,,,
,S_ffb30c68,"S ""Видимо ты сегодня в настроении поговорить? Ну ладно, тогда почему тогда ты считаешь это бессмысленным?""",,,,,
,AB_00b3c887,"AB ""Цель эволюции — выживание роя. Необходимая мера. Твоя мутация бесцельная.""",,,,,
,S_2e896f35,"S ""Зачем соглашаться на это, если это не твой профиль? Ты здесь для мутации во благо Роя. Может быть, если бы отказал, то мне не пришлось бы идти на это.""",,,,,
,AB_055a7541,"AB ""Исключено. Причины неважны. Чтобы помочь, требуется эволюция. Эволюция моя цель.""",,,,,
,S_9b82514a,"S ""Ты бываешь таким странным порой... Недоволен, но ничего не делаешь с этим.""",,,,,
,AB_f9a961f8,"AB ""Повсюду неэффективность. Случайные мутации. Нет пользы для роя. Зерги спроектированы для боя. Индивидуальность бесполезна.""",,,,,
,S_3a0babd2,"S ""Я, кажется, понимаю о чем ты... Но с ними можно по-другому. В конце концов, живыми они могут быть полезнее, чем мертвыми.""",,,,,
,AB_7c57ca53,"AB ""Ликвидация эффективнее. Быстрее. Позволит изучить.""",,,,,
,S_8a28e656,"S ""А что, в них есть что-то интересное тебе?!""",,,,,
,AB_f98a6907,"AB ""Интересные мутации. Сильная эссенция. Можно использовать. Разум устранить.""",,,,,
,S_af2fe68c,"S ""Почему ты так настаиваешь, что он им не нужен? Просто ты постоянно говоришь это. Но не о владычице... Или ты и меня хочешь лишить...""",,,,,
,AB_406e9423,"AB ""Нет. Иная цель. Вы другие. Ликвидация сознания мешает. Не нужно.""",,,,,
,S_7ae9c31b,"S ""Какое облегчение. Я, конечно, рада. Но что это за цель-то?""",,,,,
,AB_d63b39a9,"AB ""Совершенство роя. Недостижимо. Постоянное движение. Поиск лучших форм. Требуется специализация.""",,,,,
,S_f3ce26ea,"S ""И просто потому, что они не вписываются в роль, их надо устранить?""",,,,,
,AB_9bb933cd,"AB ""Верно. Есть иные зерги. Такие не нужны.""",,,,,
,S_9aeaa7c1,"S ""Но мне кажется...""",,,,,
,AB_cd67430a,"AB ""Общение закончено. Начинаем мутацию.""",,,,,
,narrator_353e063d,"""Сара непонимающе смотрела на Абатура.""",,,,,
,S_98e1b156,"S ""Как всегда. И что, ты ничего не спросишь? Неужели ты знаешь прямо все-все?""",,,,,
,AB_82e81058,"AB ""Нужное известно. Этого достаточно.""",,,,,
,S_abc6c998,"S ""Эм... Боюсь представить, как тебе передавали описание... Но упустим это.""",,,,,
,AB_15900689,"AB ""Телепатическое общение. Эффективно. Терранское общение. Не эффективно.""",,,,,
,S_40dc3172,"S ""Вот и закончилось его желание поговорить. *Вздох*. Ладно, ты прав. Пора приступать. Чем быстрее начнем, тем быстрее закончим.""",,,,,
,narrator_d1f5391f,"""Сара почувствовала облегчение, понимая, что она может пропустить обсуждения размера груди.""",,,,,
,S_3d735f2e,"S ""(Хорошо, что мне не пришлось говорить с ним об этом... Мне хватило разговоров с гидралиском.)""",,,,,
,narrator_c8c6fdca,"""Сара подняла руки, ощущая, как их тут же оплетают тентакли. Девушка не ощущала стеснения перед Абатуром. Для нее было слишком сложно представить его заинтересованным в ее теле для чего-то большего, чем эксперименты.""",,,,,
,S_1cf7551d,"S ""Зачем это?""",,,,,
,narrator_1c03d46b,"""Сара недовольно кивнула в сторону своих рук, ощущая, насколько плотно щупальца сковали ее движения.""",,,,,
,S_7c1afe1f,"S ""Я вроде бы не собиралась сопротивляться... Пришла же добровольно.""",,,,,
,AB_2ab41e9a,"AB ""Требуется неподвижность. Рефлексы терранов опасны..""",,,,,
,S_bb8d47a3,"S ""Что такого ты собрался со мной делать, что я могу дернуться и помешать процессу?""",,,,,
,AB_ef497237_2,"AB ""...""",,,,,
,S_57150c69,"S ""Пф... Вам лишь бы обездвижить. Твои методы хоть когда-нибудь будут гуманнее?""",,,,,
,AB_1758464f,"AB ""Не понимаю.""",,,,,
,S_9e4fd1f9,"S ""Ааарг... забудь, просто мог бы хоть в этот раз сделать исключение... хоть какое-то разнообразие...""",,,,,
