location,source,target,ID,fuzzy,context,translator_comments,developer_comments
,narrator_6ASGJy9m,"centered ""*БАХ!*""",,,,,
,narrator_Kz4xq3Er,"""Сара влетела в комнату подобно вихрю. Ее глаза горели энтузиазмом от зрачка и до глазного дна.""",,,,,
,S_dvas9vxK,"S ""Сегодня космос станет чище, чем когда-либо!""",,,,,
,SO_s6tygBBi,"SO ""Боюсь спросить... Почему?""",,,,,
,S_TZ6u9R6w,"S ""Потому что я соберу все ресурсы!""",,,,,
,S_dWG8Me9i,"S ""До которых наш левиафан дотянется, конечно...""",,,,,
,narrator_YsZU5Pp9,"""То, что смутно все еще можно было назвать броней, было немедленно ликвидировано с тела террана на землю.""",,,,,
,SO_X9otugTJ,"SO ""Х-хозяйка...!!!""",,,,,
,narrator_gEPycUuP,"""Сосш стоял как вкопанный, не понимая, радоваться ему или пугаться. Сара вела себя необычно – энергичнее и развязнее, хотя он не находил этому никаких видимых причин.""",,,,,
,S_QrwLaefq,"S ""Что ты так на меня смотришь?""",,,,,
,SO_MjJMHgkg,"SO ""В-вы.... голая!""",,,,,
,narrator_sTiw4qRD,"""Девушка опустила взгляд вниз, легко пожимая плечами.""",,,,,
,S_SF5kvgtw,"S ""Ну да. Это и так понятно.""",,,,,
,SO_fqSEcAuw,"SO ""Понятно?""",,,,,
,SO_dxiUkAeS,"SO ""Мне ничего не понятно...""",,,,,
,narrator_XSCmM97J,"""Дрон был обескуражен таким поведением, теряя свой шанс насладиться прекрасным видом желанного тела. Позже он об этом пожалеет, но это ведь будет позже.""",,,,,
,SO_ng2F6oh3,"SO ""Что такого случилось? Ты никогда не вела себя так…""",,,,,
,SO_XiseEzZc,"SO ""У нас катастрофа? Мы все умрем?!""",,,,,
,SO_XAPCpwoZ,"SO ""Это наша последняя встреча?""",,,,,
,narrator_j92SU5YN,"""Сосш стал бегать от угла в угол, крутя в голове самые ужасные мысли.""",,,,,
,SO_ibC2cqRS,"SO ""Я ведь только недавно проводил проверку! Я все обошел!""",,,,,
,SO_4VCM6Jip,"SO ""Как я мог упустить конец света? Как я мог подвести хозяйку...""",,,,,
,S_qZk4ws39,"S ""...""",,,,,
,S_DuXeyXvg,"S ""Ты не замечал, что слишком драматизируешь?""",,,,,
,S_asiMBgwy,"S ""Не раздеваешься – расстраиваются, раздеваешься – паникуют... На этом корабле одни крайности!""",,,,,
,S_Q5FEdF3T,"S ""Ничего не случилось!""",,,,,
,S_fR2RU7S5,"S ""У тебя каждый раз то смерть, то теперь конец света.""",,,,,
,S_Rhx3uDeS,"S ""Удивительно, что еще не попросил потрогать член на прощание.""",,,,,
,narrator_nvjUKAC4,"""Сосш медленно поднял взгляд на Сару, быстро переключаясь с паники на привычные мысли.""",,,,,
,SO_FosTVTnz,"SO ""(Еще бы чуть-чуть и я совершил бы фатальную ошибку, хорошо, что я сдеражался и не достал их...)""",,,,,
,S_NoHKpvoZ,"S ""Но никакого конца света нет, так что даже не думай.""",,,,,
