location,source,target,ID,fuzzy,context,translator_comments,developer_comments
,S_RLbJDoY6,"S ""Я не могу в это поверить! Такую важную информацию сказать только сейчас! Он разве не говорил, что я вынашиваю их последние дни?""",,,,,
,S_JtT5ZA4a,"S ""Он хочет сказать, что я проносила их зря? Что за наглость!""",,,,,
,S_HpiYS7wf,"S ""Да он смеется надо мной!""",,,,,
,centered_cMA8MZYT,"centered ""Несколькими часами ранее...""",,,,,
,Os_HKwRA2Pw,"Os ""А, кс-стати!""",,,,,
,narrator_P9uSwcHQ,"""Осквернитель выглядел как ни в чем не бывало, останавливая Сару посреди коридора.""",,,,,
,S_sBnFkH3P,"S ""По-моему, я тебе говорила не появляться у меня перед глазами!""",,,,,
,Os_bVoccpir,"Os ""О... Не начина-а-ай! Это тебе захочется ус-слышать.""",,,,,
,S_qnCeCm4i,"S ""От тебя я ничего слышать не хочу!""",,,,,
,S_LPCwuyJT,"S ""Каждый раз происходит то-то плохое после наших разговоров...""",,,,,
,Os_HZXLj8zz,"Os ""Ну раз ты не хочешь с-слышать...""",,,,,
,narrator_QGZQvEpD,"""Осквернитель уже собирался удаляться, когда повернулся и многозначительно прищурился.""",,,,,
,Os_WeH8Vk2G,"Os ""Только не кричи потом, что я не предупрежда-ал.""",,,,,
,S_ESfqZwYx,"S ""А ну стоять!""",,,,,
,S_tdQDgtx9,"S ""Это о чем таком ты должен меня предупредить?""",,,,,
,Os_H8e8MC76,"Os ""Так ты все же хочешь с-слышать?""",,,,,
,S_Aqz2h8Zx,"S ""По-моему, плохое произойдет в любом случае, скажешь ты или нет.""",,,,,
,Os_ttehYxbd,"Os ""Раз так, то с-слушай внимательно!""",,,,,
,Os_EQRR97XY,"Os ""Ты можешь чувствовать дикий голод, и это нормально. Все, что тебе нужно, это с-собрать материал.""",,,,,
,S_eqJuWSA8,"S ""М-материал? Ч-что еще за материал?""",,,,,
,Os_pnBzhVVS,"Os ""Хе-ех.!""",,,,,
,Os_ooVDKs6u,"Os ""Генетичес-ский материал.""",,,,,
,S_mHW3MutC,"S ""Эм... Давай без своих загадок, ладно?""",,,,,
,S_FU9UCzG4,"S ""(Если так подумать, то я действительно сейчас бы слона съела... Это все из-за них? У меня давненько не было такого аппетита.)""",,,,,
,Os_9UtYM7Bd,"Os ""Мои малыш-ши особенные.""",,,,,
,S_fs5jfn5J,"S ""Это мы уже слышали, конкретнее!""",,,,,
,Os_gtt5LQjt,"Os ""Обычной едой тут не обойтись. Она просто-напросто не насытит тебя, они будут требовать особый материал! Который таится внутри ДНК зергов!""",,,,,
,S_YJDehTJv,"S ""Это что, зерги-каннибалы???""",,,,,
,Os_kTUxubki,"Os ""Нет, в обычных условиях они бы питались как и все зерги здесь. Но сейчас они в твоем теле, а у тебя нет синхронизации с кораблем, ты не можешь получать от него необходимые компоненты.""",,,,,
,Os_LxSwB7VN,"Os ""Я лиш-шь нашел способ обойти эту ситуацию.""",,,,,
,S_NBrQ6aDE,"S ""И что ты предлагаешь мне делать? Убить здесь парочку зергов?""",,,,,
,Os_cBhKoBxo,"Os ""Думаю, парочкой не обойтись... Но даже так убивать никого не нужно, всего лишь заставить его кончить.""",,,,,
,S_75b6Ftbk,"S ""Ах, ну да. Я забыла, что у тебя все проблемы решаются одним путем.""",,,,,
,S_4mi8NMtn,"S ""Дрочить непонятно какому количеству зергов... Я потрачу на это целую вечность!""",,,,,
,Os_rf5GrVrM,"Os ""Тогда тебе с-следует поторопиться, голод будет лишь усиливаться.""",,,,,
,centered_F5nQjyC4,"centered ""Наше время.""",,,,,
,narrator_gcDuwFM8,"""Сара напряженно мяла переносицу, пытаясь собраться с мыслями.""",,,,,
,S_j8t7kHNN,"S ""Ладно, с вопросом, как мне собрать их сперму, я еще разберусь. Но что делать с этим животом... Я не хочу, чтобы кто-либо видел меня в таком состоянии...""",,,,,
,S_aTDckZzQ,"S ""Этот живот... набухшие соски... черт, да и еще этот голод... боюсь, я могу сорваться, увидев их...""",,,,,
,S_AVzUePvq,"S ""...""",,,,,
,S_UhxdhUiq,"S "".........""",,,,,
,S_Cud3Xsba,"S ""..........................""",,,,,
,S_5ntQCa3q,"S ""Ну, есть одна идейка.""",,,,,
,S_HUR3M4YD,"S ""Не гений ли я?""",,,,,
,narrator_X8U9q6Kr,"""Девушка отряхивала руки, наблюдая за проделанной работой. Перед ней красовалась небольшая дырка в стене, аккуратно выжженая в металлическом полотне. Достаточная для прохода больших предметов.""",,,,,
,S_FnFQj4K2,"S ""Гений!""",,,,,
,S_EcLhjvvh,"S ""!!!""",,,,,
,narrator_KUigezbC,"""Сара схватилась за надутый живот. Даже сквозь кожу можно было заметить дребезжание яиц, но в этот раз это было неприятно и очень болезненно.""",,,,,
,S_SPTxSy3T,"S ""Это... Нехорошо, они действительно проголодались.""",,,,,
,S_UQos6sq9,"S ""(Думаю, он специально мог замалчивать этот нюанс, чтобы поставить меня в такое положение...)""",,,,,
,narrator_UvAUgmzW,"""Пришедший следом спазм в районе живота почти согнул девушку пополам. Она не чувствовала ничего подобного даже тогда, когда в затянувшихся заданиях оставалась без провизии.""",,,,,
,narrator_cSYYFmyh,"""Она не могла сразу понять, что было источником такой резкой и невыносимой боли. Все мысли на секунду покинули ее голову.""",,,,,
,S_jxPyCkWP,"S ""Это уж точно не я голодная... Это они!""",,,,,
,S_GgPPNYfj,"S ""(М-моя потребность в пище после мутации пропала совсем... Вместо нее появилась другая, но эта...)""",,,,,
,S_8G6N2zCC,"S ""ААААХ!""",,,,,
,S_AH3yVaPB,"S ""(С ней и рядом не стоит...)""",,,,,
,narrator_jK2KGMPt,"""У Сары из головы вылетело все, что она планировала. Все в теле кричало о том,чтобы этот зверский голод ушел. Она молила об избавлении и почувствовала ответную реакцию. Рой услышал ее зов о помощи.""",,,,,
,S_tmKw9QFC,"S ""Да! Точно! Сперма! Сперма различных зергов... Это то, что мне нужно!""",,,,,
,narrator_DxmHqrnS,"""Девушка успокаивающе гладила свой округлый живот, пытаясь успокоить разбушевавшихся малышей. Они шевелились сильнее, как будто чувствовали приближающуюся еду.""",,,,,
,S_TJGmPvDQ,"S ""Все готово для приема гостей...""",,,,,
,S_3GPzYN2s,"S ""Сейчас мамочка вас накормит.""",,,,,
,S_oPm4SN73,"S ""Как вовремя я успела все подготовить! Если бы они зашевелились раньше, то ничего бы не получилось.""",,,,,
,S_eRmCEdFn,"S ""Или они зашевелились специально после того, как я все сделала, чтобы поторопилась?""",,,,,
,S_tkv75WjY,"S ""Проказники...""",,,,,
,narrator_QhfsMENE,"""Яйца продолжали дребезжать внутри, выказывая Саре свое нетерпение. Будто они знали, что вот-вот их накормят. Она не переставала поглаживать свой живот в надежде, что это их хоть немного успокоит.""",,,,,
,S_dreaFtX8,"S ""Если вы продолжите в том же духе, я ничего не смогу вам добыть.""",,,,,
,S_fuQaGADc,"S ""Первый объект уже прибыл, а этот голод не дает мне на нем сосредоточиться...""",,,,,
,narrator_5o6SVBjq,"""Сара вспомнила другой голод, чем-то отдаленно напоминающий этот. Девушка никак не могла забыть о подлостях Королевы Клинков и ее небольшом проклятии, иногда портящим жизнь.""",,,,,
,S_fnMNyTSQ,"S ""Если так подумать... в них есть что-то общее.""",,,,,
,S_HnMEUmEi,"S ""Я должна это сделать!""",,,,,
