location,source,target,ID,fuzzy,context,translator_comments,developer_comments
,Q_5e2d1695,"Q ""Только посмотрите, кто ко мне пожаловал...""",,,,,
,narrator_b80b86c6,"""Владычица лениво перевела взгляд туда, откуда должна была появиться Королева Клинков.""",,,,,
,S1_fce777ba,"S1 ""Ах, ты испортила такой сюрприз!""",,,,,
,Q_b0bcf77c,"Q ""Тебя тяжело не почувствовать издалека. Пришла за реваншем?""",,,,,
,narrator_6e048eef,"""Владычица надменно посмотрела на девушку, которая неторопливо к ней приближалась.""",,,,,
,S1_809246d2,"S1 ""Мы обе ценим наше время. Я еще не получила полные права на это тело, чтобы вступать с тобой в полноценную схватку. И ты это знаешь...""",,,,,
,Q_201196a6,"Q ""Знаю...""",,,,,
,narrator_823b78be,"""Королеве Клинков через усилие сдерживала себя, пытаясь не реагировать на издевку со стороны Владычицы. Но глаз нервно дернулся.""",,,,,
,S1_f6ca1157,"S1 ""Но это не значит, что я сдалась!""",,,,,
,Q_3125196d,"Q ""{size=-4}Я бы удивилась, если бы это было не так...{/size}""",,,,,
,narrator_89e66034,"""Владычица продолжала сидеть на своем троне, величественно возвышаясь над гостьей.""",,,,,
,S1_8c9e17d5,"S1 ""Я бы с удовольствием уничтожила тебя прямо здесь. И я этим займусь... чуть позже.""",,,,,
,S1_fe5f6e28,"S1 ""Но я надеюсь, ты не думала, что я пришла к тебе просто так?""",,,,,
,narrator_3d6e8fbf,"""Владычица заинтересованно подалась вперед, не спуская с девушки глаз.""",,,,,
,Q_4e09126e,"Q ""Я даже представить не могу, с чем же ты ко мне пришла.""",,,,,
,S1_38934e03,"S1 ""У меня есть иной способ решения нашего конфликта. Есть идея, как поставить зазнавшеюся стерву на место и, конечно же, выявить настоящего лидера. И это тебе точно понравится, хи-хи.""",,,,,
,narrator_dbb3b65d,"""Конечно же, Владычица не сумела скрыть свою заинтересованность, данное предложение весьма оживило ее. Возможно, назревало что-то весьма интересное, что-то, что сумеет развеять здешний быт.""",,,,,
,S1_1e58504f,"S1 ""Я предлагаю тебе иного рода схватку.""",,,,,
,S1_b1efeffb,"S1 ""Я втопчу тебя в грязь сначала морально, а потом уже и физически!""",,,,,
