location,source,target,ID,fuzzy,context,translator_comments,developer_comments
,S_1d487d48,"S ""*Вздох*... Ах... черт, вот и оно. Я думала, меня на дольше хватит...""",,,,,
,S_728697d8,"S ""М-мое тело такое горячее, это определенно из-за нее... раньше это чувство было не столь сильным. Вероятно, оно со временем усиливается... пока не... черт.""",,,,,
,S_2abf9a3f,"S ""(Вначале все казалось более радужным... И Королева Клинков давно не давала о себе знать. В какой-то момент, ха, мне даже казалось что она не доставит мне хлопот, глупая дуреха.)""",,,,,
,S_531a35e7,"S ""(В тихом омуте черти водятся, значит...)""",,,,,
,narrator_9b1aa754,"""Как бы Саре ни хотелось перетерпеть этот 'голод', он настойчиво напоминал о себе и с каждым мгновением становился все навязчивей.""",,,,,
,S_4dd5d9af,"S ""Даже голод по прибытию сюда был не таким сильным... Он вообще таким не был! Как бы ни не хотелось признавать, но она хорошенько постаралась...""",,,,,
,narrator_753407df,"""Девушка судорожно выдохнула, пытаясь прийти в чувства и вернуть чистоту разума.""",,,,,
,S_45492c35,"S ""А-а-ах... становится только ху-уже...""",,,,,
,S_aac02502,"S ""Он... не дает мне сконцентрироваться абсолютно ни на чем... если ничего с этим не сделать, она воспользуется моей слабостью.""",,,,,
,narrator_931111b9,"""Все попытки сосредоточиться проваливались одна за другой, даже прикосновения, которые раньше не вызывали никакой необычной реакции, теперь ощущались как чужие. Тело Сары реагировало на каждое касание посылая волну сильного возбуждения по ее нервам прямо в мозг.""",,,,,
,S_34c12609,"S ""Это слишком... Сейчас даже я сама представляю для себя угрозу, черт...""",,,,,
,narrator_0d91000f,"""Сара резко убрала от себя руки в надежде, что это немного отрезвит разум, но ее ноги только сильнее подкосились от резких движений.""",,,,,
,S_ecfff1f2,"S ""Ч-что же делать?.. Это не честная игра. Хотя от кого я хочу честности, хах.""",,,,,
,S_5615ed5d,"S ""Нужно искать помощь... Как можно быстрее.""",,,,,
,S_6360f5e6,"S ""Хорошо... Тут одной дрочкой не поможешь, нужна большая артиллерия... Иначе бы столько времени ушло впустую, а она все равно вырвется.""",,,,,
,S_43ef098c,"S ""Иногда ее гордость играет не в ее пользу, хи-хи...""",,,,,
,S_ebea5237,"S ""Внизу уже так мокро... Надолго меня не хватит, нужно искать, мммм... помощь.""",,,,,
,narrator_97692f05,"""Хоть голова и была полна пошлостей но она пыталась анализировать и придумать план, который сможет ее вывести из сложившейся ситуации.""",,,,,
,S_3e86aa54,"S ""Хм... думаю, есть кое-кто... Кого я уже выручала с похожей проблемой. Он определенно не сможет мне отказать...""",,,,,
,S_5b0a8c9a,"S ""Пора действовать, раньше я уже это делала, так что сейчас это не будет проблемой.""",,,,,
,S_de993297,"S ""(Думала, я буду медлить? Тебе не соревноваться со мной в решимости. Твои глупые игры для меня только развлечение. Ха, это точно не то, что надломило бы мою волю...)""",,,,,
,S_50cb4029,"S ""(И это все, на что ты способна? Ха-ха-ха!)""",,,,,
,S_d92a9a05,"S ""(Спустя все, что я прошла... что-то подобное – детский лепет. Тебе стоит постараться в следующий раз получше и придумать более сложные условия, хи-хи. Или же условия буду ставить уже я.)""",,,,,
,S_bd895027,"S ""(А я на фантазию не поскуплюсь... Мы слишком давно не виделись, чтобы ты хорошо знала, куда давить. Власть давно сменилась.)""",,,,,
,S_c1b0e146,"S ""(И она точно не твоя, хи-хи. Я не дам тебе так просто выйти.)""",,,,,
,S_d323a0f4,"S ""А теперь и главный гость этой вечеринки... [zergling_s_name!t]~♥""",,,,,
,Z_70a56d43,"Z ""*Скир?*""",,,,,
,narrator_828c55d9,"""Зерг весьма быстро отозвался на зов Сары, ведомый запахом ее смазки.""",,,,,
,Z_62cb26fe,"Z ""*Скр-скр-скр*""",,,,,
,S_6bc0a06e,"S ""(Столько рвения... Хотя мы еще даже не начали.)""",,,,,
,S_189330d0,"S ""(Ха, могу его понять... Я сама уже на грани, но все это... Ах, к черту. Я не хочу больше ждать!)""",,,,,
,S_db90cf45,"S ""Ну же малыш, ты ведь хочешь помочь мне?""",,,,,
,narrator_aa24a056,"""Заигрывания Сара не прошли даром, она ясно видела, как [zergling_s_name!t] возбужденно подрагивал, не отрывая от нее взгляда. Его член также не заставил ее долго ждать, тяжело это было не заметить, как и его желание. Впрочем, как и всегда.""",,,,,
